App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 03:16:04 PM","20 min 44 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
7,5,8,1568884,8,1401600,10,57,10,1401600,10,1401600,12,55,12,0,13,1401600,14,54,16,20,16,1401600,16,1151990,18,10,18,1401600,0,0,19,1401600,20,9,20,1401600,22,8,23,0,23,0,25,0,
107,18,108,1569032,108,1401600,109,0,109,1401600,110,1401600,111,0,111,0,111,1401600,113,10,114,70,114,1401600,114,753920,115,70,115,1401600,19,0,116,1401600,116,37,117,1401600,117,22,118,0,118,0,124,0,
157,0,157,1568536,157,1843200,158,0,158,1843200,158,1843200,159,20,159,0,159,1843200,160,0,161,25,161,1843200,161,1208226,162,20,162,1843200,115,0,162,1843200,164,50,164,1843200,165,0,166,0,166,0,171,19,
257,0,258,1568660,258,1401600,259,10,259,1401600,259,1401600,260,0,260,0,260,1401600,261,0,262,11,263,1401600,263,795828,264,11,264,1401600,162,0,264,1401600,265,9,265,1401600,266,9,267,0,267,0,273,3,
358,0,358,1568784,358,1401600,359,18,359,1401600,360,1401600,360,0,361,0,361,1401600,362,0,363,10,363,1401600,364,343787,365,20,365,1401600,264,0,365,1401600,366,9,367,1401600,368,0,368,0,368,0,374,4,
458,0,459,1568908,459,1401600,460,0,460,1401600,460,1401600,461,0,461,0,462,1401600,463,0,465,11,465,1401600,465,241254,466,20,467,1401600,365,0,467,1401600,468,0,468,1401600,469,10,470,0,470,0,476,3,
558,10,559,1568908,559,1401600,560,10,560,1401600,561,1401600,561,0,562,0,562,1401600,563,0,564,11,565,1401600,565,367913,566,22,566,1401600,467,0,567,1401600,568,9,568,1401600,569,0,569,0,570,0,576,5,
659,0,659,1568908,660,1401600,660,0,661,1401600,661,1401600,662,0,662,0,662,1401600,664,0,665,10,665,1401600,665,247285,666,27,667,1401600,566,0,667,1401600,668,20,668,1401600,669,0,669,0,670,0,675,5,
759,0,760,1568908,760,1401600,761,9,761,1401600,761,1401600,762,0,762,0,763,1401600,764,0,765,10,765,1401600,765,398070,766,10,767,1401600,667,0,767,1401600,768,9,768,1401600,769,0,769,0,770,0,775,2,
859,0,860,1569032,860,1401600,861,10,861,1401600,861,1401600,862,0,863,0,863,1401600,864,0,865,10,865,1401600,866,235223,867,27,867,1401600,767,0,867,1401600,868,0,869,1401600,869,0,870,0,870,0,876,3,
960,0,960,1569156,961,1401600,961,0,962,1401600,962,1401600,963,0,963,0,963,1401600,964,0,965,0,966,1401600,966,162846,967,20,967,1401600,867,0,968,1401600,969,0,969,1401600,970,0,970,0,970,0,976,3,
1060,0,1061,1569280,1061,1401600,1062,18,1062,1401600,1062,1401600,1063,0,1063,0,1064,1401600,1065,0,1066,18,1066,1401600,1066,337756,1067,27,1068,1401600,967,0,1068,1401600,1069,9,1069,1401600,1070,0,1070,0,1071,0,1077,4,
1160,0,1161,1568688,1161,1401600,1162,0,1162,1401600,1163,1401600,1163,0,1164,0,1164,1401600,1165,9,1167,30,1167,1401600,1167,452352,1168,20,1168,1401600,1068,0,1169,1401600,1170,0,1170,1401600,1171,0,1171,0,1171,0,1177,5,
