App,Package,Start Time,Duration,Filename
"System",,"Aug 5, 2018 @ 02:44:18 PM","20 min 25 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,3,1,1820916,1,1689600,2,2,3,1689600,3,1689600,4,2,4,0,5,1689600,6,2,7,3,7,1689600,7,98926,8,0,8,1689600,9,0,9,1689600,10,1,10,1689600,11,6,11,0,12,0,17,0,
100,20,101,1821600,101,2016000,103,0,103,2016000,103,2016000,104,0,104,0,104,2016000,105,9,105,60,106,2016000,106,1050280,106,55,106,2016000,22,0,107,2016000,107,12,107,2016000,108,11,108,0,108,0,113,21,
200,18,201,1821840,201,1689600,202,9,202,1689600,202,1689600,203,0,203,0,203,1689600,204,0,205,22,205,1689600,205,1273846,206,20,206,1689600,107,0,206,1689600,207,10,207,1689600,208,0,208,0,209,0,214,9,
301,11,301,1822336,302,1689600,302,0,303,1689600,303,1689600,303,0,304,0,304,1689600,305,0,305,25,306,1689600,306,544097,306,11,307,1689600,206,0,307,1689600,308,0,308,1689600,309,0,309,0,309,0,314,5,
401,23,402,1822832,402,1689600,403,0,403,1689600,403,1689600,404,0,404,0,404,1689600,405,0,406,22,406,1689600,406,461658,407,18,407,1689600,307,0,407,1689600,408,0,408,1689600,409,0,409,0,409,0,415,7,
501,10,502,1823296,502,1689600,503,0,503,1689600,503,1689600,504,0,504,0,504,1689600,505,0,506,33,506,1689600,506,502877,507,30,507,1689600,407,0,507,1689600,508,10,508,1689600,509,9,509,0,509,0,514,8,
602,10,602,1823792,602,1689600,603,0,603,1689600,604,1689600,604,9,605,0,605,1689600,606,0,606,10,607,1689600,607,643023,607,20,608,1689600,507,0,608,1689600,609,9,609,1689600,609,0,610,0,610,0,615,6,
702,9,703,1824412,703,1689600,704,0,704,1689600,704,1689600,705,0,705,0,705,1689600,706,0,707,10,707,1689600,707,395707,708,20,708,1689600,608,0,708,1689600,709,0,709,1689600,710,0,710,0,710,0,715,3,
802,0,803,1824908,803,1689600,804,0,804,1689600,804,1689600,805,0,805,0,806,1689600,806,0,807,0,807,1689600,807,164877,808,20,808,1689600,708,0,808,1689600,809,0,809,1689600,810,0,810,0,810,0,815,2,
903,0,903,1825412,904,1689600,904,0,905,1689600,905,1689600,905,0,906,0,906,1689600,907,9,907,20,908,1689600,908,403950,908,0,908,1689600,808,0,909,1689600,909,0,910,1689600,910,0,911,0,911,0,916,4,
1003,0,1004,1825908,1004,1689600,1005,0,1005,1689600,1005,1689600,1006,0,1007,0,1007,1689600,1009,0,1010,25,1010,1689600,1010,206097,1011,27,1012,1689600,909,0,1012,1689600,1013,27,1013,1689600,1014,18,1015,0,1015,0,1021,10,
1104,42,1104,1833000,1105,2016000,1106,60,1106,2016000,1106,2016000,1108,36,1108,0,1109,2016000,1110,27,1111,100,1112,2016000,1112,3548976,1113,88,1114,2016000,1012,0,1114,2016000,1116,81,1116,2016000,1117,60,1118,0,1118,0,1125,63,
1204,60,1205,1832428,1205,2016000,1206,72,1206,2016000,1207,2016000,1207,55,1208,0,1208,2016000,1209,28,1210,87,1210,2016000,1210,5921983,1211,83,1211,2016000,1114,0,1212,2016000,1212,87,1213,2016000,1214,66,1214,0,1214,0,1224,65,
1304,44,1305,1834500,1305,2016000,1306,30,1306,2016000,1306,2016000,1307,11,1307,0,1307,2016000,1308,30,1309,90,1309,2016000,1309,4918257,1309,70,1310,2016000,1211,0,1310,2016000,1311,90,1311,2016000,1311,50,1312,0,1312,0,1317,51,
1405,0,1405,1835596,1405,2016000,1406,0,1406,2016000,1406,2016000,1407,0,1407,0,1408,2016000,1408,20,1409,45,1409,2016000,1409,3066940,1410,30,1410,2016000,1310,0,1410,2016000,1411,100,1411,2016000,1411,10,1412,0,1412,0,1418,25,
1506,18,1507,1836084,1507,2016000,1509,0,1509,2016000,1509,2016000,1510,0,1511,0,1511,2016000,1512,18,1514,36,1514,2016000,1514,2364332,1516,80,1516,2016000,1410,0,1516,2016000,1517,80,1518,2016000,1519,54,1519,0,1519,0,1525,39,
1606,50,1606,1835388,1607,2016000,1607,45,1608,2016000,1608,2016000,1609,40,1609,0,1609,2016000,1610,40,1611,57,1611,2016000,1611,4974020,1612,100,1612,2016000,1516,0,1612,2016000,1613,55,1613,2016000,1614,55,1614,0,1615,0,1620,51,
1706,0,1707,1832380,1707,1689600,1708,0,1708,1689600,1708,1689600,1709,0,1709,0,1709,1689600,1710,0,1711,27,1711,1689600,1711,2564612,1712,20,1712,1689600,1612,0,1712,1689600,1713,10,1713,1689600,1713,9,1714,0,1714,0,1719,6,
1807,0,1807,1832372,1808,1689600,1809,0,1809,1689600,1809,1689600,1810,0,1811,0,1811,1689600,1812,0,1813,20,1813,1689600,1813,486389,1814,18,1814,1689600,1712,0,1814,1689600,1815,10,1815,1689600,1816,0,1816,0,1817,0,1822,5,
1907,0,1907,1828888,1908,1689600,1908,0,1909,1689600,1909,1689600,1909,0,1910,0,1910,1689600,1911,0,1911,10,1912,1689600,1912,313268,1912,0,1912,1689600,1814,0,1913,1689600,1913,18,1914,1689600,1914,0,1915,0,1915,0,1920,2,
2010,20,2012,1832520,2014,2016000,2016,10,2016,2016000,2017,2016000,2018,9,2019,0,2019,2016000,2020,16,2022,83,2022,2016000,2022,1687436,2023,60,2024,2016000,1912,0,2024,2016000,2025,60,2025,2016000,2026,45,2026,0,2026,0,2031,37,
2108,63,2109,1829252,2109,2016000,2110,62,2111,2016000,2111,2016000,2112,55,2112,0,2113,2016000,2114,44,2115,88,2115,2016000,2116,5319748,2117,90,2118,2016000,2024,0,2118,2016000,2119,70,2120,2016000,2121,77,2122,0,2122,0,2129,73,
2209,20,2209,1833336,2210,2016000,2211,20,2211,2016000,2211,2016000,2212,20,2212,0,2212,2016000,2213,10,2214,77,2214,2016000,2214,4282564,2215,60,2215,2016000,2118,0,2215,2016000,2216,28,2217,2016000,2217,20,2218,0,2218,0,2223,26,
2309,10,2309,1833032,2310,1689600,2311,0,2311,1689600,2311,1689600,2312,20,2312,0,2312,1689600,2313,0,2314,44,2314,1689600,2314,1814519,2315,12,2315,1689600,2215,0,2315,1689600,2316,20,2316,1689600,2317,0,2318,0,2318,0,2323,10,
2410,9,2411,1835236,2412,1689600,2415,10,2416,1689600,2416,1689600,2418,18,2420,0,2421,1689600,2424,8,2425,66,2426,1689600,2426,1178877,2427,44,2427,1689600,2315,0,2427,1689600,2428,41,2429,1689600,2430,20,2430,0,2430,0,2436,24,
2510,0,2510,1831260,2511,1689600,2512,18,2512,1689600,2512,1689600,2513,0,2513,0,2514,1689600,2515,0,2515,37,2516,1689600,2516,1319023,2517,44,2517,1689600,2427,0,2517,1689600,2518,37,2518,1689600,2520,22,2520,0,2520,0,2526,15,
2610,0,2610,1830316,2611,2016000,2611,0,2611,2016000,2612,2016000,2612,10,2613,0,2613,2016000,2614,0,2614,60,2615,2016000,2615,1629797,2615,22,2616,2016000,2517,0,2616,2016000,2617,20,2617,2016000,2618,10,2618,0,2618,0,2624,13,
2710,9,2711,1824220,2711,2016000,2712,0,2712,2016000,2712,2016000,2713,18,2713,0,2713,2016000,2714,0,2715,70,2715,2016000,2715,1661724,2716,44,2716,2016000,2616,0,2716,2016000,2717,44,2717,2016000,2718,11,2718,0,2718,0,2722,23,
2810,0,2811,1820100,2811,2016000,2812,0,2812,2016000,2812,2016000,2813,18,2813,0,2814,2016000,2814,0,2815,70,2815,2016000,2815,2085519,2816,37,2816,2016000,2716,0,2816,2016000,2817,11,2817,2016000,2818,20,2818,0,2818,0,2823,20,
