App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 06:24:27 PM","20 min 40 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,33,2,1482320,2,1401600,4,46,5,1401600,5,1401600,7,46,8,0,8,1401600,10,46,12,21,13,1401600,13,1158022,15,15,16,1401600,16,0,16,1401600,17,13,18,1401600,19,10,21,0,21,0,22,0,
101,40,102,1483120,103,1401600,104,50,105,1401600,105,1401600,107,40,107,0,108,1401600,109,27,111,0,111,1401600,112,1176116,113,0,114,1401600,114,0,114,1401600,116,0,117,1401600,119,0,119,0,120,0,131,0,
201,11,201,1483368,202,1401600,203,27,203,1401600,203,1401600,204,41,204,0,205,1401600,206,11,207,45,207,1401600,207,814234,208,22,208,1401600,143,0,209,1401600,210,22,210,1401600,211,11,211,0,211,0,217,14,
302,0,303,1484328,303,1401600,304,0,304,1401600,305,1401600,306,10,306,0,306,1401600,308,9,308,50,309,1401600,309,747889,309,37,310,1401600,208,0,310,1401600,311,20,311,1401600,312,11,312,0,312,0,319,13,
402,0,402,1483832,403,1401600,404,0,404,1401600,404,1401600,405,0,405,0,405,1401600,406,0,407,44,407,1401600,407,675512,408,10,409,1401600,310,0,409,1401600,410,11,410,1401600,411,0,411,0,411,0,417,6,
502,0,503,1483832,503,1401600,504,0,504,1401600,504,1401600,505,0,506,0,506,1401600,507,0,507,20,508,1401600,508,247285,509,11,509,1401600,409,0,509,1401600,510,0,510,1401600,511,0,511,0,512,0,518,3,
602,0,603,1483832,603,1401600,604,0,604,1401600,604,1401600,605,0,606,0,606,1401600,607,0,607,22,608,1401600,608,199035,609,11,609,1401600,509,0,609,1401600,610,0,610,1401600,611,0,611,0,611,0,617,2,
703,0,703,1483832,703,1401600,704,0,704,1401600,705,1401600,706,10,706,0,706,1401600,707,0,708,36,708,1401600,708,343787,709,18,709,1401600,609,0,709,1401600,710,10,710,1401600,711,0,711,0,712,0,718,6,
803,0,804,1483956,804,1401600,805,0,805,1401600,805,1401600,806,0,807,0,807,1401600,808,0,809,27,809,1401600,809,331725,810,10,810,1401600,709,0,810,1401600,811,0,811,1401600,812,0,812,0,813,0,819,2,
904,0,904,1484452,904,1401600,905,0,906,1401600,906,1401600,907,10,907,0,907,1401600,908,0,910,11,910,1401600,910,186972,911,22,911,1401600,810,0,912,1401600,912,0,913,1401600,914,0,914,0,914,0,923,4,
1004,9,1005,1484824,1005,1401600,1006,0,1006,1401600,1006,1401600,1007,9,1007,0,1008,1401600,1008,0,1009,20,1009,1401600,1009,361881,1010,20,1010,1401600,911,0,1011,1401600,1011,0,1012,1401600,1012,0,1013,0,1013,0,1019,4,
1104,10,1105,1484948,1105,1401600,1106,0,1106,1401600,1106,1401600,1107,0,1108,0,1108,1401600,1109,0,1109,0,1110,1401600,1110,180940,1111,27,1111,1401600,1011,0,1111,1401600,1112,0,1112,1401600,1113,0,1113,0,1113,0,1119,3,
1205,9,1205,1484948,1206,1401600,1206,0,1207,1401600,1207,1401600,1208,0,1208,0,1208,1401600,1209,0,1210,10,1210,1401600,1210,277442,1211,11,1211,1401600,1111,0,1212,1401600,1212,0,1213,1401600,1213,0,1214,0,1214,0,1220,3,
1305,0,1306,1485072,1306,1401600,1307,0,1307,1401600,1307,1401600,1308,0,1308,0,1309,1401600,1310,0,1310,10,1311,1401600,1311,126658,1311,30,1312,1401600,1211,0,1312,1401600,1313,0,1313,1401600,1314,0,1314,0,1314,0,1320,2,
1405,9,1406,1485072,1406,1401600,1407,10,1407,1401600,1408,1401600,1408,0,1409,0,1409,1401600,1410,0,1411,0,1411,1401600,1411,295536,1412,20,1412,1401600,1312,0,1412,1401600,1413,0,1413,1401600,1414,0,1414,0,1415,0,1421,3,
1506,0,1506,1484576,1507,1401600,1508,0,1508,1401600,1508,1401600,1509,0,1509,0,1509,1401600,1510,0,1511,22,1511,1401600,1511,253317,1512,20,1512,1401600,1412,0,1513,1401600,1513,0,1514,1401600,1515,0,1515,0,1515,0,1521,3,
1606,10,1607,1484576,1607,1401600,1608,0,1608,1401600,1608,1401600,1609,0,1610,0,1610,1401600,1611,0,1611,11,1612,1401600,1612,247285,1613,11,1613,1401600,1512,0,1613,1401600,1614,0,1614,1401600,1615,0,1615,0,1616,0,1621,3,
1706,0,1707,1484700,1707,1401600,1708,0,1708,1401600,1709,1401600,1709,0,1710,0,1710,1401600,1711,0,1712,10,1712,1401600,1712,126658,1713,27,1713,1401600,1613,0,1714,1401600,1715,0,1715,1401600,1716,0,1716,0,1717,0,1722,3,
1807,10,1807,1484784,1808,1401600,1809,0,1809,1401600,1809,1401600,1810,0,1810,0,1810,1401600,1811,0,1812,20,1812,1401600,1812,343787,1813,20,1813,1401600,1713,0,1814,1401600,1814,0,1815,1401600,1815,9,1816,0,1816,0,1822,4,
1908,0,1909,1484784,1909,1401600,1911,0,1911,1401600,1911,1401600,1912,0,1913,0,1913,1401600,1914,0,1915,30,1915,1401600,1915,355850,1916,20,1916,1401600,1813,0,1917,1401600,1918,9,1918,1401600,1919,10,1920,0,1920,0,1927,6,
2008,0,2009,1485248,2009,1401600,2010,0,2011,1401600,2011,1401600,2012,0,2012,0,2013,1401600,2014,0,2015,60,2015,1401600,2015,597105,2016,25,2016,1401600,1916,0,2016,1401600,2017,20,2017,1401600,2018,20,2018,0,2019,0,2027,11,
