App,Package,Start Time,Duration,Filename
"System",,"Aug 5, 2018 @ 02:20:12 PM","20 min 26 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,12,1,1765332,2,1689600,3,3,4,1689600,4,1689600,6,2,7,0,7,1689600,8,3,10,0,10,1689600,11,164877,12,0,12,1689600,12,0,13,1689600,14,0,15,1689600,16,0,16,0,17,0,27,2,
100,20,100,1771112,100,2016000,101,22,101,2016000,101,2016000,102,10,103,0,103,2016000,103,22,104,54,104,2016000,104,1427521,105,70,105,2016000,49,0,106,2016000,107,22,108,2016000,108,22,109,0,109,0,114,25,
200,0,201,1771352,201,1689600,202,0,202,1689600,202,1689600,203,0,203,0,203,1689600,204,10,205,33,205,1689600,205,1625873,205,30,206,1689600,105,0,206,1689600,207,10,207,1689600,207,0,208,0,208,0,213,9,
301,0,301,1771352,301,1689600,302,18,302,1689600,302,1689600,303,0,304,0,304,1689600,304,9,305,30,305,1689600,305,799657,306,22,306,1689600,206,0,307,1689600,307,0,307,1689600,308,0,308,0,309,0,314,8,
401,0,401,1771476,402,1689600,402,10,402,1689600,403,1689600,403,0,404,0,404,1689600,405,0,405,0,405,1689600,405,263804,406,18,406,1689600,306,0,407,1689600,407,0,407,1689600,408,0,408,0,409,0,414,2,
501,0,502,1771600,502,1689600,503,0,503,1689600,503,1689600,504,0,504,0,505,1689600,505,0,506,0,506,1689600,506,148390,507,20,507,1689600,406,0,507,1689600,508,0,508,1689600,509,18,509,0,509,0,514,4,
602,0,602,1771724,602,1689600,603,9,603,1689600,603,1689600,604,0,605,0,605,1689600,605,0,606,10,606,1689600,607,469902,607,11,607,1689600,507,0,608,1689600,608,0,609,1689600,609,0,610,0,610,0,615,4,
702,0,702,1771848,703,1689600,703,0,704,1689600,704,1689600,704,0,705,0,705,1689600,706,0,707,10,707,1689600,707,173121,707,27,708,1689600,607,0,708,1689600,709,0,709,1689600,709,0,710,0,710,0,715,3,
802,0,803,1771848,803,1689600,804,0,804,1689600,804,1689600,805,0,805,0,805,1689600,806,0,807,0,807,1689600,807,222585,808,10,808,1689600,708,0,808,1689600,809,0,809,1689600,810,0,810,0,810,0,816,1,
902,0,903,1770856,903,2016000,904,9,904,2016000,904,2016000,905,0,905,0,905,2016000,906,0,906,55,907,1689600,907,636225,907,20,908,1689600,808,0,908,1689600,908,0,909,1689600,909,0,910,0,910,0,915,9,
1003,0,1003,1770856,1004,1689600,1004,10,1005,1689600,1005,1689600,1005,0,1006,0,1006,1689600,1007,0,1007,18,1007,1689600,1007,395707,1008,10,1008,1689600,908,0,1008,1689600,1009,0,1009,1689600,1010,0,1010,0,1010,0,1015,3,
1103,0,1104,1770980,1104,1689600,1104,0,1105,1689600,1105,1689600,1105,0,1106,0,1106,1689600,1107,0,1107,0,1108,1689600,1108,82438,1108,20,1108,1689600,1008,0,1109,1689600,1109,0,1110,1689600,1110,0,1111,0,1111,0,1115,1,
1203,0,1204,1771104,1204,1689600,1205,0,1205,1689600,1205,1689600,1206,0,1206,0,1206,1689600,1207,0,1208,0,1208,1689600,1208,164877,1208,11,1209,1689600,1109,0,1209,1689600,1210,0,1210,1689600,1210,0,1211,0,1211,0,1216,2,
1304,16,1304,1771244,1304,1689600,1305,0,1305,1689600,1305,1689600,1306,0,1306,0,1307,1689600,1307,0,1308,18,1308,1689600,1308,370975,1309,20,1309,1689600,1209,0,1309,1689600,1310,10,1310,1689600,1311,0,1311,0,1311,0,1316,6,
1405,10,1406,1772352,1406,1689600,1408,11,1408,2016000,1409,2016000,1410,0,1410,0,1411,2016000,1413,10,1414,37,1415,2016000,1415,976601,1416,36,1417,2016000,1309,0,1418,2016000,1421,18,1422,2016000,1423,18,1423,0,1423,0,1429,20,
1504,54,1505,1779680,1505,2016000,1506,30,1507,2016000,1507,2016000,1508,40,1508,0,1508,2016000,1509,11,1510,100,1511,2016000,1511,3423821,1512,62,1512,2016000,1417,0,1512,2016000,1513,71,1514,2016000,1515,55,1515,0,1515,0,1522,50,
1605,62,1605,1784068,1606,2016000,1607,50,1607,2016000,1608,2016000,1609,81,1609,0,1609,2016000,1610,44,1611,90,1611,2016000,1611,5743543,1612,90,1612,2016000,1512,0,1613,2016000,1613,88,1614,2016000,1615,90,1615,0,1615,0,1622,73,
1705,10,1706,1785264,1706,2016000,1706,27,1707,2016000,1707,2016000,1707,0,1708,0,1708,2016000,1709,10,1710,90,1710,2016000,1710,4516767,1711,54,1711,2016000,1612,0,1711,2016000,1712,40,1712,2016000,1713,12,1713,0,1713,0,1719,29,
1805,0,1806,1786112,1806,1689600,1807,0,1808,1689600,1808,1689600,1809,9,1809,0,1810,1689600,1810,10,1811,45,1812,1689600,1812,1709775,1812,22,1813,1689600,1711,0,1813,1689600,1814,10,1814,1689600,1815,0,1816,0,1816,0,1823,11,
1906,9,1907,1786476,1907,2016000,1907,0,1907,2016000,1908,2016000,1908,27,1908,0,1909,2016000,1909,0,1910,36,1910,2016000,1910,1066785,1911,40,1911,2016000,1813,0,1911,2016000,1912,55,1912,2016000,1913,9,1913,0,1913,0,1918,20,
2006,0,2007,1786476,2007,1689600,2008,0,2008,1689600,2008,1689600,2009,0,2009,0,2009,1689600,2010,0,2011,22,2011,1689600,2011,1341226,2012,20,2012,1689600,1911,0,2012,1689600,2013,9,2013,1689600,2014,0,2014,0,2014,0,2019,5,
2107,0,2107,1786600,2107,1689600,2108,0,2108,1689600,2108,1689600,2109,10,2109,0,2109,1689600,2110,0,2111,0,2111,1689600,2111,321511,2112,20,2112,1689600,2012,0,2112,1689600,2113,0,2113,1689600,2114,0,2114,0,2114,0,2119,3,
2207,10,2208,1786584,2208,1689600,2208,0,2209,1689600,2209,1689600,2210,0,2210,0,2210,1689600,2211,0,2212,20,2212,1689600,2212,412194,2213,22,2213,1689600,2112,0,2213,1689600,2214,0,2214,1689600,2215,0,2216,0,2216,0,2221,6,
2307,0,2308,1783440,2308,1689600,2309,10,2309,1689600,2309,1689600,2310,0,2310,0,2310,1689600,2311,0,2312,0,2312,1689600,2312,263804,2312,0,2313,1689600,2213,0,2313,1689600,2313,10,2314,1689600,2314,0,2315,0,2315,0,2320,1,
2408,10,2408,1783588,2409,2016000,2410,10,2410,2016000,2410,2016000,2411,9,2411,0,2412,2016000,2412,16,2414,45,2414,2016000,2414,1086165,2415,44,2415,2016000,2313,0,2416,2016000,2417,22,2417,2016000,2418,30,2418,0,2418,0,2423,19,
2508,0,2508,1783588,2509,1689600,2509,0,2510,1689600,2510,1689600,2510,0,2511,0,2511,1689600,2512,0,2512,30,2512,1689600,2512,1317958,2513,33,2513,1689600,2416,0,2513,1689600,2514,18,2514,1689600,2515,0,2515,0,2515,0,2520,10,
2608,0,2608,1783588,2609,1689600,2609,0,2610,1689600,2610,1689600,2610,0,2611,0,2611,1689600,2612,0,2612,0,2612,1689600,2612,420438,2613,11,2613,1689600,2513,0,2614,1689600,2614,0,2614,1689600,2615,0,2615,0,2616,0,2620,1,
2708,0,2709,1783588,2709,1689600,2710,0,2710,1689600,2710,1689600,2711,0,2711,0,2711,1689600,2712,0,2713,0,2713,1689600,2713,90682,2714,10,2714,1689600,2613,0,2714,1689600,2715,0,2715,1689600,2715,0,2716,0,2716,0,2721,1,
2809,0,2809,1783588,2809,1689600,2810,0,2810,1689600,2810,1689600,2811,0,2811,0,2812,1689600,2812,0,2813,18,2813,1689600,2813,230829,2814,10,2814,1689600,2714,0,2814,1689600,2815,0,2815,1689600,2816,0,2816,0,2816,0,2821,2,
2909,0,2909,1783588,2910,1689600,2910,0,2911,1689600,2911,1689600,2911,0,2912,0,2912,1689600,2912,0,2913,0,2913,1689600,2913,82438,2914,10,2914,1689600,2814,0,2914,1689600,2915,0,2915,1689600,2916,0,2916,0,2916,0,2921,1,
3010,0,3010,1783348,3010,1689600,3011,0,3011,1689600,3011,1689600,3012,0,3013,0,3013,1689600,3014,0,3014,27,3015,1689600,3015,305024,3015,10,3016,1689600,2914,0,3016,1689600,3017,11,3017,1689600,3017,0,3018,0,3018,0,3023,5,
3110,0,3110,1783472,3110,1689600,3111,0,3111,1689600,3111,1689600,3112,0,3112,0,3113,1689600,3113,0,3114,0,3114,1689600,3114,173121,3115,0,3115,1689600,3016,0,3115,1689600,3116,18,3116,1689600,3117,0,3117,0,3117,0,3122,2,
3210,0,3210,1783472,3210,1689600,3211,0,3211,1689600,3212,1689600,3212,0,3212,0,3213,1689600,3213,0,3214,0,3214,1689600,3214,148390,3215,18,3215,1689600,3115,0,3215,1689600,3216,0,3216,1689600,3217,0,3217,0,3217,0,3222,1,
3311,0,3311,1783844,3312,1689600,3313,0,3314,1689600,3314,1689600,3315,0,3316,0,3316,1689600,3317,0,3318,11,3318,1689600,3319,239072,3319,22,3320,1689600,3215,0,3320,1689600,3321,10,3321,1689600,3322,10,3323,0,3323,0,3330,9,
3410,30,3411,1784836,3411,2016000,3412,20,3412,2016000,3412,2016000,3413,22,3413,0,3413,2016000,3414,11,3414,60,3414,2016000,3414,1941052,3415,55,3415,2016000,3320,0,3415,2016000,3416,40,3416,2016000,3416,22,3417,0,3417,0,3421,27,
3511,0,3511,1784340,3511,1689600,3512,0,3512,1689600,3513,1689600,3513,0,3514,0,3514,1689600,3514,0,3515,11,3515,1689600,3515,1395526,3516,0,3516,1689600,3415,0,3516,1689600,3517,0,3517,1689600,3518,0,3518,0,3518,0,3523,1,
3611,0,3611,1784340,3612,2016000,3612,0,3612,2016000,3613,2016000,3613,0,3613,0,3614,2016000,3614,0,3615,90,3615,2016000,3615,1003726,3616,0,3616,2016000,3516,0,3616,2016000,3617,0,3617,2016000,3617,0,3618,0,3618,0,3622,10,
3711,0,3712,1784464,3712,1689600,3713,0,3713,1689600,3713,1689600,3714,0,3714,0,3715,1689600,3715,0,3716,44,3716,1689600,3716,362731,3717,0,3717,1689600,3616,0,3717,1689600,3718,10,3718,1689600,3719,0,3719,0,3719,0,3724,7,
3812,0,3812,1784464,3812,1689600,3813,0,3813,1689600,3813,1689600,3814,0,3815,0,3815,1689600,3816,0,3817,10,3817,1689600,3817,164877,3818,0,3818,1689600,3717,0,3818,1689600,3819,0,3819,1689600,3820,0,3820,0,3820,0,3825,0,
3912,0,3912,1784580,3913,1689600,3913,0,3913,1689600,3914,1689600,3914,75,3915,0,3915,1689600,3915,0,3916,10,3916,1689600,3916,700731,3917,10,3917,1689600,3818,0,3917,1689600,3918,9,3918,1689600,3919,0,3919,0,3919,0,3924,11,
4012,0,4013,1784332,4013,1689600,4014,0,4014,1689600,4014,1689600,4015,0,4015,0,4015,1689600,4016,0,4016,20,4017,1689600,4017,321511,4017,18,4017,1689600,3917,0,4018,1689600,4018,0,4018,1689600,4019,0,4019,0,4020,0,4024,3,
4112,0,4113,1784456,4113,1689600,4114,0,4114,1689600,4114,1689600,4115,0,4115,0,4115,1689600,4116,0,4116,0,4117,1689600,4117,148390,4117,11,4118,1689600,4017,0,4118,1689600,4118,0,4119,1689600,4119,0,4120,0,4120,0,4124,1,
4213,0,4213,1784456,4214,1689600,4214,0,4214,1689600,4215,1689600,4215,0,4216,0,4216,1689600,4216,0,4217,16,4217,1689600,4217,222585,4218,18,4218,1689600,4118,0,4218,1689600,4219,0,4219,1689600,4220,0,4220,0,4220,0,4225,3,
4313,0,4314,1784580,4314,1689600,4314,0,4315,1689600,4315,1689600,4315,0,4316,0,4316,1689600,4317,0,4317,0,4318,1689600,4318,148390,4318,11,4318,1689600,4218,0,4319,1689600,4319,0,4319,1689600,4320,0,4320,0,4321,0,4325,2,
4414,0,4415,1785316,4415,1689600,4416,30,4417,1689600,4417,1689600,4418,0,4419,0,4419,1689600,4420,9,4421,9,4422,1689600,4422,486389,4423,0,4423,1689600,4318,0,4424,1689600,4425,0,4425,1689600,4427,0,4427,0,4427,0,4437,5,
4514,70,4515,1790360,4516,2016000,4517,50,4518,2016000,4518,2016000,4519,27,4520,0,4520,2016000,4522,22,4523,44,4524,2016000,4524,2375485,4525,0,4525,2016000,4423,0,4526,2016000,4527,0,4527,2016000,4529,0,4529,0,4530,0,4536,29,
4615,20,4615,1790024,4616,1689600,4617,18,4617,1689600,4618,1689600,4619,9,4619,0,4619,1689600,4621,20,4622,40,4622,1689600,4622,882096,4623,0,4624,1689600,4525,0,4624,1689600,4625,0,4625,1689600,4627,0,4627,0,4628,0,4634,9,
4715,0,4716,1790024,4716,1689600,4717,0,4718,1689600,4718,1689600,4719,10,4719,0,4720,1689600,4721,20,4722,0,4723,1689600,4723,247316,4724,0,4724,1689600,4624,0,4725,1689600,4726,0,4726,1689600,4727,0,4728,0,4728,0,4735,2,
4816,0,4816,1790148,4817,1689600,4818,0,4818,1689600,4818,1689600,4820,0,4820,0,4820,1689600,4822,20,4823,0,4823,1689600,4824,164877,4825,0,4825,1689600,4724,0,4825,1689600,4827,0,4827,1689600,4828,0,4829,0,4829,0,4835,2,
4916,0,4917,1790272,4917,1689600,4918,0,4919,1689600,4919,1689600,4920,0,4920,0,4921,1689600,4922,20,4923,0,4923,1689600,4924,164877,4925,0,4925,1689600,4825,0,4925,1689600,4926,0,4927,1689600,4928,0,4929,0,4929,0,4941,2,
5017,11,5017,1789652,5018,1689600,5019,0,5019,1689600,5019,1689600,5020,0,5021,0,5021,1689600,5022,30,5024,0,5024,1689600,5024,337999,5025,0,5025,1689600,4925,0,5026,1689600,5027,0,5027,1689600,5028,0,5029,0,5029,0,5036,3,
5117,0,5118,1789776,5118,1689600,5120,0,5120,1689600,5120,1689600,5121,0,5122,0,5122,1689600,5123,20,5125,0,5125,1689600,5125,164877,5126,0,5127,1689600,5026,0,5127,1689600,5128,0,5128,1689600,5130,0,5130,0,5131,0,5137,1,
5218,0,5219,1789812,5219,1689600,5220,0,5221,1689600,5221,1689600,5222,0,5222,0,5223,1689600,5224,11,5225,0,5226,1689600,5226,90682,5227,0,5227,1689600,5127,0,5228,1689600,5229,0,5229,1689600,5230,0,5231,0,5231,0,5240,2,
5319,9,5320,1787456,5320,1689600,5321,0,5322,1689600,5322,1689600,5323,0,5324,0,5324,1689600,5326,10,5327,0,5328,1689600,5328,156634,5329,0,5329,1689600,5227,0,5330,1689600,5331,0,5331,1689600,5333,0,5333,0,5334,0,5340,3,
5419,0,5421,1788076,5421,1689600,5422,10,5423,1689600,5423,1689600,5424,18,5425,0,5425,1689600,5427,10,5430,0,5430,1689600,5431,313268,5432,0,5433,1689600,5330,0,5433,1689600,5434,0,5435,1689600,5436,0,5437,0,5437,0,5444,4,
5520,0,5520,1788324,5521,1689600,5522,27,5522,1689600,5522,1689600,5524,0,5524,0,5525,1689600,5526,9,5527,0,5528,1689600,5528,296780,5529,0,5529,1689600,5433,0,5530,1689600,5531,0,5531,1689600,5532,0,5533,0,5533,0,5540,2,
5620,0,5621,1788448,5621,1689600,5622,30,5623,1689600,5623,1689600,5624,0,5625,0,5625,1689600,5626,9,5628,0,5628,1689600,5628,321511,5629,0,5630,1689600,5529,0,5630,1689600,5631,0,5631,1689600,5632,0,5633,0,5633,0,5640,3,
5721,0,5721,1788572,5722,1689600,5723,20,5723,1689600,5724,1689600,5725,0,5725,0,5725,1689600,5727,0,5728,0,5729,1689600,5729,164877,5730,0,5730,1689600,5630,0,5730,1689600,5732,0,5732,1689600,5733,0,5734,0,5734,0,5740,2,
