App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 04:47:49 PM","20 min 32 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,8,1,1828384,1,1401600,3,9,3,1401600,4,1401600,5,9,6,0,7,1401600,8,8,9,25,10,1401600,10,355850,12,2,13,1401600,5,0,13,1401600,14,0,15,1401600,16,0,17,0,17,0,114,28,
100,10,101,1828164,101,2016000,102,11,102,2016000,102,2016000,102,10,103,0,103,2016000,104,20,105,90,105,2016000,105,1584566,106,55,106,2016000,13,0,106,2016000,107,60,107,2016000,108,40,108,0,109,0,213,26,
201,11,202,1821932,202,2016000,203,0,203,2016000,203,2016000,204,0,204,0,204,2016000,205,0,206,81,206,2016000,206,2754670,206,50,207,2016000,106,0,207,2016000,207,50,208,2016000,208,22,208,0,209,0,318,5,
301,0,302,1821932,302,1401600,303,0,303,1401600,304,1401600,304,0,305,0,305,1401600,306,0,307,11,307,1401600,307,1426951,308,10,308,1401600,207,0,309,1401600,309,0,310,1401600,311,18,311,0,311,0,419,5,
402,0,403,1822180,403,1401600,405,0,405,1401600,405,1401600,406,0,406,0,407,1401600,408,0,408,10,409,1401600,409,229191,409,10,410,1401600,308,0,410,1401600,411,27,411,1401600,412,18,412,0,413,0,521,6,
502,0,503,1822924,503,1401600,504,0,504,1401600,504,1401600,506,0,506,0,506,1401600,508,0,508,27,509,1401600,509,494571,510,20,510,1401600,410,0,510,1401600,511,18,511,1401600,512,20,512,0,512,0,620,6,
602,9,603,1822676,603,1401600,604,0,604,1401600,605,1401600,606,0,606,0,606,1401600,607,0,608,11,609,1401600,609,470446,610,22,610,1401600,510,0,610,1401600,611,0,611,1401600,612,16,612,0,613,0,713,9,
703,0,703,1822552,703,2016000,704,0,704,2016000,704,2016000,705,0,705,0,705,2016000,706,0,707,63,707,2016000,707,931800,707,33,707,2016000,610,0,708,2016000,708,0,708,2016000,709,12,709,0,709,0,821,2,
803,0,804,1822924,804,1401600,805,0,805,1401600,806,1401600,806,0,807,0,807,1401600,808,0,809,20,810,1401600,810,622490,811,0,812,1401600,708,0,812,1401600,813,9,813,1401600,814,0,815,0,815,0,919,4,
904,0,904,1823028,905,1401600,906,10,906,1401600,906,1401600,907,0,907,0,908,1401600,908,0,909,11,909,1401600,910,180940,910,18,911,1401600,812,0,911,1401600,912,11,912,1401600,913,0,913,0,913,0,969,4,
