App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 05:16:29 PM","21 min 29 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
99,11,1,1589012,3,1401600,4,99,5,1401600,7,1401600,9,99,10,0,10,1401600,14,99,15,97,16,1401600,16,2430640,18,95,19,1401600,19,0,19,1401600,21,93,22,1401600,23,92,24,0,24,0,26,0,
199,0,99,1588416,100,2016000,101,45,101,2016000,101,2016000,102,25,102,0,102,2016000,103,22,104,40,104,2016000,104,3283591,105,25,105,2016000,63,0,106,2016000,106,14,107,2016000,108,20,108,0,108,0,113,0,
300,0,200,1589020,200,1689600,201,0,201,1689600,202,1689600,203,0,203,0,203,1689600,204,10,205,37,205,1689600,205,1045461,206,37,206,1689600,105,0,207,1689600,208,18,208,1401600,209,0,210,0,210,0,217,12,
400,0,301,1589020,301,1401600,302,0,303,1401600,303,1401600,304,0,304,0,305,1401600,306,18,307,18,307,1401600,307,670543,308,36,309,1401600,207,0,309,1401600,310,0,311,1401600,312,0,312,0,313,0,320,6,
501,0,401,1589516,401,1401600,402,0,403,1401600,403,1401600,404,0,405,0,405,1401600,406,20,407,11,407,1401600,407,404101,408,30,409,1401600,309,0,409,1401600,410,0,411,1401600,411,0,412,0,412,0,420,5,
601,0,501,1589764,502,1401600,503,0,503,1401600,503,1401600,504,0,505,0,505,1401600,506,10,507,20,507,1401600,508,361881,509,30,509,1401600,409,0,509,1401600,510,9,511,1401600,512,0,512,0,513,0,521,6,
701,0,601,1589764,602,1401600,603,0,603,1401600,603,1401600,604,10,605,0,605,1401600,606,10,607,20,607,1401600,608,476477,608,33,609,1401600,509,0,609,1401600,610,0,611,1401600,611,0,612,0,612,0,620,6,
802,0,702,1589888,702,1401600,703,0,703,1401600,704,1401600,705,0,705,0,706,1401600,706,9,708,27,708,1401600,708,416164,709,27,709,1401600,609,0,710,1401600,711,0,712,1401600,712,0,713,0,713,0,720,6,
902,0,802,1590012,803,1401600,804,0,804,1401600,804,1401600,805,0,806,0,806,1401600,807,9,808,10,808,1401600,808,277442,809,30,809,1401600,709,0,810,1401600,811,0,811,1401600,812,9,812,0,813,0,820,4,
1002,0,902,1589764,903,1401600,904,9,904,1401600,904,1401600,905,0,906,0,906,1401600,907,0,908,20,908,1401600,908,410132,909,22,909,1401600,810,0,910,1401600,911,10,911,1401600,912,0,912,0,913,0,919,5,
1102,0,1003,1589888,1003,1401600,1004,9,1005,1401600,1005,1401600,1006,0,1006,0,1007,1401600,1008,9,1009,18,1009,1401600,1009,410132,1010,36,1010,1401600,910,0,1011,1401600,1012,0,1012,1401600,1013,0,1013,0,1014,0,1020,5,
1203,0,1103,1592308,1104,1401600,1104,0,1105,1401600,1105,1401600,1106,0,1106,0,1107,1401600,1108,0,1108,11,1109,1401600,1109,283474,1110,11,1110,1401600,1010,0,1111,1401600,1111,0,1112,1401600,1113,0,1113,0,1113,0,1120,2,
1303,0,1204,1592432,1204,1401600,1205,0,1205,1401600,1206,1401600,1206,0,1207,0,1207,1401600,1208,0,1209,11,1209,1401600,1209,132690,1210,27,1211,1401600,1110,0,1211,1401600,1212,0,1212,1401600,1213,0,1214,0,1214,0,1221,3,
1404,0,1304,1592060,1304,1401600,1306,0,1306,1401600,1306,1401600,1307,0,1308,0,1308,1401600,1309,0,1310,20,1310,1401600,1310,283474,1311,30,1312,1401600,1211,0,1312,1401600,1313,10,1313,1401600,1314,0,1315,0,1315,0,1321,4,
1504,9,1404,1592184,1405,1401600,1406,0,1406,1401600,1406,1401600,1407,0,1408,0,1408,1401600,1409,0,1410,0,1410,1401600,1410,241254,1411,30,1411,1401600,1312,0,1412,1401600,1413,0,1413,1401600,1414,0,1414,0,1415,0,1421,2,
1605,0,1505,1592184,1505,1401600,1506,0,1506,1401600,1507,1401600,1508,0,1509,0,1509,1401600,1510,0,1511,18,1511,1401600,1512,343787,1512,22,1513,1401600,1412,0,1513,1401600,1514,0,1514,1401600,1515,0,1516,0,1516,0,1523,4,
1705,9,1605,1592184,1606,1401600,1606,0,1607,1401600,1607,1401600,1608,0,1609,0,1609,1401600,1610,0,1611,0,1611,1401600,1611,132690,1612,20,1612,1401600,1513,0,1613,1401600,1614,0,1614,1401600,1615,0,1616,0,1616,0,1623,2,
1806,18,1706,1592060,1706,1401600,1707,9,1708,1401600,1708,1401600,1709,9,1709,0,1710,1401600,1711,0,1711,30,1712,1401600,1712,464415,1713,22,1713,1401600,1613,0,1714,1401600,1715,0,1715,1401600,1716,10,1716,0,1717,0,1724,7,
