App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 05:30:22 PM","20 min 26 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
1,7,1,1695224,2,2016000,3,4,3,2016000,3,2016000,4,4,5,0,5,2016000,6,5,6,6,6,2016000,6,289965,7,0,7,2016000,0,0,7,2016000,8,0,8,2016000,9,0,9,0,9,0,13,1,
101,0,102,1695308,102,2016000,103,0,104,2016000,104,2016000,104,10,105,0,105,2016000,106,0,106,63,107,2016000,107,814133,107,44,107,2016000,7,0,108,2016000,108,20,108,2016000,109,100,109,0,109,0,114,29,
201,0,201,1695780,202,2016000,202,0,202,2016000,203,2016000,203,20,203,0,204,2016000,204,0,205,20,205,2016000,205,2275112,206,18,206,2016000,107,0,206,2016000,207,0,207,2016000,208,50,208,0,208,0,212,13,
302,0,302,1695780,303,1401600,304,16,304,1401600,304,1401600,305,10,305,0,305,1401600,306,0,307,10,307,1401600,308,975499,308,11,309,1401600,206,0,309,1401600,310,0,310,1401600,311,0,311,0,311,0,318,4,
402,0,403,1695904,403,1401600,404,0,404,1401600,404,1401600,405,25,405,0,406,1401600,407,0,407,20,408,1401600,408,337756,408,18,409,1401600,309,0,409,1401600,410,10,410,1401600,411,0,411,0,411,0,418,6,
453,0,454,1696400,454,1401600,455,0,456,1401600,456,1401600,457,16,458,0,458,1401600,459,0,460,16,460,1401600,460,361881,461,40,461,1401600,409,0,462,1401600,462,16,463,1401600,463,33,464,0,464,0,471,10,
553,0,554,1696664,554,1401600,555,0,556,1401600,556,1401600,557,10,558,0,558,1401600,559,0,560,22,560,1401600,560,729795,561,10,561,1401600,462,0,562,1401600,562,10,563,1401600,563,20,564,0,564,0,570,6,
653,0,654,1697028,655,1401600,656,0,656,1401600,657,1401600,658,0,658,0,659,1401600,660,9,661,22,662,1401600,662,428226,663,10,663,1401600,561,0,663,1401600,665,18,665,1401600,666,20,666,0,667,0,674,9,
753,40,754,1705244,755,2016000,755,20,756,2016000,756,2016000,757,25,757,0,758,2016000,759,0,760,71,760,2016000,761,2029297,762,50,762,2016000,663,0,763,2016000,764,66,765,2016000,766,50,766,0,767,0,773,34,
854,55,854,1710708,855,2016000,855,60,856,2016000,856,2016000,857,37,857,0,858,2016000,859,40,860,81,860,2016000,860,4895952,861,80,862,2016000,762,0,862,2016000,863,77,863,2016000,864,80,865,0,865,0,873,62,
954,77,955,1713944,956,2016000,957,80,957,2016000,957,2016000,958,76,959,0,959,2016000,961,70,962,88,962,2016000,962,7003777,964,100,964,2016000,862,0,965,2016000,966,90,966,2016000,967,88,968,0,968,0,979,85,
1054,72,1055,1715504,1055,2016000,1056,50,1056,2016000,1056,2016000,1057,22,1058,0,1058,2016000,1059,25,1059,90,1059,2016000,1059,5988898,1060,88,1060,2016000,964,0,1061,2016000,1061,90,1061,2016000,1062,60,1062,0,1063,0,1067,60,
1155,10,1155,1716104,1155,2016000,1156,0,1156,2016000,1156,2016000,1157,10,1158,0,1158,1401600,1159,18,1159,45,1160,1401600,1160,3257324,1160,50,1161,1401600,1060,0,1161,1401600,1162,44,1162,1401600,1163,20,1163,0,1163,0,1169,23,
1255,10,1255,1716672,1256,2016000,1256,0,1256,2016000,1257,2016000,1257,0,1258,0,1258,2016000,1259,18,1260,14,1260,2016000,1260,1155981,1261,45,1261,2016000,1161,0,1261,2016000,1262,63,1262,2016000,1263,0,1264,0,1264,0,1269,16,
1356,0,1356,1716796,1357,1401600,1358,9,1358,1401600,1359,1401600,1360,0,1360,0,1361,1401600,1362,0,1363,25,1363,1401600,1363,1409537,1365,18,1365,1401600,1261,0,1365,1401600,1366,11,1367,1401600,1368,10,1368,0,1368,0,1376,7,
1456,50,1457,1717780,1457,2016000,1459,30,1459,2016000,1459,2016000,1460,22,1461,0,1461,2016000,1462,22,1463,90,1464,2016000,1464,2621860,1464,66,1465,2016000,1365,0,1465,2016000,1466,60,1466,2016000,1467,70,1467,0,1468,0,1474,46,
1556,9,1557,1717928,1557,1401600,1558,10,1559,1401600,1559,1401600,1560,9,1560,0,1560,1401600,1561,0,1562,27,1562,1401600,1562,2517617,1563,27,1564,1401600,1465,0,1564,1401600,1565,10,1565,1401600,1566,10,1567,0,1567,0,1573,10,
1657,0,1657,1718176,1658,1401600,1658,0,1659,1401600,1659,1401600,1660,0,1660,0,1660,1401600,1661,18,1662,45,1662,1401600,1662,663450,1663,41,1663,1401600,1564,0,1664,1401600,1665,20,1665,1401600,1666,11,1666,0,1667,0,1673,10,
1758,0,1758,1718176,1759,1401600,1760,0,1760,1401600,1760,1401600,1761,9,1762,0,1762,1401600,1763,0,1763,30,1764,1401600,1764,669481,1765,18,1765,1401600,1663,0,1765,1401600,1766,22,1766,1401600,1767,10,1767,0,1767,0,1774,8,
1858,0,1859,1718168,1859,1401600,1860,0,1861,1401600,1861,1401600,1862,0,1862,0,1863,1401600,1863,0,1864,30,1865,1401600,1865,482509,1865,20,1866,1401600,1765,0,1866,1401600,1867,20,1867,1401600,1868,0,1868,0,1868,0,1875,5,
1958,0,1959,1718416,1959,1401600,1960,0,1960,1401600,1960,1401600,1961,0,1961,0,1961,1401600,1962,0,1963,33,1963,1401600,1963,440289,1964,37,1964,1401600,1866,0,1964,1401600,1965,10,1965,1401600,1966,10,1967,0,1967,0,1973,8,
2059,0,2059,1718540,2060,1401600,2061,0,2061,1401600,2061,1401600,2062,0,2062,0,2062,1401600,2063,0,2064,18,2064,1401600,2064,452352,2065,18,2065,1401600,1964,0,2066,1401600,2066,0,2067,1401600,2067,18,2068,0,2068,0,2074,4,
2159,0,2160,1718540,2160,1401600,2161,0,2161,1401600,2161,1401600,2162,0,2162,0,2163,1401600,2164,0,2164,18,2165,1401600,2165,325693,2165,11,2166,1401600,2065,0,2166,1401600,2167,0,2167,1401600,2168,10,2168,0,2169,0,2175,4,
2260,0,2260,1718664,2261,1401600,2262,0,2262,1401600,2262,1401600,2263,0,2263,0,2263,1401600,2264,0,2265,18,2265,1401600,2265,235223,2266,27,2266,1401600,2166,0,2267,1401600,2268,0,2268,1401600,2269,0,2269,0,2269,0,2275,3,
2360,0,2361,1718788,2361,1401600,2362,0,2362,1401600,2362,1401600,2363,0,2364,0,2364,1401600,2365,0,2365,18,2366,1401600,2366,271411,2367,11,2367,1401600,2267,0,2367,1401600,2368,9,2368,1401600,2370,0,2371,0,2371,0,2377,5,
2460,0,2461,1718168,2461,1401600,2462,0,2462,1401600,2462,1401600,2463,0,2464,0,2464,1401600,2465,0,2466,45,2466,1401600,2466,392038,2467,27,2467,1401600,2367,0,2467,1401600,2468,0,2468,1401600,2469,0,2470,0,2470,0,2476,7,
2561,0,2561,1718292,2562,1401600,2562,0,2563,1401600,2563,1401600,2564,0,2564,0,2564,1401600,2565,0,2566,25,2566,1401600,2566,313630,2567,20,2568,1401600,2467,0,2568,1401600,2569,9,2569,1401600,2570,0,2570,0,2570,0,2576,2,
2661,0,2662,1718292,2662,1401600,2663,0,2663,1401600,2663,1401600,2664,0,2665,0,2665,1401600,2666,0,2667,10,2667,1401600,2667,235223,2668,20,2668,1401600,2568,0,2668,1401600,2669,0,2669,1401600,2670,0,2671,0,2671,0,2677,3,
2761,0,2762,1718364,2762,1401600,2763,0,2763,1401600,2763,1401600,2764,0,2765,0,2765,1401600,2766,0,2767,25,2767,1401600,2767,271411,2768,10,2768,1401600,2668,0,2768,1401600,2769,10,2769,1401600,2770,0,2770,0,2771,0,2777,3,
2862,0,2862,1718364,2863,1401600,2864,0,2864,1401600,2864,1401600,2865,0,2865,0,2866,1401600,2867,0,2867,18,2868,1401600,2868,229191,2869,18,2869,1401600,2768,0,2869,1401600,2870,10,2870,1401600,2871,0,2871,0,2872,0,2877,3,
2962,0,2963,1718488,2963,1401600,2964,0,2965,1401600,2965,1401600,2966,0,2966,0,2967,1401600,2968,0,2968,18,2969,1401600,2969,277442,2969,30,2970,1401600,2869,0,2970,1401600,2971,9,2971,1401600,2972,0,2972,0,2972,0,2978,4,
3062,0,3063,1718612,3064,1401600,3065,0,3065,1401600,3065,1401600,3066,0,3066,0,3067,1401600,3068,0,3068,25,3069,1401600,3069,386007,3069,20,3070,1401600,2970,0,3070,1401600,3071,0,3071,1401600,3072,0,3072,0,3072,0,3078,4,
3163,0,3164,1718736,3164,1401600,3165,0,3165,1401600,3165,1401600,3166,0,3167,0,3167,1401600,3168,0,3168,20,3169,1401600,3169,241254,3170,27,3170,1401600,3070,0,3170,1401600,3171,0,3171,1401600,3172,0,3172,0,3173,0,3179,3,
3264,0,3264,1720108,3265,1401600,3266,0,3266,1401600,3266,1401600,3267,0,3268,0,3268,1401600,3269,0,3270,40,3270,1401600,3270,404101,3271,36,3271,1401600,3170,0,3271,1401600,3272,25,3272,1401600,3273,9,3273,0,3274,0,3281,11,
3364,0,3364,1720108,3365,1401600,3365,0,3366,1401600,3366,1401600,3367,0,3367,0,3367,1401600,3368,0,3369,22,3369,1401600,3369,554885,3370,22,3370,1401600,3271,0,3371,1401600,3371,10,3372,1401600,3372,10,3373,0,3373,0,3379,5,
3464,0,3465,1720232,3465,1401600,3466,0,3466,1401600,3466,1401600,3467,0,3468,0,3468,1401600,3469,0,3470,18,3470,1401600,3470,361881,3471,20,3471,1401600,3370,0,3471,1401600,3472,0,3472,1401600,3473,0,3473,0,3474,0,3480,1,
3564,0,3565,1720348,3565,2016000,3565,0,3566,2016000,3566,2016000,3566,0,3567,0,3567,2016000,3568,0,3568,80,3568,2016000,3568,1012828,3569,27,3569,2016000,3471,0,3569,2016000,3570,0,3570,2016000,3571,0,3571,0,3571,0,3575,11,
3665,0,3665,1720488,3666,2016000,3666,0,3667,2016000,3667,2016000,3668,0,3668,0,3669,2016000,3670,0,3671,60,3671,2016000,3671,970268,3672,18,3672,2016000,3569,0,3673,2016000,3674,0,3674,2016000,3675,0,3676,0,3676,0,3685,9,
3766,20,3767,1722952,3767,1036800,3769,44,3769,1036800,3769,1036800,3771,11,3771,0,3772,1036800,3774,22,3775,0,3776,1036800,3776,560140,3779,0,3779,1036800,3673,0,3780,1036800,3782,0,3783,1036800,3785,0,3786,0,3786,0,3799,9,
3867,20,3868,1723076,3869,1036800,3870,40,3871,1036800,3871,1036800,3873,11,3874,0,3875,1036800,3878,33,3881,0,3882,1036800,3882,385331,3884,0,3885,1036800,3780,0,3885,1036800,3887,0,3888,1036800,3889,0,3890,0,3891,0,3911,10,
3967,54,3968,1722448,3969,1036800,3970,45,3971,1036800,3971,1036800,3973,54,3973,0,3974,1036800,3976,45,3978,9,3979,1036800,3979,766957,3981,0,3982,1036800,3885,0,3982,1036800,3984,0,3985,1036800,3986,0,3987,0,3987,0,3999,13,
4068,11,4069,1722572,4070,1401600,4071,40,4071,1401600,4072,1401600,4073,22,4074,0,4075,1401600,4076,44,4078,0,4079,1401600,4079,705669,4080,0,4081,1401600,3982,0,4081,1401600,4083,0,4084,1401600,4085,0,4086,0,4086,0,4094,8,
4169,0,4171,1722640,4171,652800,4174,0,4175,652800,4175,652800,4178,16,4179,0,4180,652800,4182,27,4185,0,4185,652800,4185,78754,4188,0,4189,652800,4081,0,4190,652800,4192,0,4193,652800,4196,0,4197,0,4198,0,4208,2,
4271,20,4273,1722640,4275,652800,4278,22,4279,652800,4281,652800,4284,0,4285,0,4286,652800,4290,11,4293,0,4295,652800,4295,97069,4298,0,4299,1401600,4189,0,4299,1401600,4301,0,4301,1401600,4303,0,4304,0,4304,0,4313,3,
4370,50,4371,1722888,4371,1689600,4373,22,4373,1689600,4374,1689600,4375,22,4376,0,4376,1689600,4377,25,4379,0,4379,1689600,4379,981023,4381,0,4381,1689600,4299,0,4381,1689600,4382,0,4383,1689600,4384,0,4384,0,4385,0,4391,12,
4473,22,4475,1722880,4476,652800,4479,20,4480,652800,4481,652800,4483,27,4485,0,4486,652800,4491,25,4495,0,4496,1036800,4496,172160,4498,0,4499,1036800,4381,0,4500,1036800,4503,0,4504,1036800,4506,0,4507,0,4507,0,4523,10,
4572,40,4572,1723012,4573,1036800,4575,55,4576,1036800,4576,1036800,4578,37,4579,0,4579,1036800,4581,55,4582,0,4582,1401600,4582,692855,4583,0,4583,1401600,4500,0,4583,1401600,4584,12,4585,1401600,4586,0,4586,0,4587,0,4597,11,
4672,22,4673,1726836,4673,2016000,4674,11,4674,2016000,4675,2016000,4675,0,4676,0,4676,2016000,4677,20,4678,77,4678,2016000,4678,1522202,4679,63,4679,2016000,4583,0,4679,2016000,4680,66,4680,2016000,4681,66,4682,0,4682,0,4687,30,
4772,25,4773,1711832,4774,2016000,4775,30,4775,2016000,4775,2016000,4776,36,4776,0,4776,2016000,4777,50,4778,80,4779,2016000,4779,4639444,4780,70,4780,2016000,4679,0,4781,2016000,4782,63,4782,2016000,4783,70,4783,0,4784,0,4789,54,
4873,44,4873,1721304,4874,2016000,4875,33,4875,2016000,4875,2016000,4876,55,4877,0,4877,2016000,4878,45,4879,90,4879,2016000,4880,5241680,4881,80,4882,2016000,4781,0,4883,2016000,4886,90,4886,2016000,4888,80,4888,0,4888,0,4894,66,
4973,30,4974,1741700,4974,2016000,4975,0,4975,2016000,4975,2016000,4976,0,4977,0,4977,2016000,4978,0,4979,55,4979,2016000,4979,3736091,4980,80,4980,2016000,4882,0,4980,2016000,4981,90,4981,2016000,4982,50,4982,0,4982,0,4988,35,
5073,0,5074,1735376,5074,2016000,5075,0,5075,2016000,5075,2016000,5076,0,5076,0,5077,2016000,5077,0,5078,44,5078,2016000,5078,2944263,5079,70,5079,2016000,4980,0,5079,2016000,5080,50,5080,2016000,5081,60,5081,0,5081,0,5089,28,
