App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 06:48:50 PM","20 min 14 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,5,1,1527564,2,1036800,4,4,5,1036800,6,1036800,8,3,9,0,9,1036800,11,3,14,0,15,1401600,15,296831,17,0,18,1401600,18,0,18,1401600,20,0,21,1401600,22,0,24,0,24,0,48,0,
100,40,100,1527720,101,1401600,102,22,102,1401600,102,1401600,103,25,103,0,103,1401600,104,44,105,44,106,1401600,106,1055488,107,22,107,1401600,55,0,107,1401600,108,22,108,1401600,109,0,110,0,110,0,115,15,
200,9,201,1527744,201,2016000,202,0,202,2016000,202,2016000,203,9,203,0,204,2016000,204,25,205,50,206,2016000,206,1302563,206,44,207,2016000,107,0,207,2016000,208,90,208,2016000,208,11,209,0,209,0,213,29,
301,0,301,1526728,301,1401600,302,0,303,1401600,303,1401600,304,0,304,0,304,1401600,305,10,306,11,306,1401600,306,1743772,307,20,307,1401600,207,0,307,1401600,308,10,308,1401600,309,0,310,0,310,0,316,6,
401,9,402,1526232,402,1401600,403,0,403,1401600,403,1401600,404,10,405,0,405,1401600,406,9,406,36,407,1401600,407,566948,408,18,408,1401600,307,0,408,1401600,409,30,409,1401600,410,9,410,0,410,0,416,12,
501,0,502,1526356,502,1401600,503,0,503,1401600,504,1401600,504,0,505,0,505,1401600,506,0,507,11,507,1401600,507,410132,508,10,508,1401600,408,0,509,1401600,510,0,510,1401600,511,0,511,0,511,0,517,1,
601,0,602,1526356,602,1401600,603,0,603,1401600,604,1401600,605,0,605,0,605,1401600,606,0,607,27,607,1401600,607,223160,608,30,608,1401600,508,0,608,1401600,609,10,609,1401600,610,0,611,0,611,0,617,5,
702,0,703,1526480,703,1401600,704,0,704,1401600,705,1401600,706,0,706,0,707,1401600,708,0,708,27,709,1401600,709,404101,709,22,710,1401600,608,0,710,1401600,711,10,711,1401600,711,11,712,0,712,0,719,6,
803,0,803,1526488,803,1401600,804,0,804,1401600,805,1401600,805,10,806,0,806,1401600,808,0,809,12,809,1401600,809,392038,810,22,810,1401600,683,0,810,1401600,811,10,811,1401600,812,0,812,0,813,0,819,5,
903,22,904,1528348,904,2016000,905,30,905,2016000,906,2016000,907,10,907,0,908,2016000,909,22,911,70,911,2016000,911,1910490,912,60,912,2016000,710,0,912,2016000,913,33,913,2016000,914,44,914,0,915,0,925,33,
