App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 07:12:48 PM","20 min 31 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,34,2,1645308,3,1401600,5,98,5,1401600,6,1401600,7,98,8,0,9,1401600,10,98,12,94,13,1401600,13,2545236,14,91,15,2016000,15,0,15,2016000,17,90,17,2016000,19,86,19,0,20,0,21,0,
99,36,100,1646068,100,1958400,100,10,101,1958400,101,1958400,101,10,102,0,102,1958400,103,12,104,50,104,1958400,104,4229495,105,22,105,1958400,35,0,105,1958400,106,30,106,1958400,107,11,107,0,108,0,113,0,
200,0,201,1646292,201,1401600,202,0,202,1401600,202,1401600,203,0,204,0,204,1401600,205,18,206,40,206,1401600,207,1018139,207,50,208,1401600,105,0,208,1401600,209,0,209,1401600,210,10,211,0,211,0,218,11,
300,0,301,1656388,301,2016000,302,0,302,2016000,302,2016000,303,0,304,0,304,2016000,305,20,306,100,306,2016000,306,1700183,306,22,307,2016000,208,0,307,2016000,307,10,308,2016000,308,40,308,0,309,0,314,22,
400,0,401,1639696,401,2016000,402,0,402,2016000,402,2016000,403,0,403,0,403,2016000,404,18,404,66,404,2016000,405,1739791,405,22,405,2016000,307,0,405,2016000,406,20,406,2016000,407,0,407,0,407,0,411,15,
501,0,501,1639696,502,1401600,503,0,503,1401600,503,1401600,504,10,504,0,505,1401600,506,0,507,20,507,1401600,507,649346,508,20,509,1401600,405,0,509,1401600,510,9,510,1401600,511,0,511,0,511,0,517,5,
601,0,602,1639572,602,1401600,603,0,603,1401600,603,1401600,604,16,605,0,605,1401600,606,0,607,20,608,1401600,608,392038,609,20,609,1401600,509,0,609,1401600,610,0,610,1401600,611,0,612,0,612,0,619,5,
702,0,702,1639588,703,1401600,704,10,705,1401600,705,1401600,706,0,707,0,707,1401600,708,0,709,41,709,1401600,709,428226,710,30,711,1401600,609,0,711,1401600,712,0,712,1401600,713,25,714,0,714,0,720,9,
802,25,802,1641812,802,2016000,803,12,804,2016000,804,2016000,805,10,806,0,806,2016000,807,11,808,90,809,2016000,809,1982296,810,80,810,2016000,711,0,811,2016000,812,55,812,2016000,813,71,814,0,814,0,824,43,
902,72,903,1645944,904,2016000,905,58,905,2016000,906,2016000,907,55,908,0,908,2016000,909,60,910,90,911,2016000,911,6033508,912,88,913,2016000,810,0,914,2016000,915,81,915,2016000,916,81,917,0,917,0,927,73,
