App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 04:26:13 PM","20 min 32 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,7,1,1803668,2,1401600,4,96,4,1401600,5,1401600,6,95,7,0,8,1401600,10,95,11,87,12,1401600,12,2291918,14,74,14,1401600,15,0,15,1401600,17,70,18,1401600,20,67,20,0,21,0,23,0,
50,40,51,1803768,52,1401600,53,0,53,1401600,54,1401600,55,33,56,0,56,1401600,57,0,60,50,61,1401600,61,2014475,62,50,63,1401600,46,0,63,1401600,65,20,65,1401600,66,0,67,0,67,0,73,0,
150,0,151,1804504,151,1401600,152,0,153,1401600,153,1401600,154,0,154,0,155,1401600,156,18,157,70,157,1401600,157,952955,158,44,159,1401600,63,0,160,1401600,161,30,161,1401600,162,10,163,0,163,0,170,21,
251,0,251,1804504,252,1401600,253,27,253,1401600,254,1401600,255,0,255,0,255,1401600,256,0,257,12,258,1401600,258,741857,259,11,259,1401600,159,0,260,1401600,261,0,261,1401600,262,10,263,0,263,0,271,3,
351,0,352,1804628,352,1401600,353,20,354,1401600,354,1401600,355,0,355,0,356,1401600,357,0,358,18,358,1401600,358,355850,359,22,360,1401600,260,0,360,1401600,362,0,362,1401600,363,0,364,0,364,0,372,6,
451,0,452,1805000,452,1401600,453,16,454,1401600,454,1401600,455,0,456,0,456,1401600,457,0,458,20,458,1401600,458,349819,460,30,460,1401600,360,0,461,1401600,462,10,462,1401600,463,0,463,0,464,0,471,6,
551,0,552,1805340,552,1401600,553,18,554,1401600,554,1401600,555,0,556,0,556,1401600,557,0,558,40,558,1401600,558,591073,559,10,560,1401600,460,0,560,1401600,561,10,561,1401600,562,0,563,0,563,0,572,7,
652,0,653,1805712,653,1401600,654,0,654,1401600,655,1401600,656,0,656,0,657,1401600,658,0,658,36,659,1401600,659,337756,660,27,660,1401600,560,0,661,1401600,662,9,663,1401600,664,0,664,0,665,0,672,5,
752,0,753,1806404,753,1401600,754,0,755,1401600,755,1401600,756,0,756,0,757,1401600,758,0,758,40,759,1401600,759,458383,760,22,760,1401600,661,0,760,1401600,761,0,762,1401600,762,0,763,0,763,0,770,6,
853,0,853,1806404,854,1401600,855,0,855,1401600,855,1401600,856,0,857,0,857,1401600,858,0,859,10,859,1401600,859,193003,860,27,861,1401600,760,0,861,1401600,862,0,862,1401600,863,0,864,0,864,0,871,2,
953,0,954,1806404,954,1401600,955,0,956,1401600,956,1401600,957,0,957,0,958,1401600,958,0,959,0,960,1401600,960,162846,961,22,961,1401600,861,0,961,1401600,962,10,963,1401600,963,0,964,0,964,0,971,2,
