App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 05:41:53 PM","20 min 18 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,10,1,1674560,2,1401600,4,84,7,1401600,7,1401600,9,83,10,0,11,1401600,13,83,15,53,15,1401600,16,1887817,17,33,18,2016000,18,0,18,2016000,20,26,20,2016000,21,24,22,0,23,0,24,0,
99,40,100,1676068,100,1401600,102,33,103,1401600,103,1401600,104,50,105,0,105,1401600,106,0,107,33,108,1401600,108,1866551,109,22,109,1401600,77,0,110,1401600,111,18,111,1401600,112,11,113,0,113,0,120,0,
199,0,199,1676824,200,2016000,201,0,201,2016000,201,2016000,202,0,202,0,203,2016000,203,18,204,66,204,2016000,204,1244410,205,60,205,2016000,109,0,206,2016000,206,36,206,2016000,207,11,207,0,208,0,212,19,
299,0,300,1676824,301,1401600,302,10,302,1401600,303,1401600,304,0,304,0,305,1401600,306,10,307,20,307,1401600,307,1434573,308,33,308,1401600,205,0,309,1401600,310,9,310,1401600,311,0,312,0,312,0,320,9,
400,0,401,1677072,401,1401600,403,27,403,1401600,404,1401600,405,0,405,0,405,1401600,407,0,408,11,408,1401600,408,482509,409,30,409,1401600,309,0,410,1401600,411,18,411,1401600,412,0,413,0,413,0,421,7,
500,0,501,1677568,501,1401600,503,0,503,1401600,503,1401600,504,0,505,0,505,1401600,506,0,507,10,508,1401600,508,349819,509,30,509,1401600,410,0,510,1401600,511,0,511,1401600,512,0,512,0,513,0,521,2,
600,0,601,1677816,601,1401600,602,0,603,1401600,603,1401600,604,0,604,0,605,1401600,606,0,607,22,607,1401600,607,313630,608,22,609,1401600,509,0,609,1401600,610,10,610,1401600,611,9,612,0,612,0,620,6,
701,0,701,1677912,702,1401600,703,0,703,1401600,704,1401600,704,0,705,0,705,1401600,706,0,707,22,708,1401600,708,379976,709,22,709,1401600,609,0,710,1401600,711,0,711,1401600,712,0,713,0,713,0,719,3,
801,0,802,1677820,802,1401600,803,0,804,1401600,804,1401600,805,0,805,0,806,1401600,807,0,807,10,808,1401600,808,193003,809,22,809,1401600,709,0,809,1401600,810,0,811,1401600,812,0,812,0,812,0,819,3,
901,0,902,1677944,903,1401600,904,0,904,1401600,904,1401600,905,0,906,0,906,1401600,907,0,908,11,908,1401600,908,199035,909,30,909,1401600,809,0,910,1401600,911,0,911,1401600,912,0,912,0,913,0,919,2,
1002,0,1003,1678068,1003,1401600,1004,0,1004,1401600,1005,1401600,1005,0,1006,0,1006,1401600,1007,0,1008,18,1008,1401600,1008,289505,1009,12,1010,1401600,909,0,1010,1401600,1011,0,1011,1401600,1012,0,1013,0,1013,0,1020,3,
1102,0,1104,1678208,1104,1401600,1105,9,1106,1401600,1106,1401600,1107,0,1107,0,1108,1401600,1109,0,1110,20,1110,1401600,1110,247285,1111,36,1111,1401600,1010,0,1112,1401600,1113,0,1113,1401600,1114,0,1115,0,1115,0,1124,5,
1203,9,1204,1677704,1204,1401600,1205,10,1205,1401600,1206,1401600,1207,9,1208,0,1208,1401600,1210,0,1211,33,1211,1401600,1212,585042,1213,20,1213,1401600,1111,0,1214,1401600,1215,10,1215,1401600,1217,20,1217,0,1218,0,1226,10,
1303,33,1304,1680836,1304,2016000,1305,36,1306,2016000,1306,2016000,1307,30,1307,0,1308,2016000,1309,27,1310,81,1310,2016000,1310,2610138,1311,70,1312,2016000,1213,0,1312,2016000,1313,66,1314,2016000,1315,60,1315,0,1316,0,1323,45,
1403,80,1404,1683536,1405,2016000,1406,71,1406,2016000,1407,2016000,1408,63,1408,0,1409,2016000,1410,72,1411,100,1412,2016000,1412,6490761,1413,81,1413,2016000,1312,0,1414,2016000,1415,90,1415,2016000,1416,80,1417,0,1417,0,1423,79,
1504,36,1504,1689476,1505,2016000,1506,45,1506,2016000,1507,2016000,1508,30,1508,0,1508,2016000,1509,20,1510,100,1510,2016000,1510,5375510,1511,81,1511,2016000,1413,0,1512,2016000,1512,70,1513,2016000,1513,58,1514,0,1514,0,1518,51,
1604,11,1605,1691068,1605,2016000,1606,0,1606,2016000,1606,2016000,1607,9,1608,0,1608,2016000,1609,10,1610,75,1610,2016000,1610,3501888,1611,55,1611,2016000,1511,0,1611,2016000,1612,30,1612,2016000,1613,22,1614,0,1614,0,1621,25,
1704,11,1705,1691696,1705,2016000,1706,0,1706,2016000,1707,2016000,1707,0,1708,0,1708,2016000,1708,0,1709,44,1709,2016000,1710,1806706,1710,22,1710,2016000,1611,0,1711,2016000,1711,60,1712,2016000,1712,0,1713,0,1713,0,1718,14,
1806,11,1807,1691572,1807,1401600,1808,0,1809,1401600,1809,1401600,1810,0,1810,0,1811,1401600,1812,0,1813,20,1813,1401600,1813,1101478,1814,20,1814,1401600,1710,0,1815,1401600,1816,10,1816,1401600,1817,0,1817,0,1818,0,1825,6,
1905,10,1906,1691884,1906,1401600,1907,0,1908,1401600,1908,1401600,1909,0,1909,0,1910,1401600,1911,0,1911,11,1912,1401600,1912,307599,1914,44,1914,1401600,1814,0,1914,1401600,1915,0,1916,1401600,1917,9,1917,0,1917,0,1923,5,
2006,0,2007,1691884,2007,1401600,2008,0,2008,1401600,2008,1401600,2009,0,2010,0,2010,1401600,2011,0,2012,0,2012,1401600,2012,319662,2013,20,2013,1401600,1914,0,2014,1401600,2015,0,2015,1401600,2016,0,2016,0,2017,0,2023,1,
2106,0,2107,1692008,2107,1401600,2108,0,2108,1401600,2109,1401600,2110,0,2110,0,2110,1401600,2111,0,2112,27,2112,1401600,2112,283474,2113,20,2114,1401600,2013,0,2114,1401600,2115,0,2115,1401600,2116,0,2117,0,2117,0,2123,4,
2207,0,2207,1692132,2208,1401600,2208,0,2209,1401600,2209,1401600,2210,0,2210,0,2211,1401600,2212,0,2213,0,2213,1401600,2213,120627,2214,20,2214,1401600,2114,0,2215,1401600,2216,0,2216,1401600,2217,0,2217,0,2217,0,2224,1,
2307,0,2308,1692256,2308,1401600,2309,0,2309,1401600,2309,1401600,2310,0,2311,0,2311,1401600,2312,0,2313,10,2313,1401600,2313,180940,2314,12,2315,1401600,2214,0,2315,1401600,2316,0,2316,1401600,2317,0,2317,0,2318,0,2324,2,
2408,0,2408,1692536,2409,1401600,2410,0,2410,1401600,2411,1401600,2412,0,2413,0,2414,1401600,2415,0,2416,30,2416,1401600,2416,253317,2417,41,2417,1401600,2315,0,2418,1401600,2419,9,2419,1401600,2420,0,2420,0,2420,0,2427,6,
2508,0,2508,1692660,2508,1401600,2509,23,2510,1401600,2510,1401600,2512,0,2512,0,2512,1401600,2514,0,2515,11,2515,1401600,2515,506634,2517,22,2518,1401600,2418,0,2518,1401600,2519,0,2520,1401600,2521,0,2522,0,2522,0,2529,7,
2608,16,2609,1692536,2609,1401600,2610,9,2610,1401600,2611,1401600,2612,0,2612,0,2613,1401600,2614,0,2615,11,2615,1401600,2615,349819,2616,27,2616,1401600,2518,0,2617,1401600,2618,0,2618,1401600,2619,0,2619,0,2620,0,2626,2,
2708,0,2709,1692660,2709,1401600,2710,0,2711,1401600,2711,1401600,2712,0,2712,0,2713,1401600,2714,0,2715,18,2715,1401600,2715,271411,2716,22,2716,1401600,2617,0,2717,1401600,2718,0,2718,1401600,2719,10,2719,0,2719,0,2726,5,
2809,0,2809,1692784,2810,1401600,2811,0,2811,1401600,2811,1401600,2812,0,2813,0,2813,1401600,2814,0,2815,10,2815,1401600,2815,253317,2816,20,2817,1401600,2716,0,2817,1401600,2818,0,2818,1401600,2819,0,2819,0,2820,0,2826,0,
2909,9,2909,1692900,2910,1401600,2910,0,2911,1401600,2911,1401600,2912,0,2912,0,2913,1401600,2913,0,2914,12,2914,1401600,2915,247285,2915,40,2916,1401600,2817,0,2916,1401600,2917,18,2918,1401600,2919,0,2919,0,2919,0,2926,7,
3010,0,3011,1692912,3011,1401600,3012,0,3012,1401600,3013,1401600,3013,0,3014,0,3014,1401600,3015,0,3016,30,3016,1401600,3017,530760,3018,18,3018,1401600,2916,0,3018,1401600,3019,0,3019,1401600,3020,27,3021,0,3021,0,3027,5,
3110,0,3111,1693164,3111,1401600,3112,0,3113,1401600,3113,1401600,3114,0,3114,0,3115,1401600,3116,0,3116,36,3117,1401600,3117,488540,3118,0,3118,1401600,3018,0,3118,1401600,3119,10,3119,1401600,3120,10,3121,0,3121,0,3127,5,
3210,0,3211,1693164,3212,1401600,3213,0,3213,1401600,3213,1401600,3214,0,3215,0,3215,1401600,3216,0,3217,30,3217,1401600,3217,301568,3218,10,3218,1401600,3118,0,3219,1401600,3220,20,3220,1401600,3221,0,3221,0,3222,0,3228,4,
3311,0,3312,1693280,3312,1401600,3313,0,3314,1401600,3314,1401600,3315,0,3315,0,3316,1401600,3317,0,3317,30,3318,1401600,3318,361881,3319,0,3319,1401600,3219,0,3319,1401600,3320,22,3320,1401600,3321,0,3322,0,3322,0,3328,4,
3411,0,3412,1693052,3412,1401600,3413,0,3414,1401600,3414,1401600,3415,0,3415,0,3416,1401600,3417,0,3417,22,3418,1401600,3418,265380,3419,20,3419,1401600,3319,0,3419,1401600,3420,16,3420,1401600,3421,0,3422,0,3422,0,3428,5,
3511,9,3511,1692928,3512,2016000,3512,0,3513,2016000,3513,2016000,3513,0,3514,0,3514,2016000,3515,0,3515,70,3515,2016000,3515,1098177,3516,20,3516,2016000,3419,0,3517,2016000,3517,0,3517,2016000,3518,0,3518,0,3518,0,3523,9,
3611,0,3612,1692928,3612,2016000,3613,0,3613,2016000,3613,2016000,3614,0,3614,0,3614,2016000,3615,0,3616,70,3616,2016000,3616,1003726,3617,0,3617,2016000,3516,0,3617,2016000,3618,0,3618,2016000,3619,0,3619,0,3619,0,3623,11,
3711,0,3712,1693052,3712,2016000,3713,0,3713,2016000,3713,2016000,3714,0,3714,0,3714,2016000,3715,0,3716,18,3716,2016000,3716,200745,3716,90,3717,2016000,3617,0,3717,2016000,3717,10,3718,2016000,3718,0,3719,0,3719,0,3723,12,
3813,10,3814,1693108,3815,1401600,3816,0,3816,1401600,3816,1401600,3817,9,3818,0,3818,1401600,3820,0,3821,40,3821,1401600,3821,1471101,3822,27,3823,1401600,3717,0,3823,1401600,3824,9,3824,1401600,3825,0,3826,0,3826,0,3835,11,
3913,27,3913,1696288,3914,2016000,3915,10,3915,2016000,3915,2016000,3916,11,3916,0,3917,2016000,3919,20,3920,80,3920,2016000,3920,1867700,3921,75,3922,2016000,3823,0,3922,2016000,3923,50,3923,2016000,3924,50,3924,0,3925,0,3929,37,
4013,11,4014,1696532,4014,2016000,4015,18,4015,2016000,4016,2016000,4016,25,4017,0,4017,2016000,4018,11,4019,66,4019,2016000,4019,3412668,4020,70,4020,2016000,3922,0,4020,2016000,4021,63,4021,2016000,4022,33,4022,0,4022,0,4028,37,
4113,11,4114,1701384,4114,2016000,4115,0,4115,2016000,4115,2016000,4116,11,4116,0,4117,2016000,4117,0,4118,50,4118,2016000,4118,2654297,4119,33,4119,2016000,4020,0,4119,2016000,4120,20,4120,2016000,4121,80,4121,0,4122,0,4126,24,
4214,0,4215,1699332,4215,2016000,4216,0,4216,2016000,4216,2016000,4217,0,4217,0,4217,2016000,4218,0,4219,88,4220,2016000,4220,2464705,4220,40,4221,2016000,4119,0,4221,2016000,4222,11,4222,2016000,4223,10,4223,0,4223,0,4228,19,
4314,0,4315,1704456,4315,2016000,4316,0,4316,2016000,4316,2016000,4317,11,4318,0,4318,2016000,4319,9,4320,100,4320,2016000,4320,2018604,4321,36,4321,2016000,4221,0,4321,2016000,4322,44,4322,2016000,4323,0,4323,0,4324,0,4328,26,
4415,0,4415,1709104,4416,2016000,4417,0,4417,2016000,4417,2016000,4418,0,4418,0,4418,2016000,4419,11,4420,63,4420,2016000,4420,1717486,4421,22,4421,2016000,4321,0,4421,2016000,4422,20,4422,2016000,4423,27,4423,0,4424,0,4428,16,
4515,10,4516,1728968,4516,2016000,4517,0,4517,2016000,4517,2016000,4518,10,4518,0,4519,2016000,4519,0,4520,70,4520,2016000,4520,1773249,4521,20,4521,2016000,4421,0,4522,2016000,4522,75,4522,2016000,4523,11,4523,0,4524,0,4529,25,
4615,0,4616,1717576,4616,2016000,4617,0,4617,2016000,4617,2016000,4618,18,4618,0,4618,2016000,4619,0,4620,33,4620,2016000,4620,1750944,4620,70,4621,2016000,4521,0,4621,2016000,4621,80,4622,2016000,4622,10,4622,0,4623,0,4627,26,
4716,0,4716,1721156,4717,2016000,4718,0,4718,2016000,4718,2016000,4719,25,4719,0,4720,2016000,4720,0,4721,50,4722,2016000,4722,2620840,4722,55,4723,2016000,4621,0,4723,2016000,4724,36,4724,2016000,4724,0,4725,0,4725,0,4730,20,
4816,0,4817,1724528,4817,2016000,4818,20,4818,2016000,4818,2016000,4819,0,4820,0,4820,2016000,4821,0,4822,72,4822,2016000,4822,2040909,4823,22,4823,2016000,4723,0,4823,2016000,4824,30,4824,2016000,4825,0,4826,0,4826,0,4831,18,
4917,0,4917,1728892,4918,2016000,4919,9,4919,2016000,4920,2016000,4921,0,4921,0,4921,2016000,4922,0,4923,63,4923,2016000,4923,1382911,4923,33,4924,2016000,4823,0,4924,2016000,4924,30,4924,2016000,4925,20,4925,0,4926,0,4930,18,
5017,0,5017,1733604,5018,1958400,5019,0,5019,1958400,5019,1958400,5020,0,5020,0,5020,1958400,5021,0,5022,44,5022,1958400,5023,1392421,5023,70,5024,1958400,4924,0,5024,1958400,5025,12,5025,1958400,5026,10,5026,0,5026,0,5031,17,
5117,0,5118,1734368,5119,1401600,5120,0,5120,1401600,5120,1401600,5121,0,5121,0,5122,1401600,5123,0,5124,36,5125,1401600,5125,1193089,5126,40,5126,1401600,5024,0,5126,1401600,5128,10,5128,1401600,5129,9,5130,0,5130,0,5138,10,
5218,10,5218,1737748,5219,1689600,5220,0,5221,1689600,5221,1689600,5222,0,5222,0,5223,1689600,5224,0,5224,54,5225,1689600,5225,883459,5225,60,5226,1689600,5126,0,5226,1689600,5227,20,5227,1689600,5227,0,5228,0,5228,0,5233,11,
5318,0,5318,1741840,5319,2016000,5319,0,5319,2016000,5320,2016000,5320,0,5321,0,5321,2016000,5321,0,5322,33,5322,2016000,5322,1027544,5323,36,5323,2016000,5226,0,5323,2016000,5324,60,5324,2016000,5325,0,5325,0,5325,0,5330,12,
5418,0,5419,1746560,5419,1689600,5420,0,5420,1689600,5420,1689600,5421,0,5421,0,5421,1689600,5422,0,5423,33,5423,1689600,5423,1342689,5424,66,5424,1689600,5323,0,5424,1689600,5425,30,5425,1689600,5426,23,5426,0,5427,0,5432,18,
5518,0,5519,1748944,5519,2016000,5520,10,5520,2016000,5520,2016000,5521,0,5521,0,5521,2016000,5522,0,5522,30,5523,2016000,5523,1427124,5523,33,5524,2016000,5424,0,5524,2016000,5524,88,5525,2016000,5525,10,5525,0,5526,0,5530,19,
5619,0,5619,1754896,5619,2016000,5620,0,5620,2016000,5620,2016000,5621,0,5621,0,5621,2016000,5622,0,5623,30,5623,2016000,5623,1795554,5624,18,5624,2016000,5524,0,5624,2016000,5625,90,5625,2016000,5626,9,5626,0,5626,0,5630,19,
