App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 09:23:29 PM","20 min 30 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
14,33,14,1653336,15,1689600,16,92,17,1689600,17,1689600,19,91,20,0,20,1689600,21,91,23,77,24,1401600,24,2995291,25,63,26,1401600,0,0,26,1401600,27,59,27,1401600,29,52,29,0,29,0,30,0,
114,11,114,1655468,115,2016000,115,0,115,2016000,116,2016000,116,10,117,0,117,2016000,118,0,118,90,118,2016000,118,2287386,119,63,119,2016000,26,0,119,2016000,120,40,120,2016000,121,20,121,0,121,0,127,0,
215,20,215,1655708,215,1401600,216,0,217,1401600,217,1401600,218,0,218,0,218,1401600,219,0,220,10,220,1401600,220,1552699,221,22,221,1401600,119,0,222,1401600,222,10,223,1401600,224,0,224,0,224,0,230,7,
265,20,266,1656204,266,1401600,267,0,267,1401600,267,1401600,268,0,269,0,269,1401600,270,0,271,40,271,1401600,271,554885,272,40,272,1401600,221,0,272,1401600,274,0,274,1401600,275,0,275,0,276,0,282,6,
365,18,366,1656576,366,1401600,367,0,367,1401600,367,1401600,368,0,369,0,369,1401600,370,0,371,11,371,1401600,371,416164,372,10,372,1401600,272,0,372,1401600,373,18,373,1401600,374,0,375,0,375,0,381,5,
466,18,466,1656576,467,1401600,468,0,468,1401600,468,1401600,469,0,469,0,469,1401600,470,0,471,30,471,1401600,471,458383,472,20,472,1401600,372,0,473,1401600,474,10,474,1401600,476,9,476,0,477,0,483,9,
566,10,567,1656576,567,1401600,568,0,568,1401600,568,1401600,569,0,570,0,570,1401600,571,0,572,20,572,1401600,572,416164,573,20,573,1401600,472,0,573,1401600,574,18,574,1401600,575,0,575,0,576,0,581,3,
667,9,667,1656700,668,1401600,669,0,669,1401600,669,1401600,670,0,670,0,671,1401600,672,0,672,10,673,1401600,673,343787,674,11,674,1401600,573,0,674,1401600,675,0,675,1401600,676,0,676,0,677,0,682,3,
767,10,768,1656948,768,1401600,769,0,769,1401600,769,1401600,770,0,771,0,771,1401600,772,0,773,0,773,1401600,773,126658,774,22,774,1401600,674,0,775,1401600,775,0,776,1401600,777,0,777,0,777,0,783,1,
867,0,868,1657072,868,1401600,869,0,869,1401600,869,1401600,870,28,871,0,871,1401600,872,0,873,0,873,1401600,873,301568,874,27,874,1401600,774,0,874,1401600,875,0,875,1401600,876,0,876,0,877,0,883,4,
