App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 08:20:07 PM","20 min 36 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,33,3,1620908,4,1958400,6,96,7,1958400,8,1958400,10,96,10,0,11,1958400,14,96,16,87,17,1958400,18,4328170,20,80,21,1958400,22,0,23,1958400,24,78,26,1958400,28,72,29,0,31,0,34,0,
100,12,100,1621824,101,1843200,102,33,103,1843200,103,1843200,105,22,105,0,106,1843200,107,20,108,66,109,1843200,109,3902514,111,37,111,1843200,39,0,112,1843200,114,33,114,1843200,115,14,116,0,117,0,126,0,
201,9,202,1632612,202,1401600,204,9,204,1401600,205,1401600,206,0,207,0,207,1401600,208,25,209,66,210,1401600,210,1460422,211,45,212,1401600,112,0,213,1401600,214,36,214,1401600,215,0,216,0,216,0,229,18,
251,0,251,1632488,252,1843200,253,0,253,1843200,254,1843200,255,0,255,0,256,1843200,257,20,257,40,258,1843200,258,1062114,259,60,259,1843200,212,0,260,1843200,261,33,261,1843200,262,33,263,0,263,0,268,22,
352,0,353,1632860,354,1401600,355,0,356,1401600,357,1401600,358,0,358,0,359,1401600,360,0,361,30,362,1401600,362,1385447,363,20,364,1401600,260,0,365,1401600,366,0,367,1401600,368,0,368,0,369,0,376,3,
452,0,453,1633480,454,1401600,456,0,457,1401600,457,1401600,459,10,460,0,460,1401600,462,10,464,30,465,1401600,465,422195,467,40,468,1401600,364,0,468,1401600,470,18,470,1401600,472,0,473,0,474,0,480,10,
553,10,554,1633232,556,1401600,558,0,559,1401600,559,1401600,560,0,561,0,561,1401600,563,0,564,33,564,1401600,565,609167,566,30,566,1401600,468,0,567,1401600,568,0,569,1401600,570,0,571,0,572,0,578,6,
654,0,655,1633512,656,1401600,658,10,658,1401600,659,1401600,660,18,661,0,662,1401600,663,9,665,45,666,1401600,666,675512,668,36,669,1401600,567,0,670,1401600,671,11,672,1401600,673,10,674,0,674,0,681,11,
754,0,755,1633884,756,1401600,757,0,757,1401600,758,1401600,759,0,760,0,760,1401600,762,0,763,12,764,1401600,764,416164,766,12,766,1401600,669,0,767,1401600,768,0,769,1401600,771,0,772,0,773,0,781,3,
855,0,856,1633900,857,1401600,858,0,859,1401600,859,1401600,861,0,861,0,862,1401600,863,0,864,40,865,1401600,865,313630,867,30,867,1401600,767,0,868,1401600,869,20,869,1401600,871,0,871,0,872,0,880,6,
