App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 05:58:30 PM","20 min 31 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,10,1,1711484,2,1401600,4,8,4,1401600,5,1401600,7,7,8,0,9,1401600,10,7,12,18,12,1401600,12,301568,14,14,15,1401600,15,0,15,1401600,16,23,17,1401600,18,7,19,0,20,0,35,6,
101,33,102,1711496,102,2016000,103,18,103,2016000,103,2016000,104,11,104,0,104,2016000,105,36,106,50,106,2016000,106,1915951,106,44,106,2016000,44,0,107,2016000,107,25,107,2016000,108,25,108,0,108,0,112,22,
202,0,203,1716800,203,1401600,204,0,204,1401600,205,1401600,206,10,207,0,208,1401600,209,0,210,22,210,1401600,210,1241339,211,22,211,1401600,106,0,212,1401600,212,10,213,1401600,213,18,214,0,214,0,220,9,
302,0,303,1716800,303,1401600,304,0,305,1401600,305,1401600,306,18,306,0,307,1401600,308,0,309,11,309,1401600,309,476477,310,27,310,1401600,211,0,310,1401600,311,18,311,1401600,312,0,312,0,313,0,318,5,
402,0,403,1716800,404,1401600,405,0,405,1401600,405,1401600,406,11,407,0,407,1401600,408,0,409,10,410,1401600,410,398070,411,12,411,1401600,310,0,411,1401600,412,0,412,1401600,413,0,413,0,414,0,419,3,
503,0,504,1716800,504,1401600,506,0,506,1401600,506,1401600,507,23,508,0,508,1401600,509,0,510,20,511,1401600,511,331725,512,20,512,1401600,411,0,512,1401600,513,9,513,1401600,514,0,514,0,515,0,520,5,
603,0,604,1716800,604,1401600,605,0,606,1401600,606,1401600,607,0,608,0,608,1401600,610,0,611,11,611,1401600,611,241254,612,27,612,1401600,512,0,612,1401600,613,10,614,1401600,614,9,615,0,615,0,621,5,
704,0,704,1716800,705,1401600,706,0,706,1401600,706,1401600,708,16,708,0,708,1401600,710,0,711,27,711,1401600,711,536791,712,20,712,1401600,612,0,712,1401600,713,0,713,1401600,714,0,715,0,715,0,722,5,
804,0,804,1715328,805,2016000,805,0,806,2016000,806,2016000,807,0,807,0,807,2016000,808,10,809,50,809,2016000,809,789778,810,11,810,2016000,712,0,810,2016000,811,30,811,2016000,812,0,812,0,812,0,816,11,
905,18,906,1717328,906,1689600,909,10,909,1689600,910,1689600,911,11,911,0,912,1689600,913,10,915,60,915,1689600,915,1355837,917,45,917,1689600,810,0,918,1689600,919,33,920,1689600,921,20,922,0,922,0,934,25,
1005,66,1005,1719860,1006,2016000,1006,55,1007,2016000,1007,2016000,1008,54,1008,0,1008,2016000,1009,40,1010,90,1010,2016000,1010,4209417,1012,90,1012,2016000,918,0,1012,2016000,1013,88,1014,2016000,1015,75,1015,0,1015,0,1022,66,
1106,62,1106,1722728,1107,2016000,1108,80,1108,2016000,1109,2016000,1110,66,1111,0,1111,2016000,1112,60,1114,100,1114,2016000,1114,6925709,1115,81,1115,2016000,1012,0,1116,2016000,1117,81,1120,2016000,1122,81,1122,0,1123,0,1135,82,
1206,80,1207,1728560,1208,2016000,1209,77,1209,2016000,1210,2016000,1211,80,1212,0,1212,2016000,1213,80,1215,90,1215,2016000,1215,7249132,1216,90,1217,2016000,1102,0,1217,2016000,1218,90,1218,2016000,1220,90,1220,0,1221,0,1232,82,
1306,44,1307,1736268,1307,2016000,1308,40,1309,2016000,1309,2016000,1310,33,1310,0,1310,2016000,1311,22,1312,90,1312,2016000,1312,5565103,1313,100,1313,2016000,1115,0,1313,2016000,1314,75,1314,2016000,1314,55,1315,0,1315,0,1319,55,
1409,27,1409,1737024,1409,1401600,1410,10,1411,1401600,1411,1401600,1412,18,1412,0,1412,1401600,1413,0,1414,44,1414,1401600,1414,3162182,1415,50,1415,1401600,1217,0,1416,1401600,1416,27,1417,1401600,1417,10,1418,0,1418,0,1424,21,
1508,10,1508,1737676,1508,2016000,1509,0,1509,2016000,1509,2016000,1510,10,1510,0,1510,2016000,1511,0,1511,22,1512,2016000,1512,993134,1512,60,1512,2016000,1313,0,1513,2016000,1513,22,1513,2016000,1514,40,1514,0,1514,0,1518,19,
1608,11,1609,1738092,1609,2016000,1611,20,1611,2016000,1611,2016000,1612,10,1613,0,1613,2016000,1614,20,1615,37,1615,2016000,1616,2453552,1617,60,1618,2016000,1415,0,1618,2016000,1619,33,1620,2016000,1621,50,1622,0,1622,0,1627,34,
1709,20,1709,1738264,1710,1401600,1710,10,1711,1401600,1711,1401600,1712,0,1712,0,1712,1401600,1713,10,1714,30,1714,1401600,1714,2017004,1715,30,1715,1401600,1512,0,1715,1401600,1716,20,1716,1401600,1717,12,1717,0,1718,0,1723,11,
1809,0,1810,1738388,1810,1401600,1811,0,1811,1401600,1812,1401600,1812,0,1813,0,1813,1401600,1814,0,1815,0,1815,1401600,1815,373944,1816,20,1816,1401600,1618,0,1817,1401600,1817,0,1818,1401600,1818,0,1819,0,1819,0,1825,0,
1910,0,1911,1738512,1911,1401600,1912,0,1912,1401600,1912,1401600,1913,0,1913,0,1914,1401600,1914,0,1915,10,1915,1401600,1915,180940,1916,20,1917,1401600,1715,0,1917,1401600,1918,0,1918,1401600,1919,0,1919,0,1919,0,1926,2,
2010,0,2011,1737892,2011,1401600,2012,0,2012,1401600,2012,1401600,2013,0,2014,0,2014,1401600,2015,0,2016,30,2016,1401600,2016,301568,2017,22,2017,1401600,1816,0,2017,1401600,2018,0,2018,1401600,2019,9,2019,0,2020,0,2026,6,
2111,0,2112,1738084,2113,1401600,2114,0,2114,1401600,2115,1401600,2116,0,2117,0,2117,1401600,2119,0,2120,18,2121,1401600,2121,295536,2122,27,2123,1401600,1917,0,2123,1401600,2125,18,2125,1401600,2126,9,2126,0,2127,0,2134,6,
2211,18,2211,1738456,2212,1401600,2213,0,2213,1401600,2213,1401600,2214,0,2214,0,2215,1401600,2216,0,2216,33,2217,1401600,2217,633293,2218,22,2218,1401600,2017,0,2218,1401600,2219,11,2219,1401600,2220,11,2220,0,2221,0,2227,5,
2311,0,2312,1741776,2312,2016000,2313,0,2313,2016000,2313,2016000,2314,0,2314,0,2315,2016000,2315,0,2316,40,2316,2016000,2316,711480,2317,40,2317,2016000,2123,0,2318,2016000,2318,10,2318,2016000,2319,11,2320,0,2320,0,2324,10,
2412,0,2412,1746248,2413,2016000,2413,0,2414,2016000,2414,2016000,2415,0,2415,0,2415,2016000,2416,0,2417,50,2417,2016000,2417,1237928,2418,33,2418,2016000,2218,0,2419,2016000,2419,9,2420,2016000,2420,10,2421,0,2421,0,2425,13,
2512,0,2513,1751668,2513,1843200,2514,0,2514,1843200,2514,1843200,2516,0,2516,0,2516,1843200,2517,0,2518,60,2518,1843200,2518,1153504,2519,30,2519,1843200,2317,0,2519,1843200,2520,44,2520,1843200,2521,20,2521,0,2522,0,2527,18,
2613,16,2613,1754580,2614,2016000,2614,0,2615,2016000,2615,2016000,2616,0,2616,0,2616,2016000,2617,10,2618,77,2618,2016000,2618,2047308,2619,66,2619,2016000,2419,0,2619,2016000,2620,40,2620,2016000,2621,20,2622,0,2622,0,2626,26,
2713,0,2713,1756200,2714,2016000,2715,0,2715,2016000,2715,2016000,2716,0,2716,0,2717,2016000,2718,0,2718,44,2719,2016000,2719,1895927,2719,60,2720,2016000,2519,0,2720,2016000,2720,20,2721,2016000,2721,0,2722,0,2722,0,2727,16,
2813,0,2814,1758404,2814,2016000,2815,9,2815,2016000,2815,2016000,2816,0,2816,0,2816,2016000,2817,0,2818,77,2818,2016000,2818,1851316,2819,33,2819,2016000,2619,0,2819,2016000,2820,27,2820,2016000,2821,10,2821,0,2822,0,2826,18,
2913,9,2914,1760800,2914,2016000,2915,10,2916,2016000,2916,2016000,2917,0,2917,0,2918,2016000,2919,0,2919,50,2920,2016000,2920,1550199,2921,63,2921,2016000,2720,0,2921,2016000,2922,33,2922,2016000,2923,27,2923,0,2923,0,2928,25,
3014,0,3015,1762924,3015,2016000,3016,0,3016,2016000,3016,2016000,3017,0,3017,0,3017,2016000,3018,0,3019,63,3019,2016000,3019,2074367,3020,55,3020,2016000,2819,0,3020,2016000,3021,36,3021,2016000,3022,12,3022,0,3022,0,3026,19,
