App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 05:05:06 PM","20 min 50 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
5,9,5,1600624,6,1401600,7,10,7,1401600,7,1401600,8,8,8,0,9,1401600,10,10,11,0,11,1401600,11,223160,13,0,13,1401600,0,0,13,1401600,15,0,15,1401600,17,0,18,0,18,0,27,1,
55,0,55,1601244,56,1401600,57,0,57,1401600,57,1401600,58,0,59,0,59,1401600,60,0,61,60,62,1401600,62,361881,62,66,63,1401600,13,0,63,1401600,64,40,64,1401600,65,33,65,0,66,0,70,18,
155,25,156,1610268,156,1401600,157,0,157,1401600,158,1401600,158,0,159,0,159,1401600,160,0,161,40,161,1401600,161,1230398,162,30,163,1401600,63,0,163,1401600,165,27,166,1401600,167,10,167,0,168,0,173,15,
256,10,256,1610392,257,1401600,258,0,258,1401600,258,1401600,259,0,259,0,259,1401600,260,0,262,20,262,1401600,262,585042,263,27,264,1401600,163,0,264,1401600,265,10,266,1401600,267,9,267,0,268,0,274,6,
356,27,357,1610640,357,1401600,358,9,358,1401600,358,1401600,359,9,359,0,360,1401600,361,0,362,10,362,1401600,363,609167,364,30,364,1401600,264,0,365,1401600,366,0,366,1401600,367,0,368,0,368,0,374,6,
456,0,457,1610020,457,2016000,458,0,458,1401600,458,1401600,459,0,460,0,460,1401600,461,0,463,50,464,1401600,464,482509,465,20,466,1401600,364,0,466,1401600,468,0,468,1401600,469,0,470,0,470,0,476,8,
557,9,558,1610144,558,1401600,559,0,559,1401600,559,1401600,560,0,560,0,560,1401600,561,0,562,11,563,1401600,563,241254,564,10,564,1401600,466,0,565,1401600,566,0,566,1401600,567,10,568,0,568,0,574,1,
657,0,658,1610144,658,1401600,659,0,659,1401600,659,1401600,660,0,661,0,661,1401600,662,0,663,10,663,1401600,663,180940,665,27,665,1401600,564,0,665,1401600,667,0,667,1401600,668,0,668,0,669,0,675,3,
758,0,758,1610268,759,1401600,760,0,760,1401600,760,1401600,761,0,761,0,761,1401600,762,0,763,11,764,1401600,764,229191,765,22,765,1401600,665,0,766,1401600,767,0,767,1401600,768,0,769,0,769,0,775,2,
858,0,859,1610392,859,1401600,860,0,860,1401600,860,1401600,861,0,861,0,862,1401600,863,0,864,0,864,1401600,864,132690,865,20,866,1401600,766,0,866,1401600,867,9,868,1401600,869,0,869,0,870,0,875,3,
958,0,959,1610516,959,1401600,960,0,960,1401600,961,1401600,961,0,962,0,962,1401600,963,0,964,10,964,1401600,965,235223,966,20,966,1401600,866,0,967,1401600,968,0,969,1401600,969,0,970,0,970,0,977,3,
1059,0,1059,1610400,1059,1401600,1060,9,1060,1401600,1061,1401600,1061,0,1062,0,1062,1401600,1063,0,1065,20,1065,1401600,1065,295536,1066,20,1067,1401600,967,0,1067,1401600,1068,0,1069,1401600,1070,0,1070,0,1070,0,1076,4,
1159,0,1160,1610524,1160,1401600,1161,0,1161,1401600,1161,1401600,1162,0,1163,0,1163,1401600,1164,0,1165,27,1165,1401600,1165,283474,1167,20,1167,1401600,1067,0,1167,1401600,1169,9,1169,1401600,1170,9,1171,0,1171,0,1177,5,
1259,0,1260,1610648,1260,1401600,1261,9,1261,1401600,1262,1401600,1262,0,1263,0,1263,1401600,1264,0,1265,0,1266,1401600,1266,283474,1267,22,1267,1401600,1167,0,1268,1401600,1269,0,1269,1401600,1270,0,1271,0,1271,0,1277,3,
1360,0,1360,1610640,1361,1401600,1361,0,1362,1401600,1362,1401600,1363,0,1363,0,1363,1401600,1364,9,1365,10,1366,1401600,1366,247285,1367,20,1368,1401600,1267,0,1368,1401600,1369,0,1369,1401600,1371,0,1371,0,1371,0,1377,2,
1460,0,1461,1610764,1461,1401600,1462,0,1462,1401600,1462,1401600,1463,0,1464,0,1464,1401600,1465,0,1466,10,1466,1401600,1466,180940,1467,20,1468,1401600,1368,0,1468,1401600,1469,0,1470,1401600,1471,0,1471,0,1472,0,1478,2,
1561,0,1561,1610888,1562,1401600,1563,0,1563,1401600,1563,1401600,1564,0,1564,0,1565,1401600,1566,0,1567,10,1567,1401600,1567,180940,1568,27,1569,1401600,1468,0,1569,1401600,1570,0,1571,1401600,1572,0,1572,0,1572,0,1579,2,
1661,0,1662,1610384,1662,1401600,1663,0,1663,1401600,1663,1401600,1664,0,1664,0,1665,1401600,1666,0,1667,22,1667,1401600,1667,295536,1669,20,1669,1401600,1569,0,1669,1401600,1670,0,1671,1401600,1672,9,1672,0,1672,0,1678,4,
1761,0,1762,1610508,1762,1401600,1763,0,1763,1401600,1763,1401600,1764,0,1764,0,1765,1401600,1766,0,1767,20,1767,1401600,1767,295536,1769,30,1769,1401600,1669,0,1769,1401600,1770,10,1770,1401600,1771,0,1771,0,1772,0,1777,5,
1862,0,1862,1610632,1862,1401600,1863,0,1864,1401600,1864,1401600,1865,0,1865,0,1865,1401600,1866,0,1868,20,1868,1401600,1868,361881,1869,20,1870,1401600,1769,0,1870,1401600,1871,0,1871,1401600,1872,0,1872,0,1872,0,1878,3,
1962,0,1962,1610756,1963,1401600,1964,0,1964,1401600,1964,1401600,1965,0,1965,0,1965,1401600,1966,0,1967,20,1967,1401600,1968,241254,1969,20,1969,1401600,1870,0,1969,1401600,1970,0,1971,1401600,1972,0,1972,0,1972,0,1978,4,
2062,0,2063,1610764,2063,1401600,2064,0,2064,1401600,2065,1401600,2065,0,2066,0,2066,1401600,2067,0,2068,30,2069,1401600,2069,301568,2070,30,2071,1401600,1969,0,2071,1401600,2073,10,2073,1401600,2074,0,2075,0,2075,0,2081,4,
2163,25,2164,1632032,2165,2016000,2166,30,2167,2016000,2167,2016000,2169,36,2170,0,2171,2016000,2172,33,2174,81,2174,2016000,2174,2527519,2175,80,2176,2016000,2071,0,2176,2016000,2177,60,2178,2016000,2179,60,2179,0,2180,0,2191,45,
2263,45,2264,1633308,2265,2016000,2266,44,2266,2016000,2267,2016000,2268,55,2269,0,2270,2016000,2271,33,2272,90,2273,2016000,2273,5208223,2274,81,2275,2016000,2176,0,2275,2016000,2277,77,2277,2016000,2279,81,2279,0,2280,0,2291,68,
2371,83,2372,1634444,2372,2016000,2374,72,2374,2016000,2374,2016000,2375,66,2376,0,2376,2016000,2377,70,2378,90,2379,2016000,2379,6914557,2380,90,2381,2016000,2275,0,2381,2016000,2382,81,2382,2016000,2383,80,2384,0,2385,0,2395,77,
2471,63,2472,1639212,2472,2016000,2473,63,2473,2016000,2473,2016000,2474,45,2475,0,2475,2016000,2476,45,2476,100,2476,2016000,2477,6323474,2477,90,2478,2016000,2381,0,2478,2016000,2479,80,2479,2016000,2479,70,2480,0,2480,0,2484,65,
2571,25,2572,1640184,2572,2016000,2573,10,2573,2016000,2573,2016000,2574,10,2574,0,2574,2016000,2575,9,2575,55,2575,2016000,2575,3892226,2576,40,2576,2016000,2478,0,2576,2016000,2577,50,2577,1401600,2578,30,2578,0,2579,0,2584,25,
2672,0,2672,1640688,2673,2016000,2673,11,2674,2016000,2674,2016000,2675,0,2675,0,2675,2016000,2676,0,2676,25,2676,2016000,2677,1586157,2677,77,2677,2016000,2576,0,2678,2016000,2678,20,2678,2016000,2679,33,2679,0,2679,0,2683,16,
2773,0,2773,1640812,2774,1401600,2775,0,2775,1401600,2776,1401600,2777,0,2778,0,2778,1401600,2779,0,2780,25,2781,1401600,2781,1600610,2783,9,2784,1401600,2677,0,2784,1401600,2786,0,2787,1401600,2788,18,2789,0,2789,0,2796,6,
2872,60,2873,1642852,2874,1843200,2875,40,2876,1843200,2876,1843200,2877,40,2878,0,2878,2016000,2879,25,2880,90,2880,2016000,2880,2783725,2881,72,2881,2016000,2784,0,2881,2016000,2882,72,2882,2016000,2883,80,2883,0,2883,0,2888,49,
2973,0,2974,1642836,2974,1401600,2975,0,2975,1401600,2975,1401600,2976,0,2977,0,2977,1401600,2978,0,2979,14,2979,1401600,2979,2582601,2980,11,2980,1401600,2881,0,2980,1401600,2981,0,2981,1401600,2982,0,2983,0,2983,0,2989,2,
3074,0,3074,1642836,3075,1401600,3076,0,3076,1401600,3076,1401600,3077,0,3077,0,3078,1401600,3078,0,3079,0,3079,1401600,3080,66345,3080,36,3081,1401600,2980,0,3081,1401600,3082,0,3082,1401600,3083,0,3083,0,3084,0,3090,3,
3174,0,3175,1642844,3175,1401600,3176,0,3176,1401600,3177,1401600,3178,0,3178,0,3178,1401600,3179,0,3180,20,3180,1401600,3181,337756,3182,20,3182,1401600,3081,0,3182,1401600,3183,9,3183,1401600,3184,9,3184,0,3185,0,3191,4,
3275,0,3275,1642844,3276,1401600,3277,0,3277,1401600,3277,1401600,3278,0,3278,0,3279,1401600,3279,0,3280,22,3280,1401600,3281,361881,3281,40,3282,1401600,3182,0,3282,1401600,3283,0,3283,1401600,3284,0,3284,0,3285,0,3292,6,
3375,0,3376,1642844,3376,1401600,3377,10,3377,1401600,3378,1401600,3378,0,3379,0,3379,1401600,3380,0,3381,33,3381,1401600,3381,500603,3382,11,3382,1401600,3282,0,3382,1401600,3383,0,3383,1401600,3384,30,3385,0,3385,0,3392,8,
3476,0,3477,1642868,3477,1401600,3478,18,3479,1401600,3479,1401600,3480,9,3480,0,3480,1401600,3481,0,3482,36,3482,1401600,3482,627261,3483,10,3483,1401600,3382,0,3484,1401600,3485,20,3485,1401600,3486,0,3486,0,3486,0,3493,8,
3576,0,3577,1642992,3577,1401600,3578,9,3578,1401600,3578,1401600,3579,0,3580,0,3580,1401600,3581,0,3581,18,3582,1401600,3582,343787,3583,11,3583,1401600,3484,0,3583,1401600,3584,10,3584,1401600,3585,0,3585,0,3586,0,3592,4,
3676,0,3677,1642992,3677,1401600,3678,9,3678,1401600,3679,1401600,3679,0,3680,0,3680,1401600,3681,0,3682,18,3682,1401600,3682,289505,3683,20,3683,1401600,3583,0,3684,1401600,3685,0,3685,1401600,3686,0,3686,0,3686,0,3692,3,
3777,0,3777,1643116,3778,1401600,3779,0,3779,1401600,3779,1401600,3780,0,3780,0,3780,1401600,3781,0,3782,0,3782,1401600,3783,120627,3783,18,3784,1401600,3684,0,3784,1401600,3785,0,3785,1401600,3786,0,3786,0,3786,0,3792,1,
