App,Package,Start Time,Duration,Filename
"System",,"Jun 22, 2018 @ 06:46:23 PM","21 min 12 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,1036800,3,11,3,1036800,5,11,6,1036800,8,11,10,0,10,1401600,12,10,13,1401600,14,5,14,212739,15,1401600,17,1,17,0,17,1401600,19,8,19,1401600,21,1,21,0,22,0,34,0,
100,1401600,102,22,103,1401600,104,11,104,1401600,105,20,106,0,106,1401600,108,0,108,1401600,109,25,109,530760,110,1401600,112,50,42,0,113,2016000,114,22,114,2016000,115,20,115,0,115,0,121,18,
201,2016000,203,11,203,2016000,204,9,204,2016000,206,10,207,0,207,2016000,208,0,208,2016000,209,70,209,1885224,209,2016000,210,90,113,0,210,2016000,210,33,211,2016000,211,20,212,0,212,0,216,28,
301,1401600,303,0,303,1401600,304,0,304,1401600,305,0,305,0,306,1401600,307,10,307,1401600,308,20,308,1775750,308,1401600,309,22,210,0,309,1401600,310,0,310,1401600,311,0,312,0,312,0,319,6,
402,1401600,403,0,403,1401600,404,0,405,1401600,405,0,406,0,406,1401600,407,27,407,1401600,408,40,408,536791,408,1401600,409,27,309,0,409,1401600,410,0,411,1401600,411,0,412,0,412,0,419,7,
502,1401600,503,0,504,1401600,504,0,505,1401600,505,0,506,0,506,1401600,507,0,507,1401600,508,0,508,162846,508,1401600,509,22,409,0,509,1401600,510,0,510,1401600,511,0,511,0,512,0,518,2,
602,1401600,604,9,604,1401600,605,9,605,1401600,606,0,606,0,606,1401600,607,10,607,1401600,608,20,608,422195,608,1401600,609,36,509,0,609,1401600,610,0,610,1401600,611,9,611,0,612,0,618,7,
703,1401600,705,9,705,1401600,706,0,706,1401600,707,0,707,0,708,1401600,709,9,709,1401600,710,22,710,512666,710,1401600,711,27,609,0,711,1401600,712,18,712,1401600,713,9,713,0,714,0,720,9,
804,1401600,806,0,806,1401600,808,10,808,1401600,809,0,810,0,810,1401600,812,18,812,1401600,813,58,814,844391,814,1401600,815,45,711,0,816,1401600,817,33,817,1401600,819,20,819,0,819,0,828,17,
904,2016000,905,44,906,2016000,907,20,907,2016000,908,30,908,0,909,2016000,910,12,911,2016000,912,88,912,2754661,912,2016000,914,70,815,0,915,2016000,916,66,916,2016000,917,100,918,0,918,0,924,51,
1004,2016000,1006,33,1006,2016000,1007,22,1008,2016000,1009,18,1009,0,1010,2016000,1011,27,1011,2016000,1012,63,1012,4449852,1012,2016000,1013,58,914,0,1013,2016000,1014,40,1014,2016000,1015,50,1016,0,1016,0,1025,35,
1105,2016000,1106,40,1106,2016000,1108,70,1108,2016000,1109,30,1110,0,1110,2016000,1111,45,1111,2016000,1112,88,1112,4695207,1113,2016000,1113,75,1013,0,1114,2016000,1115,77,1115,2016000,1116,72,1117,0,1118,0,1126,64,
1205,2016000,1207,44,1207,2016000,1208,25,1208,2016000,1209,25,1210,0,1210,2016000,1211,20,1212,2016000,1213,87,1213,4739817,1213,2016000,1214,80,1114,0,1214,2016000,1215,60,1215,2016000,1217,55,1217,0,1218,0,1226,51,
1306,2016000,1307,22,1307,2016000,1308,25,1308,2016000,1309,20,1309,0,1309,2016000,1310,12,1310,2016000,1311,75,1311,3892226,1311,2016000,1312,70,1214,0,1312,2016000,1313,50,1313,2016000,1313,36,1314,0,1314,0,1319,34,
1407,2016000,1408,0,1408,2016000,1409,0,1409,2016000,1410,0,1410,0,1411,2016000,1412,0,1412,2016000,1413,60,1413,2408942,1413,2016000,1414,54,1312,0,1414,2016000,1415,36,1415,2016000,1416,22,1416,0,1416,0,1421,22,
1507,1401600,1508,10,1509,1401600,1510,10,1510,1401600,1511,0,1511,0,1511,1401600,1512,0,1512,1401600,1513,11,1513,1436053,1513,1401600,1514,30,1414,0,1515,1401600,1515,10,1515,1401600,1516,30,1517,0,1517,0,1523,10,
1607,2016000,1608,0,1608,2016000,1609,0,1609,2016000,1610,0,1610,0,1611,1401600,1611,0,1612,1401600,1613,20,1613,542822,1613,1401600,1614,0,1514,0,1614,1401600,1615,11,1615,1401600,1616,30,1616,0,1616,0,1622,8,
1707,1401600,1709,0,1709,1401600,1710,0,1710,1401600,1711,0,1711,0,1712,1401600,1712,0,1713,1401600,1714,30,1714,428226,1714,1401600,1715,22,1614,0,1715,1401600,1716,9,1716,1401600,1717,18,1717,0,1717,0,1723,6,
1808,1401600,1809,0,1809,1401600,1810,0,1811,1401600,1811,0,1812,0,1812,1401600,1813,0,1813,1401600,1814,0,1814,295536,1814,1401600,1815,20,1715,0,1815,1401600,1816,0,1816,1401600,1817,0,1818,0,1818,0,1824,2,
1908,1401600,1909,0,1910,1401600,1911,0,1911,1401600,1912,0,1912,0,1912,1401600,1913,0,1914,1401600,1914,0,1914,120627,1915,1401600,1915,20,1815,0,1916,1401600,1917,0,1917,1401600,1918,0,1918,0,1918,0,1925,0,
2008,1401600,2010,0,2010,1401600,2011,0,2011,1401600,2012,0,2012,0,2013,1401600,2014,0,2014,1401600,2015,27,2015,283474,2015,1401600,2016,20,1915,0,2016,1401600,2017,0,2017,1401600,2018,0,2018,0,2019,0,2025,4,
2109,1401600,2110,0,2110,1401600,2111,0,2111,1401600,2112,0,2113,0,2113,1401600,2114,0,2114,1401600,2115,0,2115,120627,2115,1401600,2116,20,2016,0,2116,1401600,2117,0,2117,1401600,2118,0,2118,0,2119,0,2125,1,
2209,1401600,2210,62,2211,1401600,2211,0,2212,1401600,2213,0,2213,0,2213,1401600,2214,0,2214,1401600,2215,10,2215,554885,2215,1401600,2216,20,2116,0,2216,1401600,2217,0,2218,1401600,2218,0,2219,0,2219,0,2225,8,
2309,1401600,2311,0,2311,1401600,2312,0,2312,1401600,2313,0,2313,0,2314,1401600,2314,0,2315,1401600,2315,10,2315,180940,2316,1401600,2316,30,2216,0,2317,1401600,2317,0,2318,1401600,2318,0,2319,0,2319,0,2325,2,
2410,1401600,2411,9,2411,1401600,2412,0,2413,1401600,2413,0,2414,0,2414,1401600,2415,0,2415,1401600,2416,11,2416,301568,2416,1401600,2417,11,2317,0,2417,1401600,2418,0,2419,1401600,2419,0,2420,0,2420,0,2426,2,
2510,1401600,2512,0,2513,1401600,2514,9,2514,1401600,2515,0,2515,0,2516,1401600,2517,0,2517,1401600,2518,22,2518,253317,2518,1401600,2519,30,2417,0,2519,1401600,2520,0,2520,1401600,2521,0,2522,0,2522,0,2530,5,
2611,1401600,2612,0,2612,1401600,2613,0,2613,1401600,2614,0,2615,0,2615,1401600,2616,0,2616,1401600,2617,30,2617,361881,2617,1401600,2618,30,2519,0,2618,1401600,2619,0,2619,1401600,2620,0,2620,0,2621,0,2628,5,
2711,1401600,2713,0,2713,1401600,2714,0,2714,1401600,2715,9,2716,0,2716,1401600,2717,0,2717,1401600,2718,40,2718,476477,2718,1401600,2719,12,2618,0,2719,1401600,2720,10,2720,1401600,2722,9,2723,0,2723,0,2731,7,
2812,1401600,2813,0,2813,1401600,2814,0,2815,1401600,2815,0,2816,0,2816,1401600,2817,0,2817,1401600,2818,25,2818,337756,2818,1401600,2819,30,2719,0,2819,1401600,2820,18,2820,1401600,2821,0,2821,0,2822,0,2829,5,
2912,1401600,2914,0,2914,1401600,2915,0,2915,1401600,2916,0,2917,0,2917,1401600,2918,0,2918,1401600,2919,27,2919,452352,2919,1401600,2920,27,2819,0,2920,1401600,2921,9,2921,1401600,2922,0,2923,0,2923,0,2931,5,
3013,1401600,3014,0,3014,1401600,3015,0,3015,1401600,3016,0,3017,0,3017,1401600,3018,0,3018,1401600,3019,25,3019,367913,3020,1401600,3020,30,2920,0,3021,1401600,3022,0,3022,1401600,3023,0,3023,0,3024,0,3031,5,
3113,1401600,3114,16,3115,1401600,3116,9,3116,1401600,3117,0,3118,0,3118,1401600,3119,0,3119,1401600,3120,22,3120,464415,3121,1401600,3121,30,3021,0,3122,1401600,3124,0,3124,1401600,3126,0,3127,0,3127,0,3134,8,
3213,1401600,3215,18,3215,1401600,3216,0,3216,1401600,3217,0,3217,0,3218,1401600,3218,0,3219,1401600,3219,33,3220,488540,3220,1401600,3221,22,3121,0,3221,1401600,3222,10,3222,1401600,3223,10,3223,0,3224,0,3231,5,
3314,1401600,3316,18,3316,1401600,3317,0,3318,1401600,3318,9,3319,0,3319,1401600,3320,0,3320,1401600,3321,20,3321,536791,3321,1401600,3322,30,3221,0,3322,1401600,3323,10,3324,1401600,3325,0,3326,0,3326,0,3333,9,
3414,2016000,3416,10,3416,2016000,3417,0,3417,2016000,3418,0,3418,0,3418,2016000,3419,9,3419,2016000,3420,33,3420,821185,3420,2016000,3420,50,3322,0,3421,2016000,3421,22,3421,2016000,3422,20,3422,0,3422,0,3428,12,
3515,1401600,3516,0,3517,1401600,3517,0,3518,1401600,3518,0,3519,0,3519,1401600,3520,0,3520,1401600,3521,30,3521,1206972,3521,1401600,3522,0,3421,0,3522,1401600,3523,0,3524,1401600,3525,0,3526,0,3526,0,3533,4,
3615,2016000,3616,11,3617,2016000,3617,10,3618,2016000,3618,0,3619,0,3619,2016000,3619,0,3620,2016000,3620,70,3620,1014878,3621,2016000,3621,50,3522,0,3621,2016000,3622,22,3622,2016000,3623,27,3623,0,3624,0,3629,17,
3716,2016000,3716,0,3717,2016000,3717,0,3717,2016000,3718,0,3718,0,3718,2016000,3719,0,3719,2016000,3720,18,3720,1304843,3720,2016000,3721,27,3621,0,3721,2016000,3721,70,3721,2016000,3722,0,3722,0,3723,0,3727,14,
3817,652800,3820,9,3821,652800,3824,9,3825,652800,3827,0,3828,0,3829,652800,3833,0,3834,652800,3837,9,3837,1131244,3838,652800,3840,16,3721,0,3841,652800,3843,7,3844,652800,3847,0,3848,0,3848,0,3858,6,
3918,652800,3921,33,3923,652800,3926,11,3927,652800,3931,9,3932,0,3934,652800,3937,0,3938,652800,3942,0,3942,139193,3943,652800,3947,0,3840,0,3948,652800,3951,0,3952,1401600,3953,0,3954,0,3954,0,3965,2,
