App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 02:06:56 PM","20 min 27 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,2,2,1829280,2,1401600,4,90,4,1401600,5,1401600,6,89,7,0,7,1401600,9,88,11,84,11,1401600,11,2129071,13,74,14,1401600,14,0,14,1401600,17,74,17,1401600,19,69,20,0,21,0,22,0,
50,50,50,1829796,51,2016000,52,25,52,2016000,52,2016000,53,25,54,0,54,2016000,55,60,56,25,56,2016000,56,3372020,57,20,57,2016000,46,0,58,2016000,59,25,59,2016000,60,20,60,0,61,0,70,0,
150,0,151,1830268,151,2016000,152,0,152,2016000,152,2016000,153,0,153,0,154,2016000,155,0,155,62,156,2016000,156,1416369,157,70,157,2016000,57,0,157,2016000,158,36,158,2016000,159,20,159,0,160,0,165,23,
251,0,251,1830648,252,1401600,253,10,253,1401600,254,1401600,254,18,255,0,255,1401600,256,0,257,40,258,1401600,258,1815349,259,20,259,1401600,157,0,260,1401600,260,0,261,1401600,262,0,262,0,263,0,270,8,
351,10,352,1831020,352,1401600,353,0,354,1401600,354,1401600,355,10,356,0,356,1401600,357,0,358,22,358,1401600,358,373944,359,20,360,1401600,259,0,360,1401600,361,0,361,1401600,362,0,363,0,363,0,371,6,
451,25,452,1831268,452,1401600,453,0,454,1401600,454,1401600,455,0,456,0,456,1401600,457,0,458,18,458,1401600,458,379976,459,22,460,1401600,360,0,460,1401600,461,0,461,1401600,462,0,463,0,463,0,471,6,
552,18,552,1831764,553,1401600,554,0,554,1401600,554,1401600,555,0,556,0,556,1401600,557,0,558,33,558,1401600,559,440289,560,36,560,1401600,460,0,560,1401600,561,16,562,1401600,563,0,565,0,565,0,573,8,
652,10,653,1831888,653,1401600,654,0,654,1401600,655,1401600,656,0,656,0,657,1401600,658,0,658,11,659,1401600,659,440289,660,30,660,1401600,560,0,661,1401600,662,10,663,1401600,663,0,664,0,664,0,671,3,
752,0,753,1832012,753,1401600,754,0,755,1401600,755,1401600,756,0,756,0,757,1401600,757,0,758,0,759,1401600,759,241254,760,22,760,1401600,660,0,760,1401600,761,0,762,1401600,762,0,763,0,763,0,770,1,
853,0,853,1832136,854,1401600,855,0,855,1401600,855,1401600,856,0,857,0,857,1401600,858,0,859,10,859,1401600,859,193003,860,20,861,1401600,760,0,861,1401600,862,0,862,1401600,863,0,864,0,864,0,871,3,
953,0,954,1832384,954,1401600,955,0,956,1401600,956,1401600,957,0,957,0,957,1401600,958,0,959,11,960,1401600,960,186972,961,30,961,1401600,861,0,961,1401600,962,0,963,1401600,964,0,964,0,964,0,972,2,
1053,0,1054,1831900,1054,1401600,1055,0,1056,1401600,1056,1401600,1057,0,1058,0,1058,1401600,1059,0,1060,27,1060,1401600,1060,343787,1061,27,1061,1401600,961,0,1062,1401600,1063,0,1063,1401600,1064,0,1064,0,1065,0,1071,4,
1154,0,1155,1832164,1155,1401600,1156,0,1157,1401600,1157,1401600,1158,0,1158,0,1159,1401600,1160,0,1160,22,1161,1401600,1161,295536,1162,22,1162,1401600,1061,0,1163,1401600,1164,0,1164,1401600,1165,9,1166,0,1166,0,1174,5,
1254,10,1256,1838072,1257,2016000,1260,11,1260,2016000,1260,2016000,1261,10,1262,0,1262,2016000,1263,18,1265,70,1265,2016000,1266,1514121,1267,70,1267,2016000,1162,0,1268,2016000,1269,40,1269,2016000,1270,36,1271,0,1271,0,1277,28,
1355,50,1356,1834084,1356,2016000,1357,30,1357,2016000,1358,2016000,1359,22,1359,0,1359,2016000,1360,33,1361,90,1362,2016000,1362,4137581,1363,80,1364,2016000,1267,0,1364,2016000,1366,70,1366,2016000,1367,60,1368,0,1368,0,1375,54,
1456,50,1456,1831052,1457,2016000,1458,37,1458,2016000,1459,2016000,1460,40,1460,0,1461,2016000,1462,33,1464,81,1464,2016000,1464,5029782,1465,70,1466,2016000,1364,0,1466,2016000,1467,75,1468,2016000,1469,77,1469,0,1470,0,1477,59,
1556,55,1557,1835636,1558,2016000,1559,55,1559,2016000,1560,2016000,1561,50,1561,0,1561,2016000,1562,36,1564,90,1564,2016000,1564,5665476,1565,100,1566,2016000,1466,0,1566,2016000,1568,88,1568,2016000,1569,72,1570,0,1570,0,1577,68,
1656,81,1657,1833028,1657,2016000,1658,30,1659,2016000,1659,2016000,1660,22,1660,0,1661,2016000,1662,20,1663,87,1663,2016000,1663,5576256,1664,80,1664,2016000,1566,0,1665,2016000,1666,80,1666,2016000,1667,100,1668,0,1668,0,1674,60,
1756,11,1757,1832300,1757,1958400,1758,10,1759,1958400,1759,1958400,1760,18,1760,0,1761,1958400,1762,0,1763,70,1763,1958400,1763,4055953,1764,37,1764,1958400,1664,0,1765,1958400,1766,38,1767,1958400,1768,25,1769,0,1769,0,1776,24,
1857,9,1858,1833468,1858,1401600,1859,0,1859,1401600,1860,1401600,1861,18,1861,0,1861,1401600,1863,9,1864,30,1864,1401600,1864,1458896,1866,30,1867,1401600,1764,0,1867,1401600,1868,11,1868,1401600,1869,20,1870,0,1870,0,1877,11,
1957,0,1958,1833468,1958,1401600,1959,0,1960,1401600,1960,1401600,1961,9,1961,0,1961,1401600,1962,0,1963,44,1963,1401600,1963,687575,1964,20,1965,1401600,1867,0,1965,1401600,1966,22,1966,1401600,1967,0,1967,0,1968,0,1974,9,
2058,0,2059,1833188,2059,1401600,2060,0,2060,1401600,2060,1401600,2061,0,2062,0,2062,1401600,2063,0,2064,22,2064,1401600,2064,386007,2065,11,2065,1401600,1965,0,2066,1401600,2067,0,2067,1401600,2068,0,2068,0,2068,0,2074,3,
2158,0,2159,1833348,2159,1401600,2160,0,2160,1401600,2161,1401600,2162,0,2162,0,2162,1401600,2163,0,2164,18,2164,1401600,2164,174909,2165,11,2166,1401600,2065,0,2166,1401600,2167,0,2167,1401600,2168,0,2168,0,2169,0,2175,1,
2259,10,2260,1833496,2260,1401600,2261,9,2261,1401600,2262,1401600,2263,0,2263,0,2263,1401600,2264,0,2265,37,2265,1401600,2265,404101,2266,20,2267,1401600,2166,0,2267,1401600,2268,10,2268,1401600,2269,27,2269,0,2270,0,2275,10,
2359,0,2359,1833744,2359,2016000,2360,0,2360,2016000,2360,2016000,2361,0,2361,0,2362,2016000,2362,0,2363,92,2364,2016000,2364,1369818,2364,0,2365,2016000,2267,0,2365,2016000,2366,10,2366,2016000,2366,10,2367,0,2367,0,2371,14,
2460,0,2461,1834000,2461,1401600,2463,9,2463,1401600,2464,1401600,2465,0,2466,0,2466,1401600,2467,0,2468,33,2469,1401600,2469,476367,2470,20,2470,1401600,2365,0,2471,1401600,2472,11,2472,1401600,2473,0,2474,0,2474,0,2480,6,
2560,0,2560,1833916,2561,1401600,2562,0,2562,1401600,2562,1401600,2563,0,2563,0,2564,1401600,2565,0,2566,40,2566,1401600,2566,428226,2567,33,2567,1401600,2470,0,2568,1401600,2569,10,2570,1401600,2571,0,2572,0,2572,0,2580,7,
2660,9,2661,1834032,2661,1401600,2662,18,2662,1401600,2663,1401600,2664,10,2664,0,2664,1401600,2665,0,2666,33,2666,1401600,2667,681544,2667,22,2668,1401600,2567,0,2668,1401600,2669,11,2670,1401600,2671,0,2672,0,2672,0,2679,8,
2760,0,2761,1834032,2761,1401600,2762,16,2762,1401600,2763,1401600,2763,10,2764,0,2764,1401600,2765,0,2766,12,2766,1401600,2766,428226,2767,54,2767,1401600,2668,0,2768,1401600,2769,20,2769,1401600,2770,0,2770,0,2770,0,2776,9,
2861,0,2861,1834032,2862,1401600,2863,0,2863,1401600,2863,1401600,2864,0,2865,0,2865,1401600,2866,0,2867,0,2867,1401600,2867,446321,2868,20,2868,1401600,2768,0,2868,1401600,2869,0,2870,1401600,2870,0,2871,0,2871,0,2877,1,
2961,0,2962,1834040,2963,1401600,2964,0,2965,1401600,2965,1401600,2966,0,2967,0,2967,1401600,2969,0,2970,18,2970,1401600,2970,229191,2971,11,2971,1401600,2868,0,2971,1401600,2972,10,2973,1401600,2974,25,2974,0,2975,0,2981,5,
3061,55,3062,1834660,3062,2016000,3063,40,3064,2016000,3064,2016000,3065,50,3066,0,3066,2016000,3067,37,3068,88,3068,2016000,3069,3288621,3069,75,3070,2016000,2971,0,3070,2016000,3071,66,3071,2016000,3073,100,3073,0,3073,0,3079,63,
3162,33,3162,1828532,3162,2016000,3163,37,3163,2016000,3163,2016000,3164,27,3164,0,3164,2016000,3165,22,3165,60,3166,2016000,3166,4684055,3166,60,3167,2016000,3070,0,3167,2016000,3167,50,3168,2016000,3168,44,3168,0,3169,0,3173,37,
