App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 09:44:48 PM","20 min 34 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,34,1,1497208,2,1036800,4,82,4,1036800,5,1036800,7,82,8,0,8,1036800,10,82,12,51,13,1036800,13,1226390,15,36,16,1401600,16,0,16,1401600,18,32,18,1401600,20,27,21,0,21,0,23,0,
100,33,100,1498084,100,2016000,101,10,101,2016000,101,2016000,102,22,103,0,103,2016000,104,20,104,37,104,2016000,104,1933586,105,50,105,2016000,47,0,106,2016000,106,22,107,2016000,107,12,108,0,108,0,113,0,
200,0,201,1508376,201,1401600,202,0,202,1401600,202,1401600,203,0,203,0,204,1401600,204,18,205,50,205,1401600,205,1346943,206,30,206,1401600,106,0,207,1401600,207,10,207,1401600,208,10,209,0,209,0,215,12,
301,0,301,1508500,301,1401600,302,10,302,1401600,303,1401600,303,0,304,0,304,1401600,306,0,307,20,307,1401600,307,482509,308,25,308,1401600,206,0,308,1401600,309,18,310,1401600,310,0,311,0,311,0,318,6,
401,0,402,1508376,402,1401600,403,20,403,1401600,403,1401600,404,0,404,0,404,1401600,405,9,406,22,406,1401600,406,566948,407,33,407,1401600,308,0,407,1401600,408,0,408,1401600,409,0,409,0,410,0,415,7,
501,0,502,1508500,502,1401600,503,0,503,1401600,504,1401600,504,0,505,0,505,1401600,506,0,507,11,507,1401600,507,265380,508,10,508,1401600,407,0,508,1401600,509,0,509,1401600,510,10,510,0,511,0,517,1,
602,0,602,1508500,602,1401600,603,0,603,1401600,604,1401600,604,0,605,0,605,1401600,606,0,607,30,607,1401600,607,301568,608,22,608,1401600,508,0,608,1401600,609,0,609,1401600,610,0,610,0,611,0,616,4,
702,0,703,1508500,703,1401600,704,0,704,1401600,704,1401600,705,0,705,0,706,1401600,706,0,707,10,707,1401600,707,193003,708,18,708,1401600,608,0,709,1401600,709,10,710,1401600,710,0,711,0,711,0,717,3,
802,0,803,1508500,803,1401600,804,0,804,1401600,805,1401600,805,18,806,0,806,1401600,807,0,808,18,808,1401600,808,386007,809,20,809,1401600,708,0,809,1401600,810,0,810,1401600,811,11,811,0,812,0,818,5,
903,0,904,1508624,904,1401600,905,0,905,1401600,905,1401600,906,0,907,0,907,1401600,908,0,909,11,909,1401600,910,253317,910,11,911,1401600,809,0,911,1401600,912,10,912,1401600,913,0,914,0,914,0,924,3,
1003,0,1004,1508252,1004,1401600,1005,0,1005,1401600,1005,1401600,1006,0,1006,0,1006,1401600,1007,0,1008,20,1008,1401600,1008,247285,1009,20,1009,1401600,911,0,1009,1401600,1010,10,1010,1401600,1011,10,1011,0,1012,0,1017,4,
1104,0,1104,1508368,1104,1401600,1105,0,1105,1401600,1105,1401600,1106,0,1107,0,1107,1401600,1108,0,1108,10,1109,1401600,1109,301568,1109,11,1110,1401600,1009,0,1110,1401600,1111,0,1111,1401600,1111,0,1112,0,1112,0,1118,1,
1204,0,1205,1508492,1205,1401600,1206,9,1206,1401600,1206,1401600,1207,0,1207,0,1208,1401600,1208,0,1209,0,1209,1401600,1209,120627,1210,20,1210,1401600,1110,0,1210,1401600,1211,10,1211,1401600,1212,0,1213,0,1213,0,1219,3,
1305,0,1306,1508608,1306,1401600,1307,10,1307,1401600,1307,1401600,1308,0,1309,0,1309,1401600,1310,0,1310,36,1310,1401600,1311,458383,1311,20,1311,1401600,1210,0,1312,1401600,1312,9,1313,1401600,1313,11,1314,0,1314,0,1321,7,
