App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 03:37:42 PM","21 min 13 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,16,0,1804856,1,1401600,2,16,2,1401600,2,1401600,4,16,4,0,4,1401600,6,15,7,31,7,1401600,7,566948,8,3,8,1401600,9,0,9,1401600,10,1,10,1401600,12,12,12,0,12,0,19,2,
100,0,101,1820072,101,1401600,102,0,102,1401600,102,1401600,103,10,103,0,104,1401600,104,0,105,70,105,1401600,105,579011,106,44,106,1401600,51,0,107,1401600,107,11,108,1401600,108,11,109,0,109,0,117,12,
201,0,201,1820684,201,1401600,202,9,202,1401600,203,1401600,203,0,204,0,204,1401600,205,18,206,44,206,1401600,206,826297,207,54,207,1401600,106,0,208,1401600,208,27,209,1401600,210,20,210,0,211,0,217,15,
301,0,302,1821180,302,1401600,303,0,303,1401600,303,1401600,304,0,304,0,305,1401600,306,20,307,10,307,1401600,307,790108,308,22,308,1401600,207,0,308,1401600,309,0,310,1401600,311,0,311,0,312,0,318,4,
401,0,402,1821552,402,1401600,403,9,403,1401600,404,1401600,404,0,405,0,405,1401600,406,27,407,11,407,1401600,407,416164,408,27,408,1401600,308,0,408,1401600,409,9,410,1401600,411,0,411,0,412,0,418,6,
502,16,502,1822016,502,1401600,503,0,504,1401600,504,1401600,505,0,505,0,505,1401600,506,18,507,11,507,1401600,507,488540,508,30,508,1401600,408,0,509,1401600,509,18,510,1401600,511,10,511,0,512,0,519,9,
602,0,603,1822636,603,1401600,604,0,604,1401600,605,1401600,606,0,606,0,606,1401600,607,0,608,25,608,1401600,608,500603,609,33,609,1401600,508,0,610,1401600,611,18,611,1401600,612,9,613,0,613,0,619,7,
702,0,703,1823132,703,1401600,704,0,705,1401600,705,1401600,706,0,706,0,706,1401600,707,18,708,20,708,1401600,709,591073,709,22,710,1401600,609,0,710,1401600,711,0,711,1401600,712,0,713,0,713,0,719,5,
803,0,804,1823628,804,1401600,805,0,805,1401600,806,1401600,807,0,807,0,807,1401600,809,0,810,11,810,1401600,810,199035,811,27,811,1401600,710,0,812,1401600,813,0,813,1401600,814,0,815,0,815,0,821,3,
903,0,904,1824036,904,1401600,905,0,905,1401600,906,1401600,906,0,907,0,907,1401600,908,0,909,10,909,1401600,909,223160,910,22,910,1401600,811,0,911,1401600,912,0,912,1401600,913,0,913,0,914,0,920,1,
