App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 02:30:40 PM","20 min 19 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,18,2,1826684,2,1036800,4,0,5,1036800,6,1036800,11,0,12,0,13,1036800,15,0,16,0,17,1401600,17,66691,21,0,21,1401600,21,0,22,1401600,23,0,24,1401600,26,0,26,0,27,0,38,0,
100,30,100,1829988,101,1843200,101,50,101,1843200,101,1843200,102,11,102,0,103,1843200,103,22,104,55,104,1843200,104,1606008,105,30,105,1843200,53,0,105,1843200,106,25,106,1843200,106,41,107,0,107,0,112,21,
200,0,201,1830600,201,1401600,202,18,202,1401600,202,1401600,203,0,203,0,203,1401600,204,0,205,30,205,1401600,205,1207224,206,40,206,1401600,105,0,207,1401600,207,11,208,1401600,209,10,209,0,210,0,217,12,
301,0,301,1830700,301,1401600,302,20,302,1401600,303,1401600,303,0,304,0,304,1401600,305,0,306,10,306,1401600,306,548854,307,27,307,1401600,206,0,307,1401600,308,10,309,1401600,310,0,310,0,311,0,317,7,
401,9,401,1831188,402,1401600,402,10,403,1401600,403,1401600,404,0,404,0,404,1401600,405,9,406,20,406,1401600,406,512666,407,27,407,1401600,307,0,407,1401600,408,9,408,1401600,410,0,410,0,410,0,417,3,
501,0,502,1832700,502,1401600,503,0,503,1401600,504,1401600,505,0,505,0,505,1401600,506,0,507,22,507,1401600,507,349819,508,33,509,1401600,407,0,509,1401600,510,10,511,1401600,512,11,513,0,513,0,524,8,
601,0,602,1824352,602,2016000,603,16,603,2016000,603,2016000,604,0,605,0,605,2016000,606,0,607,45,607,2016000,607,1005996,608,100,608,2016000,509,0,608,2016000,609,11,609,2016000,610,20,610,0,610,0,615,21,
702,10,702,1808748,702,2016000,704,0,704,2016000,704,2016000,705,18,705,0,705,2016000,706,0,707,55,707,2016000,707,2386637,708,77,708,2016000,608,0,708,2016000,708,40,708,2016000,709,22,709,0,710,0,715,26,
802,0,803,1809368,803,1401600,804,0,805,1401600,805,1401600,806,0,806,0,806,1401600,807,0,808,18,808,1401600,808,1658763,809,18,809,1401600,708,0,809,1401600,810,0,811,1401600,813,20,813,0,814,0,821,6,
903,0,903,1809856,903,1401600,904,0,905,1401600,905,1401600,906,0,906,0,906,1401600,907,0,908,22,908,1401600,908,361881,909,27,909,1401600,809,0,909,1401600,911,0,911,1401600,912,10,913,0,913,0,921,6,
1003,20,1003,1834216,1004,2016000,1005,20,1006,2016000,1006,2016000,1007,18,1008,0,1008,2016000,1009,25,1011,72,1011,2016000,1011,1951799,1013,70,1013,2016000,909,0,1013,2016000,1014,60,1015,2016000,1016,33,1016,0,1016,0,1025,32,
1104,70,1104,1835788,1105,2016000,1106,60,1107,2016000,1107,2016000,1109,37,1109,0,1110,2016000,1111,50,1112,100,1113,2016000,1113,5353205,1115,81,1115,2016000,1013,0,1116,2016000,1117,90,1118,2016000,1119,81,1119,0,1120,0,1132,75,
1203,63,1204,1837656,1204,2016000,1205,63,1205,2016000,1205,2016000,1206,60,1206,0,1206,2016000,1207,50,1208,90,1208,2016000,1208,6446151,1209,87,1209,2016000,1115,0,1209,2016000,1210,100,1210,2016000,1211,66,1212,0,1212,0,1218,67,
1304,0,1305,1838756,1305,2016000,1306,18,1306,2016000,1306,2016000,1307,0,1308,0,1308,2016000,1309,0,1310,40,1310,2016000,1310,3468431,1311,27,1312,2016000,1209,0,1312,2016000,1313,27,1313,2016000,1314,72,1315,0,1315,0,1320,24,
1404,0,1405,1839508,1405,1401600,1406,20,1406,1401600,1407,1401600,1407,9,1408,0,1408,1401600,1409,0,1410,33,1410,1401600,1410,1779161,1411,36,1411,1401600,1312,0,1411,1401600,1412,10,1413,1401600,1414,11,1414,0,1414,0,1425,12,
1505,9,1506,1838720,1506,2016000,1508,10,1508,2016000,1509,2016000,1509,9,1510,0,1510,2016000,1512,20,1513,50,1513,2016000,1514,1436733,1515,80,1515,2016000,1411,0,1516,2016000,1518,36,1519,2016000,1521,27,1522,0,1522,0,1529,30,
1605,30,1606,1839224,1606,1401600,1607,30,1607,1401600,1607,1401600,1608,11,1609,0,1609,1401600,1610,11,1610,45,1611,1401600,1611,2360792,1612,55,1612,1401600,1516,0,1612,1401600,1613,37,1613,1401600,1614,33,1614,0,1615,0,1620,23,
1706,0,1706,1839472,1707,1401600,1707,9,1708,1401600,1708,1401600,1709,0,1709,0,1709,1401600,1710,0,1711,0,1711,1401600,1711,808202,1712,27,1712,1401600,1612,0,1713,1401600,1714,0,1714,1401600,1715,0,1715,0,1716,0,1721,2,
1806,0,1807,1839596,1807,1401600,1808,0,1808,1401600,1808,1401600,1809,0,1809,0,1810,1401600,1810,0,1811,0,1811,1401600,1812,162846,1812,11,1813,1401600,1712,0,1813,1401600,1814,0,1814,1401600,1815,0,1815,0,1815,0,1821,0,
1906,0,1907,1839720,1907,1401600,1908,0,1908,1401600,1909,1401600,1909,0,1910,0,1910,1401600,1911,0,1912,0,1912,1401600,1912,66345,1913,11,1913,1401600,1813,0,1914,1401600,1914,0,1915,1401600,1915,0,1916,0,1916,0,1922,1,
2007,0,2007,1839844,2008,1401600,2009,0,2009,1401600,2009,1401600,2010,0,2011,0,2011,1401600,2012,0,2013,0,2013,1401600,2013,66345,2014,27,2014,1401600,1913,0,2014,1401600,2015,0,2015,1401600,2016,0,2017,0,2017,0,2023,1,
2107,0,2108,1828184,2108,1401600,2109,0,2109,1401600,2109,1401600,2110,0,2111,0,2111,1401600,2112,0,2113,10,2113,1401600,2113,223160,2114,30,2114,1401600,2014,0,2114,1401600,2115,0,2115,1401600,2116,0,2117,0,2117,0,2123,4,
2208,0,2209,1829396,2209,1401600,2210,0,2211,1401600,2211,1401600,2212,0,2213,0,2213,1401600,2215,0,2217,30,2217,1401600,2217,361881,2219,36,2219,1401600,2114,0,2220,1401600,2221,25,2221,1401600,2223,18,2223,0,2224,0,2231,10,
2308,0,2308,1831724,2308,2016000,2309,0,2309,2016000,2309,2016000,2310,0,2310,0,2310,2016000,2311,0,2312,80,2312,2016000,2312,1368678,2313,44,2313,2016000,2219,0,2313,2016000,2314,14,2314,2016000,2315,22,2315,0,2315,0,2319,18,
2414,10,2415,1836100,2415,2016000,2428,33,2429,2016000,2429,2016000,2430,25,2431,0,2432,2016000,2434,25,2436,69,2436,2016000,2436,2698907,2443,72,2447,2016000,2313,0,2448,2016000,2449,57,2450,2016000,2452,41,2453,0,2453,0,2467,48,
2509,100,2509,1845544,2510,2016000,2511,100,2511,2016000,2511,2016000,2512,100,2513,0,2513,2016000,2514,100,2516,100,2516,2016000,2516,7472183,2517,100,2517,2016000,2447,0,2518,2016000,2519,100,2519,2016000,2530,100,2531,0,2532,0,2539,98,
2609,80,2610,1824884,2610,2016000,2612,80,2612,2016000,2613,2016000,2617,91,2618,0,2618,2016000,2620,77,2621,90,2622,2016000,2622,8007503,2624,81,2624,2016000,2518,0,2625,2016000,2626,100,2627,2016000,2629,91,2629,0,2630,0,2641,86,
2710,90,2711,1827112,2711,2016000,2712,88,2713,2016000,2713,2016000,2714,77,2715,0,2715,2016000,2717,90,2718,100,2718,2016000,2718,7996351,2720,100,2720,2016000,2625,0,2720,2016000,2722,88,2722,2016000,2723,100,2724,0,2724,0,2735,92,
2810,90,2811,1810036,2811,2016000,2812,66,2812,2016000,2813,2016000,2814,54,2815,0,2815,2016000,2817,45,2819,90,2819,2016000,2819,7059540,2820,90,2820,2016000,2720,0,2821,2016000,2822,88,2822,2016000,2823,100,2823,0,2824,0,2830,78,
2911,75,2912,1841100,2913,2016000,2915,80,2915,2016000,2915,2016000,2917,60,2917,0,2918,2016000,2919,66,2922,100,2923,2016000,2923,7349505,2925,90,2926,2016000,2820,0,2927,2016000,2928,90,2929,2016000,2931,80,2932,0,2932,0,2944,80,
3012,85,3013,1832556,3013,2016000,3014,66,3015,2016000,3015,2016000,3017,55,3017,0,3018,2016000,3019,42,3020,88,3021,2016000,3021,6646897,3022,87,3023,2016000,2927,0,3023,2016000,3024,75,3024,2016000,3025,87,3026,0,3026,0,3040,69,
3111,81,3112,1827476,3112,2016000,3113,66,3114,2016000,3114,2016000,3115,70,3116,0,3116,2016000,3117,63,3118,90,3118,2016000,3119,6903404,3120,100,3120,2016000,3023,0,3120,2016000,3121,80,3122,2016000,3123,90,3123,0,3123,0,3128,80,
3212,72,3213,1836372,3213,2016000,3215,44,3215,2016000,3215,2016000,3217,50,3217,0,3218,2016000,3219,33,3221,90,3221,2016000,3221,6234254,3223,80,3223,2016000,3120,0,3224,2016000,3226,81,3226,2016000,3228,90,3228,0,3229,0,3239,70,
3312,40,3312,1835160,3313,2016000,3313,44,3313,2016000,3314,2016000,3314,40,3315,0,3315,2016000,3316,45,3317,80,3317,2016000,3317,5576255,3318,66,3318,2016000,3224,0,3318,2016000,3319,80,3319,2016000,3320,50,3320,0,3321,0,3325,50,
3412,0,3413,1832568,3413,2016000,3414,9,3414,2016000,3414,2016000,3415,11,3415,0,3415,2016000,3416,0,3416,22,3417,2016000,3417,2654297,3419,44,3419,2016000,3318,0,3420,2016000,3420,81,3421,2016000,3421,33,3422,0,3422,0,3426,26,
3513,0,3513,1832940,3514,1401600,3515,0,3515,1401600,3515,1401600,3516,16,3516,0,3517,1401600,3518,0,3519,33,3520,1401600,3520,2057633,3521,30,3521,1401600,3419,0,3522,1401600,3522,22,3523,1401600,3524,9,3524,0,3524,0,3530,10,
3613,0,3613,1833072,3614,2016000,3614,0,3615,2016000,3615,2016000,3615,18,3616,0,3616,2016000,3617,0,3618,50,3619,2016000,3619,1126284,3619,60,3620,2016000,3521,0,3620,2016000,3621,22,3621,2016000,3622,0,3622,0,3622,0,3627,15,
3713,0,3714,1833964,3714,2016000,3715,0,3715,2016000,3716,2016000,3717,18,3717,0,3717,2016000,3718,0,3719,60,3720,2016000,3720,1784401,3721,54,3721,2016000,3620,0,3721,2016000,3722,70,3722,2016000,3723,30,3723,0,3723,0,3728,29,
3813,18,3814,1830600,3814,2016000,3815,0,3815,2016000,3816,2016000,3816,0,3817,0,3817,2016000,3818,0,3819,50,3819,2016000,3819,2475857,3820,66,3820,2016000,3721,0,3820,2016000,3821,66,3822,2016000,3823,40,3823,0,3823,0,3828,30,
3914,9,3915,1835168,3915,2016000,3916,9,3916,2016000,3916,2016000,3917,0,3918,0,3918,2016000,3919,0,3920,90,3920,2016000,3920,3122703,3922,50,3922,2016000,3820,0,3923,2016000,3933,33,3933,2016000,3934,63,3934,0,3934,0,3939,35,
4014,54,4015,1828244,4015,2016000,4016,12,4016,2016000,4016,2016000,4017,33,4018,0,4018,2016000,4019,0,4020,77,4020,2016000,4020,3591108,4021,80,4021,2016000,3923,0,4022,2016000,4023,77,4023,2016000,4025,70,4025,0,4026,0,4031,48,
4115,22,4115,1837696,4116,2016000,4117,10,4117,2016000,4118,2016000,4119,18,4120,0,4120,2016000,4121,18,4123,45,4123,2016000,4123,3791854,4124,100,4125,2016000,4021,0,4125,2016000,4126,30,4127,2016000,4128,100,4128,0,4128,0,4134,45,
4215,30,4216,1835248,4216,2016000,4217,30,4217,2016000,4217,2016000,4218,20,4218,0,4219,2016000,4219,0,4220,66,4221,2016000,4221,4193344,4221,72,4222,2016000,4125,0,4222,2016000,4223,40,4223,2016000,4224,90,4224,0,4225,0,4230,41,
4315,20,4316,1839104,4317,2016000,4318,20,4318,2016000,4319,2016000,4320,10,4320,0,4321,2016000,4322,0,4323,70,4323,2016000,4323,3591108,4325,57,4325,2016000,4222,0,4325,2016000,4326,70,4327,2016000,4328,100,4328,0,4329,0,4334,45,
4416,62,4416,1832660,4417,2016000,4418,54,4418,2016000,4418,2016000,4419,37,4419,0,4419,2016000,4420,36,4421,80,4421,2016000,4421,5531645,4422,77,4422,2016000,4325,0,4423,2016000,4424,81,4424,2016000,4425,100,4426,0,4426,0,4433,64,
4516,22,4517,1843980,4517,2016000,4518,11,4519,2016000,4519,2016000,4520,27,4521,0,4521,2016000,4522,0,4523,100,4523,2016000,4524,4661750,4525,80,4525,2016000,4422,0,4525,2016000,4526,37,4526,2016000,4527,100,4528,0,4528,0,4534,48,
4617,30,4618,1838072,4618,2016000,4619,0,4620,2016000,4620,2016000,4621,0,4621,0,4622,2016000,4622,0,4624,77,4625,2016000,4625,3613413,4626,88,4626,2016000,4525,0,4626,2016000,4627,36,4628,2016000,4629,72,4630,0,4631,0,4636,35,
4717,9,4717,1828140,4717,2016000,4718,0,4718,2016000,4718,2016000,4719,0,4719,0,4719,2016000,4720,0,4721,50,4721,2016000,4721,2843890,4722,50,4722,2016000,4626,0,4722,2016000,4723,66,4723,2016000,4723,77,4724,0,4724,0,4728,30,
4817,10,4818,1831232,4818,2016000,4819,18,4819,2016000,4819,2016000,4820,0,4821,0,4821,2016000,4822,0,4823,60,4823,2016000,4823,3133855,4824,54,4824,2016000,4722,0,4824,2016000,4824,44,4825,2016000,4825,20,4825,0,4826,0,4830,27,
4918,0,4918,1831776,4919,1401600,4919,9,4920,1401600,4920,1401600,4921,9,4921,0,4922,1401600,4923,9,4924,38,4924,1401600,4924,1708035,4925,11,4926,1401600,4824,0,4926,1401600,4927,9,4927,1401600,4928,9,4928,0,4928,0,4935,8,
5018,10,5018,1832620,5018,2016000,5019,18,5019,2016000,5019,2016000,5020,0,5020,0,5021,2016000,5022,0,5022,70,5023,2016000,5023,1267855,5023,60,5024,2016000,4926,0,5024,2016000,5025,60,5025,2016000,5025,30,5026,0,5026,0,5031,28,
5118,9,5119,1832312,5119,1401600,5120,18,5120,1401600,5121,1401600,5122,0,5122,0,5123,1401600,5124,0,5125,27,5125,1401600,5125,1998570,5126,27,5126,1401600,5024,0,5126,1401600,5127,10,5127,1401600,5128,45,5129,0,5129,0,5135,15,
5219,0,5220,1832312,5220,1401600,5221,18,5221,1401600,5221,1401600,5223,0,5223,0,5223,1401600,5225,0,5226,27,5226,1401600,5226,765983,5227,20,5228,1401600,5126,0,5228,1401600,5229,0,5229,1401600,5230,10,5230,0,5231,0,5237,6,
5319,0,5320,1833096,5320,1401600,5322,0,5322,1401600,5323,1401600,5325,0,5325,0,5326,1401600,5327,0,5328,50,5328,1401600,5328,482509,5329,50,5330,1401600,5228,0,5330,1401600,5331,11,5331,1401600,5333,11,5333,0,5333,0,5343,13,
5420,55,5421,1834700,5421,2016000,5423,66,5424,2016000,5425,2016000,5427,30,5428,0,5428,2016000,5429,50,5431,54,5432,2016000,5432,3278148,5434,10,5435,2016000,5330,0,5435,2016000,5436,18,5437,2016000,5438,9,5441,0,5441,0,5450,35,
5520,36,5521,1834840,5521,2016000,5522,55,5523,2016000,5523,2016000,5525,50,5525,0,5526,2016000,5527,55,5528,90,5528,2016000,5529,3602261,5530,0,5530,2016000,5435,0,5530,2016000,5531,0,5532,2016000,5533,0,5533,0,5534,0,5542,30,
5621,0,5622,1834840,5622,2016000,5623,20,5624,2016000,5625,2016000,5626,11,5626,0,5627,2016000,5628,18,5629,100,5630,2016000,5630,1661724,5631,0,5632,2016000,5530,0,5632,2016000,5633,0,5633,2016000,5635,0,5635,0,5635,0,5644,21,
5721,30,5722,1835476,5723,2016000,5725,30,5725,2016000,5725,2016000,5727,20,5727,0,5728,2016000,5729,11,5730,100,5731,2016000,5731,2130129,5732,0,5732,2016000,5632,0,5733,2016000,5734,0,5734,2016000,5735,0,5736,0,5736,0,5747,20,
5822,44,5823,1835724,5823,2016000,5825,12,5825,2016000,5825,2016000,5827,33,5827,0,5828,2016000,5829,36,5830,100,5831,2016000,5831,2509315,5832,0,5832,2016000,5732,0,5832,2016000,5833,0,5834,2016000,5835,0,5836,0,5836,0,5845,28,
5922,27,5923,1835972,5924,2016000,5926,30,5927,2016000,5927,2016000,5928,25,5929,0,5929,2016000,5930,10,5932,100,5932,2016000,5932,2141282,5933,0,5933,2016000,5832,0,5933,2016000,5934,0,5935,2016000,5936,64,5936,0,5936,0,5946,31,
6023,20,6024,1836096,6024,2016000,6026,0,6026,2016000,6027,2016000,6028,22,6028,0,6029,2016000,6030,36,6031,100,6031,2016000,6031,2698907,6032,0,6032,2016000,5933,0,6033,2016000,6034,0,6034,2016000,6035,0,6036,0,6036,0,6046,22,
6123,33,6124,1836344,6125,2016000,6126,20,6127,2016000,6127,2016000,6128,10,6129,0,6129,2016000,6130,30,6131,100,6132,2016000,6132,2152434,6133,0,6133,2016000,6033,0,6133,2016000,6134,0,6134,2016000,6135,0,6136,0,6136,0,6144,22,
6224,20,6226,1837204,6226,1689600,6228,22,6228,1689600,6228,1689600,6230,20,6230,0,6231,1689600,6232,27,6234,50,6234,1689600,6234,1145901,6236,0,6236,1689600,6133,0,6236,1689600,6238,0,6238,1689600,6240,9,6240,0,6241,0,6252,20,
6326,54,6327,1838212,6328,652800,6330,58,6331,652800,6332,652800,6334,33,6335,0,6335,1401600,6337,27,6339,0,6339,1401600,6339,502608,6341,0,6341,1401600,6236,0,6342,1401600,6344,0,6344,1401600,6346,0,6347,0,6347,0,6359,20,
6425,100,6425,1835712,6426,2016000,6427,75,6428,2016000,6429,2016000,6430,100,6430,0,6432,2016000,6433,100,6435,0,6435,2016000,6435,4182192,6436,0,6437,2016000,6342,0,6437,2016000,6438,0,6439,2016000,6440,0,6440,0,6440,0,6446,40,
