App,Package,Start Time,Duration,Filename
"System",,"set 1, 2018 @ 05:41:31 PM","10 min 27 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1363200,1,25,2,1363200,3,15,3,1363200,4,9,4,84,5,1363200,6,6,6,1676312,6,0,6,310000,7,31,
100,1363200,102,44,102,1363200,104,54,104,1363200,106,18,107,84,107,1363200,108,9,108,1614464,18,0,109,310000,109,31,
201,1363200,202,66,202,1363200,204,20,204,1363200,206,12,206,84,206,1363200,207,10,208,1516520,108,0,208,310000,208,31,
301,1363200,302,20,302,1363200,303,20,304,1363200,305,18,305,84,305,1363200,306,0,306,1228448,208,0,306,310000,307,31,
403,1363200,404,22,404,1363200,405,10,406,1363200,407,0,407,84,407,1363200,409,0,409,1078651,306,0,409,310000,410,23,
503,1363200,504,10,506,1363200,507,10,507,1363200,509,0,509,84,509,1363200,511,0,511,823455,409,0,511,310000,511,23,
603,1363200,604,25,605,1363200,606,10,606,1363200,608,10,608,84,608,1363200,609,0,609,967491,511,0,610,310000,610,0,
703,1363200,705,0,705,1363200,706,10,706,1363200,708,10,708,84,709,1363200,710,0,710,288536,609,0,711,310000,711,0,
754,1363200,755,40,755,1363200,758,50,758,1363200,760,16,760,84,760,1363200,761,20,762,899247,710,0,762,310000,763,0,
854,1363200,855,22,855,1363200,856,0,857,1363200,858,0,858,84,858,1363200,860,10,860,357673,762,0,860,310000,861,0,
954,1363200,956,11,956,1363200,957,10,958,1363200,959,0,960,84,960,1363200,961,9,961,346150,860,0,962,310000,962,0,
1055,1363200,1056,33,1057,1363200,1060,20,1061,1363200,1064,36,1068,84,1069,1363200,1073,27,1073,841633,962,0,1074,310000,1075,0,
