App,Package,Start Time,Duration,Filename
"System",,"set 1, 2018 @ 07:51:53 PM","10 min 12 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1363200,3,49,5,1363200,8,34,9,1363200,10,26,10,90,13,1363200,14,19,14,923150,15,0,19,310000,20,34,
101,1363200,102,70,103,1363200,104,25,105,1363200,106,10,107,90,107,1363200,108,10,108,1639002,108,0,109,310000,109,34,
202,1363200,203,66,203,1363200,204,40,204,1363200,205,22,206,90,206,1363200,207,10,207,1771515,111,0,207,310000,208,0,
302,1363200,304,66,304,1363200,306,81,306,1363200,307,33,308,90,308,1363200,309,0,309,1222745,207,0,310,310000,312,0,
402,1363200,404,30,404,1363200,405,11,406,1363200,407,11,408,90,408,1363200,409,0,409,485282,310,0,410,310000,411,0,
503,1363200,504,11,505,1363200,506,0,507,1363200,508,16,508,90,508,1363200,509,18,509,444952,410,0,510,465000,510,0,
603,1363200,604,22,605,1363200,606,10,606,1363200,607,10,608,90,608,1363200,609,10,610,485282,509,0,610,465000,611,0,
703,1363200,708,40,708,1363200,710,33,710,1363200,712,0,712,90,713,1363200,714,0,715,606272,610,0,716,310000,717,0,
804,1363200,805,20,806,1363200,807,20,808,1363200,809,0,809,90,809,1363200,811,0,811,416145,716,0,812,310000,812,0,
905,1363200,907,20,908,1363200,909,10,909,1363200,911,0,911,90,911,1363200,913,0,913,358530,811,0,913,465000,914,0,
1005,1363200,1006,11,1007,1363200,1008,0,1009,1363200,1010,20,1011,90,1011,1363200,1012,0,1013,364292,913,0,1014,465000,1015,0,
1105,1363200,1107,20,1107,1363200,1109,0,1109,1363200,1111,10,1111,90,1111,1363200,1113,0,1113,358530,1014,0,1113,310000,1114,0,
1206,1363200,1207,18,1208,1363200,1209,10,1210,1363200,1211,18,1211,90,1212,1363200,1213,9,1213,502566,1113,0,1214,465000,1215,0,
1306,1363200,1308,10,1308,1363200,1309,10,1310,1363200,1311,0,1311,90,1311,1363200,1312,0,1312,300916,1213,0,1313,310000,1313,0,
1408,1363200,1409,20,1410,1363200,1411,0,1411,1363200,1413,0,1413,90,1413,1363200,1415,0,1415,300916,1313,0,1416,310000,1417,0,
1507,1363200,1509,27,1509,1363200,1511,0,1511,1363200,1512,0,1513,90,1513,1363200,1516,0,1516,341246,1415,0,1517,465000,1518,0,
1607,1363200,1609,20,1610,1363200,1611,0,1611,1363200,1613,0,1613,90,1613,1363200,1615,0,1615,300916,1517,0,1615,465000,1616,0,
1709,1363200,1710,11,1711,1363200,1712,10,1712,1363200,1715,10,1716,90,1718,1363200,1723,0,1723,364292,1615,0,1724,465000,1724,0,
1809,1363200,1811,25,1811,1363200,1812,18,1812,1363200,1815,10,1815,90,1815,1363200,1818,10,1818,548657,1723,0,1820,465000,1821,0,
1909,1363200,1910,22,1911,1363200,1912,0,1912,1363200,1913,20,1913,90,1914,1363200,1915,0,1915,427667,1818,0,1915,465000,1916,0,
2010,1363200,2011,30,2011,1363200,2012,10,2012,1363200,2013,10,2014,90,2014,1363200,2015,10,2015,531373,1915,0,2015,465000,2016,39,
2110,1363200,2111,36,2112,1363200,2113,0,2113,1363200,2114,18,2115,90,2115,1363200,2117,0,2117,2282598,2015,0,2117,465000,2118,39,
2210,1363200,2212,20,2212,1363200,2213,0,2214,1363200,2215,0,2216,90,2217,1363200,2219,0,2220,2086709,2117,0,2220,465000,2221,39,
2311,800000,2314,27,2317,1363200,2319,0,2320,1363200,2321,10,2322,90,2322,1363200,2323,0,2324,2096055,2220,0,2324,465000,2325,39,
2412,800000,2416,36,2417,1363200,2418,11,2419,1363200,2420,10,2421,90,2421,1363200,2422,0,2423,2181750,2324,0,2423,465000,2424,39,
2512,1363200,2514,27,2514,1363200,2516,10,2516,1363200,2517,0,2518,90,2518,1363200,2519,18,2520,2288359,2423,0,2520,310000,2521,39,
2613,1363200,2614,0,2615,1363200,2616,9,2617,1363200,2618,0,2618,90,2619,1363200,2620,10,2620,1202192,2520,0,2620,310000,2621,39,
2713,1363200,2715,10,2715,1363200,2722,0,2723,1363200,2725,9,2725,90,2726,1363200,2727,18,2727,1305897,2620,0,2727,465000,2728,39,
2814,1363200,2815,27,2816,1363200,2817,0,2817,1363200,2819,11,2819,90,2819,1363200,2821,10,2821,2248029,2727,0,2821,310000,2822,39,
2914,1363200,2917,20,2917,1363200,2919,18,2920,1363200,2921,0,2921,90,2921,1363200,2922,9,2922,1363512,2821,0,2923,310000,2923,39,
3015,1363200,3017,33,3018,1363200,3019,60,3020,1363200,3021,80,3022,90,3022,1363200,3023,0,3024,2089452,2922,0,3024,465000,3025,39,
3117,1363200,3119,20,3120,1363200,3122,18,3122,1363200,3123,10,3124,90,3124,1363200,3125,10,3126,2305643,3024,0,3126,465000,3127,39,
3218,998400,3220,20,3221,998400,3222,20,3223,998400,3225,0,3225,90,3226,998400,3227,10,3228,2146041,3126,0,3229,465000,3230,39,
3318,800000,3321,30,3322,800000,3325,25,3326,800000,3329,0,3329,90,3330,800000,3332,0,3333,2107880,3228,0,3334,465000,3335,39,
3419,800000,3422,11,3422,800000,3425,27,3425,800000,3427,0,3428,90,3428,800000,3430,0,3430,2065721,3334,0,3431,310000,3432,39,
3519,998400,3521,40,3521,998400,3523,10,3524,998400,3525,20,3526,90,3527,998400,3530,10,3530,1372021,3431,0,3531,310000,3531,39,
3620,800000,3624,11,3625,800000,3627,10,3628,800000,3630,18,3631,90,3631,800000,3633,20,3634,1239045,3530,0,3635,465000,3636,39,
3721,800000,3724,22,3725,800000,3727,30,3727,800000,3729,0,3730,90,3730,800000,3732,10,3733,2125241,3634,0,3735,465000,3735,39,
3822,800000,3824,22,3825,800000,3826,18,3827,800000,3828,0,3829,90,3829,800000,3831,0,3831,2070681,3734,0,3831,310000,3832,39,
3922,800000,3924,22,3925,800000,3927,20,3928,800000,3930,9,3930,90,3931,800000,3932,0,3934,1219204,3831,0,3935,465000,3936,39,
4025,800000,4027,36,4028,800000,4031,9,4032,800000,4035,10,4036,90,4036,998400,4038,0,4038,2107881,3934,0,4039,465000,4039,39,
4125,800000,4128,30,4129,800000,4131,11,4132,800000,4135,0,4136,90,4136,800000,4138,20,4139,2122761,4038,0,4140,310000,4141,39,
