App,Package,Start Time,Duration,Filename
"System",,"Aug 14, 2018 @ 07:34:27 PM","10 min 35 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
4,1363200,5,33,5,1363200,7,23,7,1363200,8,14,8,90,9,1363200,9,7,10,1606126,0,0,10,310000,10,40,
54,1363200,55,80,56,1363200,57,25,57,1363200,58,25,59,90,59,1363200,60,33,60,2055095,10,0,61,310000,61,17,
154,1363200,155,77,156,1363200,157,37,158,1363200,162,45,162,90,163,1363200,164,0,164,1497130,60,0,165,310000,165,17,
254,1363200,256,41,256,1363200,258,10,258,1363200,260,11,260,90,260,1363200,262,0,262,938271,164,0,263,310000,263,17,
355,1363200,357,22,357,1363200,359,10,359,1363200,360,10,361,90,362,1363200,363,0,363,823042,262,0,363,465000,364,17,
455,1363200,456,12,457,1363200,458,0,458,1363200,459,10,460,90,460,1363200,461,0,461,1090861,363,0,462,465000,462,17,
555,1363200,557,22,557,1363200,558,10,559,1363200,560,27,560,90,561,1363200,562,0,562,1304034,461,0,563,310000,563,17,
656,1363200,657,0,657,1363200,658,10,659,1363200,660,18,660,90,660,1363200,661,0,661,742382,562,0,662,310000,662,17,
756,1363200,765,20,766,1363200,767,0,767,1363200,769,9,769,90,769,1363200,770,0,771,748144,661,0,771,465000,772,17,
856,1363200,858,55,858,1363200,859,33,859,1363200,860,11,861,90,861,1363200,862,0,862,1534491,771,0,862,465000,863,17,
957,1363200,958,11,959,1363200,960,0,960,1363200,962,20,962,90,962,1363200,964,0,964,1142714,862,0,964,465000,965,17,
1057,1363200,1058,20,1059,1363200,1060,10,1060,1363200,1061,18,1061,90,1062,1363200,1063,0,1063,1240658,964,0,1063,310000,1064,17,
1157,1363200,1159,0,1159,1363200,1160,0,1161,1363200,1162,11,1162,90,1163,1363200,1164,0,1164,644438,1063,0,1165,310000,1165,17,
1258,1363200,1259,11,1259,1363200,1260,9,1261,1363200,1262,18,1262,90,1262,1363200,1263,0,1263,799997,1164,0,1264,465000,1264,17,
1358,1363200,1359,30,1360,1363200,1361,11,1362,1363200,1363,11,1363,90,1364,1363200,1365,0,1365,1263704,1263,0,1366,465000,1366,17,
1458,1363200,1460,60,1460,1363200,1462,30,1462,1363200,1464,22,1464,90,1464,1363200,1466,9,1466,1661242,1365,0,1472,465000,1473,17,
1561,1363200,1562,81,1562,1363200,1564,70,1564,1363200,1565,14,1566,90,1566,1363200,1567,10,1568,1972359,1471,0,1568,465000,1569,17,
1661,1363200,1662,44,1663,1363200,1664,20,1665,1363200,1667,18,1668,90,1669,1363200,1670,20,1671,1551775,1568,0,1672,465000,1673,29,
1762,1363200,1763,55,1763,1363200,1765,55,1765,1363200,1767,22,1767,90,1769,1363200,1771,0,1771,2274093,1671,0,1772,465000,1773,29,
1862,1363200,1864,62,1864,1363200,1866,30,1866,1363200,1869,0,1870,90,1871,1363200,1872,0,1873,2043636,1772,0,1873,465000,1874,29,
1962,1363200,1964,63,1965,1363200,1968,36,1968,1363200,1969,0,1970,90,1970,1363200,1972,0,1972,2083966,1873,0,1973,465000,1974,29,
2063,1363200,2064,75,2065,1363200,2067,22,2068,1363200,2070,0,2070,90,2070,1363200,2072,0,2073,2072443,1973,0,2074,310000,2074,29,
2165,1363200,2167,80,2167,1363200,2169,11,2169,1363200,2171,0,2171,90,2172,1363200,2173,0,2174,1384440,2073,0,2174,310000,2175,0,
2266,1363200,2268,44,2268,1363200,2269,11,2270,1363200,2271,0,2272,90,2272,1363200,2273,0,2273,502566,2174,0,2273,310000,2274,0,
2366,1363200,2367,63,2368,1363200,2369,11,2370,1363200,2371,0,2372,90,2372,1363200,2373,0,2374,612033,2273,0,2374,310000,2375,0,
2467,1363200,2468,42,2469,1363200,2470,45,2471,1363200,2473,0,2474,90,2474,1363200,2476,10,2477,744546,2374,0,2477,310000,2478,0,
2567,1363200,2568,54,2569,1363200,2570,25,2571,1363200,2572,0,2572,90,2573,1363200,2574,0,2575,640840,2477,0,2576,310000,2577,0,
2667,1363200,2668,44,2669,1363200,2670,36,2671,1363200,2672,0,2673,90,2673,1363200,2674,10,2675,704216,2575,0,2675,310000,2676,0,
2767,1363200,2769,55,2769,1363200,2771,45,2772,1363200,2773,10,2774,90,2774,1363200,2776,9,2776,871297,2675,0,2777,310000,2778,0,
2868,1363200,2870,80,2872,1363200,2873,72,2874,1363200,2875,54,2876,90,2876,1363200,2884,22,2884,1499293,2776,0,2885,310000,2886,0,
2969,1363200,2970,90,2971,1363200,2972,50,2973,1363200,2974,44,2975,90,2975,1363200,2977,20,2977,1361019,2885,0,2978,310000,2979,0,
3070,1363200,3072,80,3073,1363200,3074,11,3075,1363200,3078,54,3079,90,3080,1363200,3084,10,3084,1078709,2978,0,3084,310000,3085,0,
3171,1363200,3173,87,3174,1363200,3175,50,3176,1363200,3178,45,3178,90,3179,1363200,3180,20,3180,1349496,3084,0,3181,310000,3182,0,
3272,1363200,3273,33,3274,1363200,3276,69,3277,1363200,3278,66,3279,90,3280,1363200,3281,20,3281,1268836,3180,0,3281,310000,3282,0,
3372,1363200,3374,72,3374,1363200,3375,44,3376,1363200,3377,50,3377,90,3380,1363200,3382,20,3382,1257313,3281,0,3383,310000,3384,0,
3473,1363200,3474,66,3475,1363200,3476,36,3477,1363200,3478,33,3479,90,3480,1363200,3482,10,3482,1021095,3383,0,3483,310000,3484,0,
3573,1363200,3574,62,3575,1363200,3577,50,3577,1363200,3579,75,3579,90,3579,1363200,3581,40,3581,1493532,3483,0,3581,310000,3582,0,
3673,1363200,3675,62,3675,1363200,3677,44,3677,1363200,3678,55,3679,90,3679,1363200,3680,44,3680,1366780,3581,0,3681,310000,3681,0,
3774,1363200,3777,75,3778,1363200,3780,54,3782,1363200,3785,50,3786,90,3786,1363200,3788,27,3788,1372542,3680,0,3789,465000,3790,0,
3876,1363200,3877,70,3878,1363200,3879,50,3880,1363200,3883,22,3884,90,3884,1363200,3885,12,3886,1072947,3788,0,3886,310000,3887,0,
3976,1363200,3978,70,3978,1363200,3979,87,3980,1363200,3981,40,3981,90,3982,1363200,3983,30,3983,1493532,3886,0,3984,310000,3984,0,
4077,1363200,4078,70,4079,1363200,4080,44,4080,1363200,4081,40,4082,90,4082,1363200,4084,33,4084,1263075,3983,0,4085,310000,4087,0,
4177,1363200,4179,72,4179,1363200,4182,54,4183,1363200,4184,20,4185,90,4186,1363200,4188,9,4188,1078709,4084,0,4189,310000,4190,0,
4278,1363200,4280,66,4281,1363200,4286,60,4286,1363200,4288,60,4289,90,4289,1363200,4291,37,4291,1470486,4189,0,4292,310000,4293,36,
4379,1363200,4380,72,4381,1363200,4382,81,4383,1363200,4384,50,4385,90,4385,1363200,4387,60,4388,2538208,4291,0,4388,310000,4389,36,
4479,1363200,4481,75,4481,1363200,4482,30,4483,1363200,4484,33,4484,90,4486,1363200,4487,20,4488,1933258,4388,0,4488,310000,4489,36,
4580,1363200,4582,55,4582,1363200,4584,33,4585,1363200,4587,20,4588,90,4588,1363200,4593,9,4593,1697040,4488,0,4593,310000,4594,36,
4687,1363200,4688,80,4689,1363200,4690,63,4691,1363200,4692,58,4692,90,4693,1363200,4694,11,4694,2244375,4593,0,4695,310000,4696,36,
4786,1363200,4788,66,4788,1363200,4789,100,4790,1363200,4792,14,4792,90,4793,1363200,4794,30,4794,2232852,4694,0,4795,310000,4795,36,
4887,1363200,4888,72,4889,1363200,4892,60,4893,1363200,4894,50,4895,90,4895,1363200,4900,18,4901,2175238,4794,0,4902,310000,4903,0,
4987,1363200,4989,77,4989,1363200,4990,50,4992,1363200,4993,40,4993,90,4994,1363200,4995,40,4995,1378303,4901,0,4996,310000,4996,0,
5088,1363200,5089,70,5090,1363200,5091,40,5091,1363200,5092,0,5093,90,5093,1363200,5094,9,5094,871297,4995,0,5095,310000,5095,0,
5188,1363200,5190,62,5190,1363200,5191,30,5192,1363200,5193,9,5194,90,5195,1363200,5196,0,5197,767592,5094,0,5197,310000,5198,0,
5289,1363200,5290,54,5290,1363200,5292,10,5292,1363200,5293,10,5294,90,5294,1363200,5297,0,5297,612033,5197,0,5298,310000,5298,0,
5389,1363200,5390,60,5391,1363200,5392,10,5393,1363200,5394,0,5394,90,5395,1363200,5396,0,5396,588987,5297,0,5397,310000,5398,0,
5492,1363200,5493,66,5494,1363200,5495,20,5495,1363200,5497,0,5498,90,5498,1363200,5499,0,5501,681170,5396,0,5502,310000,5502,0,
5592,1363200,5593,58,5594,1363200,5595,0,5595,1363200,5597,0,5597,90,5597,1363200,5599,0,5599,519850,5501,0,5599,310000,5600,0,
5692,1363200,5694,50,5694,1363200,5696,20,5696,1363200,5697,0,5698,90,5698,1363200,5699,0,5700,588987,5599,0,5700,310000,5701,0,
5793,1363200,5794,60,5795,1363200,5796,11,5796,1363200,5798,0,5798,90,5799,1363200,5800,0,5801,594749,5700,0,5801,310000,5802,0,
5893,1363200,5894,55,5895,1363200,5896,22,5896,1363200,5898,0,5898,90,5899,1363200,5901,0,5901,629317,5801,0,5902,310000,5903,0,
