App,Package,Start Time,Duration,Filename
"System",,"set 1, 2018 @ 05:54:32 PM","10 min 34 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1363200,1,24,2,1363200,4,14,5,1363200,7,9,7,84,8,1363200,9,8,9,1560025,11,0,11,310000,12,64,
100,1363200,101,90,102,1363200,103,88,103,1363200,105,88,105,84,105,1363200,106,80,106,3655234,106,0,107,310000,107,0,
201,1363200,202,66,203,1363200,204,81,204,1363200,206,45,206,84,207,1363200,208,33,208,1469629,192,0,208,310000,209,0,
302,1363200,304,54,305,1363200,307,50,307,1363200,309,30,310,84,310,1363200,311,20,311,1060567,208,0,312,310000,313,38,
403,1363200,405,55,405,1363200,406,100,406,1363200,408,33,408,84,408,1363200,409,50,409,2428307,311,0,410,310000,410,38,
503,1363200,505,72,505,1363200,506,66,507,1363200,508,44,508,84,509,1363200,510,20,510,2220896,409,0,510,310000,511,0,
605,1363200,606,100,607,1363200,608,44,609,1363200,610,12,610,84,610,1363200,613,9,613,1123943,510,0,614,310000,615,0,
705,1363200,707,100,707,1363200,708,58,709,1363200,710,33,710,84,710,1363200,712,22,712,1400492,613,0,713,310000,714,0,
806,1363200,807,90,808,1363200,809,45,809,1363200,811,12,811,84,811,1363200,813,33,813,1210365,712,0,813,310000,814,0,
906,1363200,907,20,908,1363200,909,30,909,1363200,910,22,910,84,910,1363200,912,10,912,645745,813,0,912,310000,913,0,
1006,1363200,1008,10,1008,1363200,1009,0,1010,1363200,1011,18,1011,84,1012,1363200,1013,0,1013,334627,912,0,1014,310000,1014,0,
1107,1363200,1108,18,1108,1363200,1109,0,1109,1363200,1111,11,1111,84,1111,1363200,1113,9,1113,392242,1013,0,1113,465000,1114,0,
1207,1363200,1208,18,1208,1363200,1210,0,1210,1363200,1211,18,1211,84,1212,1363200,1213,10,1213,438333,1113,0,1214,465000,1214,0,
1307,1363200,1309,11,1309,1363200,1316,9,1316,1363200,1317,10,1318,84,1318,1363200,1319,0,1319,346150,1213,0,1320,465000,1320,0,
1407,1363200,1409,0,1409,1363200,1410,0,1410,1363200,1411,0,1412,84,1412,1363200,1413,40,1414,403765,1319,0,1414,465000,1415,0,
1508,1363200,1509,11,1510,1363200,1511,0,1511,1363200,1512,18,1513,84,1513,1363200,1514,9,1515,392242,1414,0,1515,465000,1516,0,
1608,1363200,1609,27,1610,1363200,1611,10,1611,1363200,1612,11,1613,84,1613,1363200,1614,9,1615,501709,1515,0,1615,465000,1616,0,
