App,Package,Start Time,Duration,Filename
"System",,"set 1, 2018 @ 06:05:19 PM","10 min 27 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1363200,1,51,1,1363200,2,42,3,1363200,4,34,4,84,4,1363200,5,22,5,3138080,8,0,8,310000,9,33,
100,1363200,102,57,102,1363200,103,50,104,1363200,105,20,105,84,106,1363200,107,10,107,1730116,21,0,107,310000,108,33,
202,1363200,203,55,203,1363200,205,44,205,1363200,206,36,206,84,206,1363200,208,9,208,1770446,107,0,208,310000,209,33,
302,1363200,303,30,304,1363200,305,11,305,1363200,306,10,306,84,307,1363200,308,0,308,1234633,208,0,308,310000,309,28,
402,1363200,404,11,404,1363200,405,20,406,1363200,407,9,407,84,407,1363200,408,0,408,1054971,308,0,409,465000,409,28,
502,1363200,504,20,504,1363200,505,25,505,1363200,506,10,507,84,507,1363200,508,0,508,1772294,408,0,508,310000,509,28,
603,1363200,604,33,604,1363200,605,27,606,1363200,607,10,607,84,607,1363200,608,0,608,1227813,508,0,609,310000,609,0,
704,800000,706,18,707,800000,709,20,709,1363200,712,9,713,84,713,1363200,714,0,715,319400,608,0,715,310000,716,0,
804,1363200,805,28,805,1363200,806,33,806,1363200,808,70,808,84,808,1363200,810,0,810,928055,715,0,811,310000,812,0,
904,1363200,905,20,906,1363200,907,18,907,1363200,908,25,908,84,909,1363200,910,10,910,593892,810,0,910,310000,911,0,
1004,1363200,1005,36,1006,1363200,1007,10,1007,1363200,1008,18,1009,84,1009,1363200,1010,0,1010,542039,910,0,1011,310000,1011,0,
1105,1363200,1106,11,1106,1363200,1107,18,1108,1363200,1109,18,1109,84,1110,1363200,1114,9,1114,495947,1010,0,1114,310000,1115,0,
1205,1363200,1206,20,1206,1363200,1208,0,1208,1363200,1209,27,1209,84,1210,1363200,1211,0,1211,444095,1114,0,1212,310000,1213,0,
1305,1363200,1306,22,1307,1363200,1308,20,1308,1363200,1309,10,1310,84,1310,1363200,1312,0,1312,472902,1211,0,1313,465000,1314,0,
1406,1363200,1408,75,1408,1363200,1410,40,1410,1363200,1412,40,1412,84,1413,1363200,1414,0,1415,1066329,1312,0,1416,465000,1417,0,
1506,1363200,1508,90,1509,1363200,1512,100,1512,1363200,1516,70,1517,84,1518,1363200,1519,54,1519,1982396,1415,0,1520,465000,1520,0,
1606,1363200,1608,45,1608,1363200,1610,54,1610,1363200,1612,33,1612,84,1613,1363200,1614,30,1615,1106659,1520,0,1616,465000,1617,0,
1707,1363200,1708,50,1709,1363200,1710,53,1711,1363200,1712,54,1713,84,1713,1363200,1715,20,1715,1193080,1615,0,1716,465000,1717,0,
1807,1363200,1809,60,1810,1363200,1812,54,1813,1363200,1816,30,1817,84,1817,1363200,1819,25,1820,1146989,1715,0,1820,310000,1821,0,
1908,1363200,1910,70,1911,1363200,1913,45,1913,1363200,1916,40,1916,84,1916,1363200,1918,11,1918,1129705,1820,0,1919,310000,1920,34,
2008,1363200,2010,70,2011,1363200,2012,45,2014,1363200,2016,36,2016,84,2018,1363200,2020,30,2020,2006876,1918,0,2020,310000,2021,34,
2109,1363200,2110,83,2111,1363200,2116,55,2116,1363200,2118,33,2119,84,2119,1363200,2120,27,2121,2104820,2020,0,2121,310000,2122,34,
2209,1363200,2211,54,2211,1363200,2213,38,2213,1363200,2215,11,2215,84,2215,1363200,2217,30,2217,1730327,2121,0,2217,310000,2218,34,
2310,1363200,2311,50,2311,1363200,2313,16,2313,1363200,2314,18,2315,84,2315,1363200,2317,45,2317,1707282,2217,0,2317,310000,2318,34,
2410,1363200,2411,22,2412,1363200,2413,20,2414,1363200,2418,27,2419,84,2420,1363200,2422,10,2423,1419210,2317,0,2424,310000,2425,34,
2510,1363200,2512,88,2512,1363200,2513,90,2514,1363200,2515,33,2515,84,2515,1363200,2516,55,2516,2496597,2423,0,2517,310000,2517,34,
2611,1363200,2612,18,2613,1363200,2614,0,2614,1363200,2615,0,2616,84,2616,1363200,2617,0,2618,1067763,2516,0,2618,310000,2619,34,
2712,1363200,2713,22,2714,1363200,2715,27,2716,1363200,2717,20,2718,84,2718,1363200,2719,0,2720,1361596,2618,0,2720,310000,2720,34,
2812,1363200,2814,25,2814,1363200,2816,36,2817,1363200,2818,30,2819,84,2819,1363200,2820,20,2820,1603576,2720,0,2821,310000,2822,34,
2913,1363200,2914,40,2915,1363200,2916,25,2917,1363200,2918,18,2919,84,2919,1363200,2921,25,2921,1586292,2821,0,2921,310000,2922,34,
3013,1363200,3014,25,3015,1363200,3016,36,3017,1363200,3018,10,3019,84,3019,1363200,3020,36,3021,1580530,2921,0,3021,310000,3022,37,
3113,1363200,3115,11,3116,1363200,3117,25,3118,1363200,3119,10,3120,84,3120,1363200,3121,0,3122,1298855,3021,0,3122,310000,3123,37,
3213,1363200,3215,30,3215,1363200,3216,33,3217,1363200,3218,18,3219,84,3219,1363200,3220,16,3220,1592688,3122,0,3221,465000,3221,37,
3314,1363200,3317,40,3317,1363200,3320,36,3320,1363200,3322,33,3322,84,3323,1363200,3324,0,3325,2495517,3220,0,3325,465000,3326,37,
3415,1363200,3416,54,3417,1363200,3419,20,3420,1363200,3421,45,3422,84,3422,1363200,3423,18,3424,2656837,3325,0,3424,465000,3425,37,
3465,1363200,3467,60,3468,1363200,3469,20,3470,1363200,3471,33,3472,84,3472,1363200,3473,20,3474,2633791,3424,0,3474,465000,3475,37,
3567,1363200,3570,54,3572,1363200,3574,41,3574,1363200,3576,50,3577,84,3579,1363200,3582,41,3582,2939147,3474,0,3583,465000,3584,37,
3666,1363200,3668,85,3669,1363200,3671,50,3672,1363200,3673,90,3674,84,3674,1363200,3676,66,3676,3544097,3583,0,3679,310000,3680,37,
3766,1363200,3768,87,3769,1363200,3770,55,3771,1363200,3772,70,3773,84,3773,1363200,3774,42,3775,2497232,3678,0,3775,310000,3776,37,
3867,1363200,3868,60,3872,1363200,3877,58,3878,1363200,3881,40,3882,84,3882,1363200,3884,36,3884,2151547,3775,0,3885,310000,3885,37,
3967,1363200,3968,44,3969,1363200,3970,33,3970,1363200,3971,30,3971,84,3971,1363200,3973,0,3973,1650302,3884,0,3973,310000,3973,37,
4067,1363200,4069,9,4069,1363200,4070,20,4070,1363200,4071,9,4072,84,4072,1363200,4074,0,4074,1252764,3973,0,4074,310000,4075,37,
4168,1363200,4169,12,4170,1363200,4172,9,4172,1363200,4173,0,4174,84,4174,1363200,4176,0,4176,1154819,4074,0,4177,310000,4177,37,
4271,1363200,4272,27,4273,1363200,4274,20,4274,1363200,4275,9,4276,84,4276,1363200,4278,0,4278,1356469,4176,0,4278,310000,4279,34,
