App,Package,Start Time,Duration,Filename
"System",,"set 1, 2018 @ 03:41:57 PM","10 min 16 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1363200,2,15,2,1363200,4,6,5,1363200,7,3,7,112,8,1363200,10,2,10,1636773,10,0,10,310000,11,32,
100,1363200,102,80,102,1363200,103,25,104,1363200,105,30,105,112,106,1363200,107,0,107,1753106,61,0,107,310000,111,32,
201,1363200,203,62,204,1363200,205,33,206,1363200,208,18,208,112,208,1363200,210,9,210,1678208,107,0,210,310000,211,32,
302,1363200,303,36,304,1363200,305,36,305,1363200,306,20,307,112,307,1363200,308,0,308,1505365,210,0,309,310000,310,32,
402,1363200,404,20,404,1363200,406,10,406,1363200,408,10,408,112,409,1363200,410,9,411,1257623,309,0,411,465000,411,32,
502,1363200,504,22,505,1363200,506,20,506,1363200,508,10,508,112,509,1363200,510,10,510,2053552,411,0,511,465000,512,32,
603,1363200,604,40,604,1363200,605,58,606,1363200,607,18,607,112,608,1363200,609,10,609,2422283,510,0,610,465000,610,25,
703,1363200,704,18,704,1363200,706,27,706,1363200,707,0,707,112,707,1363200,708,0,708,1635081,609,0,709,465000,709,25,
804,1363200,805,18,805,1363200,807,18,807,1363200,808,9,809,112,809,1363200,810,0,810,1635081,708,0,811,310000,811,25,
904,1363200,905,0,906,1363200,907,27,907,1363200,908,0,909,112,909,1363200,910,0,910,968070,811,0,911,465000,912,25,
1004,1363200,1006,0,1006,1363200,1007,30,1008,1363200,1009,0,1010,112,1010,1363200,1011,0,1012,1548659,911,0,1012,310000,1013,25,
1105,1363200,1106,11,1106,1363200,1107,18,1107,1363200,1108,10,1109,112,1109,1363200,1110,0,1110,1037207,1012,0,1111,465000,1111,25,
1205,1363200,1206,0,1207,1363200,1208,18,1208,1363200,1210,10,1210,112,1211,1363200,1212,0,1212,1537136,1110,0,1213,465000,1213,25,
1305,1363200,1306,28,1307,1363200,1308,27,1309,1363200,1310,18,1310,112,1311,1363200,1312,36,1312,2003812,1212,0,1313,465000,1313,25,
1406,1363200,1408,54,1409,1363200,1410,30,1411,1363200,1412,33,1413,112,1413,1363200,1414,20,1415,2165132,1312,0,1415,465000,1416,25,
1506,1363200,1508,80,1508,1363200,1510,88,1510,1363200,1512,66,1512,112,1513,1363200,1515,12,1515,2793128,1415,0,1515,465000,1516,25,
1608,1363200,1609,90,1610,1363200,1611,100,1611,1363200,1613,54,1613,112,1614,1363200,1615,33,1615,2971732,1515,0,1616,465000,1616,25,
1708,1363200,1709,33,1710,1363200,1711,100,1712,1363200,1713,66,1713,112,1714,1363200,1715,10,1716,2579955,1615,0,1716,465000,1717,25,
1808,1363200,1810,57,1810,1363200,1812,100,1812,1363200,1813,50,1814,112,1815,1363200,1816,30,1816,2741275,1716,0,1817,465000,1818,25,
1909,1363200,1910,75,1910,1363200,1912,100,1912,1363200,1913,36,1914,112,1915,1363200,1916,27,1916,2747036,1817,0,1917,310000,1919,25,
2009,1363200,2011,72,2011,1363200,2012,60,2013,1363200,2014,20,2014,112,2015,1363200,2016,0,2017,1688249,1917,0,2017,465000,2017,0,
2109,1363200,2111,77,2111,1363200,2112,33,2112,1363200,2114,18,2114,112,2114,1363200,2116,0,2116,968540,2017,0,2116,310000,2117,0,
2211,1363200,2212,66,2213,1363200,2214,41,2214,1363200,2215,10,2217,112,2218,1363200,2220,0,2220,905165,2116,0,2221,310000,2221,0,
2311,1363200,2313,70,2313,1363200,2315,60,2315,1363200,2317,50,2317,112,2317,1363200,2319,18,2319,1371840,2220,0,2320,310000,2321,0,
2413,1363200,2414,80,2415,1363200,2416,83,2418,1363200,2420,81,2421,112,2421,1363200,2423,70,2424,2040166,2319,0,2425,465000,2426,0,
2513,1363200,2515,57,2516,1363200,2518,81,2519,1363200,2521,70,2522,112,2523,1363200,2524,75,2525,1861562,2424,0,2525,310000,2526,0,
2614,1363200,2615,75,2616,1363200,2617,70,2617,1363200,2618,50,2618,112,2619,1363200,2620,55,2620,1671435,2525,0,2621,310000,2622,0,
2715,1363200,2716,66,2717,1363200,2718,81,2719,1363200,2726,91,2727,112,2728,1363200,2730,37,2730,1815470,2620,0,2730,310000,2731,0,
2815,1363200,2816,100,2817,1363200,2818,90,2819,1363200,2820,90,2821,112,2821,1363200,2823,81,2824,2310953,2730,0,2824,310000,2825,15,
2916,1363200,2917,90,2918,1363200,2919,88,2920,1363200,2921,90,2922,112,2922,1363200,2924,100,2924,2700143,2824,0,2925,310000,2925,15,
3017,1363200,3018,81,3019,1363200,3021,81,3022,1363200,3025,88,3025,112,3026,1363200,3028,70,3028,2423595,2924,0,3029,310000,3030,15,
3118,1363200,3120,88,3121,1363200,3123,80,3124,1363200,3126,77,3127,112,3127,1363200,3129,55,3129,2308366,3028,0,3130,310000,3131,15,
3218,1363200,3220,77,3220,1363200,3222,62,3222,1363200,3224,22,3224,112,3225,1363200,3226,36,3226,1714939,3130,0,3227,310000,3227,15,
3318,1363200,3320,38,3320,1363200,3321,18,3322,1363200,3323,20,3323,112,3324,1363200,3325,20,3325,1133035,3226,0,3326,310000,3326,15,
3419,1363200,3420,20,3420,1363200,3422,10,3422,1363200,3423,0,3423,112,3424,1363200,3425,10,3425,810395,3325,0,3425,465000,3426,15,
3519,1363200,3520,27,3521,1363200,3522,18,3523,1363200,3524,0,3524,112,3524,1363200,3526,10,3526,1234799,3425,0,3527,310000,3527,15,
3620,1363200,3621,63,3621,1363200,3623,0,3623,1363200,3624,10,3625,112,3625,1363200,3626,0,3626,1000522,3526,0,3627,310000,3627,15,
3720,800000,3723,10,3723,800000,3726,0,3726,800000,3728,0,3729,112,3730,800000,3732,0,3732,604738,3626,0,3733,310000,3733,15,
3821,800000,3823,0,3824,800000,3826,20,3827,800000,3830,0,3831,112,3831,800000,3833,0,3833,629538,3732,0,3833,310000,3834,0,
3921,1363200,3922,77,3923,1363200,3924,41,3924,1363200,3927,33,3928,112,3928,1363200,3930,0,3930,1101053,3833,0,3931,310000,3933,0,
4021,1363200,4024,75,4025,1363200,4026,50,4027,1363200,4028,50,4028,112,4029,1363200,4030,16,4030,1331510,3930,0,4031,310000,4032,0,
4122,1363200,4123,45,4124,1363200,4126,27,4127,1363200,4128,36,4128,112,4129,1363200,4130,27,4130,1008870,4031,0,4130,310000,4131,0,
4224,1363200,4226,33,4226,1363200,4227,25,4228,1363200,4229,25,4230,112,4230,1363200,4231,25,4231,853312,4130,0,4232,310000,4233,0,
4324,1363200,4326,12,4326,1363200,4327,25,4328,1363200,4329,9,4329,112,4330,1363200,4331,25,4331,640139,4232,0,4332,310000,4332,37,
4426,800000,4427,0,4428,800000,4430,0,4431,800000,4432,16,4433,112,4433,800000,4435,0,4436,1131280,4331,0,4436,465000,4437,37,
4526,800000,4529,11,4530,800000,4532,0,4533,800000,4536,9,4537,112,4537,800000,4540,10,4541,1999692,4436,0,4542,310000,4543,37,
4628,800000,4631,0,4631,800000,4634,0,4635,800000,4637,0,4638,112,4639,800000,4641,27,4642,1158560,4541,0,4643,310000,4644,0,
4729,800000,4731,0,4732,800000,4735,0,4736,800000,4738,0,4739,112,4740,800000,4742,20,4743,280678,4642,0,4743,310000,4745,0,
4830,800000,4832,11,4833,800000,4836,0,4837,800000,4839,0,4840,112,4841,800000,4843,20,4843,307958,4743,0,4844,310000,4846,0,
4930,800000,4933,0,4935,800000,4937,10,4938,800000,4941,0,4941,112,4942,800000,4945,20,4945,305478,4844,0,4946,310000,4948,0,
5030,998400,5032,12,5032,998400,5036,22,5037,998400,5038,0,5039,112,5039,998400,5041,11,5041,388182,4946,0,5042,310000,5043,0,
5133,1363200,5135,62,5136,1363200,5141,50,5142,1363200,5144,20,5145,112,5145,1363200,5147,11,5147,1054962,5041,0,5148,310000,5149,0,
5233,1363200,5235,81,5235,1363200,5237,50,5238,1363200,5241,44,5241,112,5242,1363200,5245,44,5245,1492830,5147,0,5246,310000,5246,0,
5333,1363200,5335,72,5336,1363200,5339,66,5340,1363200,5343,50,5344,112,5344,1363200,5346,22,5347,1440977,5245,0,5347,310000,5348,0,
5434,1363200,5436,75,5437,1363200,5440,55,5441,1363200,5444,55,5444,112,5445,1363200,5447,40,5447,1527399,5347,0,5447,310000,5448,0,
5534,1363200,5536,77,5537,1363200,5539,60,5540,1363200,5543,66,5544,112,5545,1363200,5546,50,5547,1688719,5447,0,5547,310000,5548,0,
5635,1363200,5636,69,5637,1363200,5638,54,5638,1363200,5639,88,5640,112,5640,1363200,5641,28,5642,1608059,5547,0,5642,310000,5643,0,
5736,1363200,5738,50,5738,1363200,5740,30,5740,1363200,5742,0,5742,112,5743,1363200,5744,22,5744,818743,5642,0,5745,465000,5746,0,
5837,1363200,5838,88,5839,1363200,5840,50,5841,1363200,5842,33,5843,112,5843,1363200,5845,36,5845,1423693,5745,0,5846,310000,5847,0,
5938,1363200,5939,66,5940,1363200,5941,100,5942,1363200,5943,33,5944,112,5944,1363200,5945,10,5945,1435216,5845,0,5946,310000,5946,0,
6039,1363200,6040,66,6041,1363200,6042,37,6043,1363200,6045,55,6046,112,6046,1363200,6051,40,6051,1371840,5945,0,6051,465000,6054,0,
6140,1363200,6141,72,6142,1363200,6143,28,6143,1363200,6145,36,6145,112,6146,1363200,6147,0,6147,1014632,6051,0,6147,465000,6148,0,
