App,Package,Start Time,Duration,Filename
"System",,"set 1, 2018 @ 02:39:54 PM","20 min 33 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,1094400,2,49,3,1094400,4,39,5,1094400,7,26,7,84,8,1094400,10,23,10,1563645,10,0,11,310000,12,41,23,31,
99,1363200,101,66,101,1363200,102,54,103,1363200,104,22,104,84,104,1363200,105,20,106,2060211,72,0,106,310000,107,41,111,35,
200,1363200,201,90,202,1363200,203,33,204,1363200,205,20,205,84,206,1363200,207,10,207,2008358,106,0,208,310000,208,41,217,38,
300,1363200,302,33,302,1363200,303,18,304,1363200,305,20,306,84,306,1363200,307,20,307,1651149,207,0,308,310000,308,35,314,21,
401,1363200,402,45,402,1363200,404,10,404,1363200,405,18,406,84,406,1363200,407,30,408,1580743,307,0,408,310000,409,35,414,27,
501,1363200,502,20,503,1363200,504,10,504,1363200,505,9,506,84,506,1363200,507,10,507,1269625,408,0,508,310000,508,35,513,9,
602,1363200,603,33,603,1363200,605,25,605,1363200,606,11,607,84,607,1363200,608,10,608,1442468,508,0,609,310000,609,35,614,22,
702,1363200,703,10,704,1363200,705,10,705,1363200,706,0,707,84,707,1363200,708,18,709,1206250,608,0,709,310000,710,35,714,9,
802,1363200,804,40,804,1363200,810,11,810,1363200,812,9,813,84,813,1363200,815,0,815,1333001,709,0,816,465000,816,35,825,15,
903,1363200,904,60,904,1363200,906,36,906,1363200,907,10,908,84,908,1363200,909,0,909,2386654,815,0,910,465000,910,35,915,26,
1003,1363200,1005,20,1005,1363200,1006,18,1006,1363200,1007,0,1008,84,1008,1363200,1009,0,1010,1994877,910,0,1010,465000,1011,35,1015,10,
1104,1363200,1105,22,1106,1363200,1107,10,1108,1363200,1110,10,1110,84,1110,1363200,1112,0,1112,2017922,1010,0,1113,465000,1113,35,1118,10,
1205,1363200,1206,20,1206,1363200,1208,10,1208,1363200,1209,0,1210,84,1210,1363200,1211,0,1211,1948785,1113,0,1212,310000,1213,35,1217,7,
1305,1363200,1306,22,1307,1363200,1308,18,1309,1363200,1310,0,1310,84,1311,1363200,1312,9,1312,1269625,1212,0,1313,465000,1313,35,1318,12,
1407,1363200,1408,60,1409,1363200,1410,70,1410,1363200,1411,0,1412,84,1412,1363200,1413,0,1413,2524928,1312,0,1413,465000,1414,35,1418,32,
1507,1363200,1509,27,1509,1363200,1511,0,1511,1363200,1513,0,1513,84,1513,1363200,1515,0,1515,1931501,1413,0,1515,310000,1516,35,1525,6,
