App,Package,Start Time,Duration,Filename
"System",,"ago 27, 2018 @ 01:31:36 PM","10 min 26 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,1363200,2,40,3,1363200,4,32,5,1363200,5,22,6,194,6,1363200,8,16,8,1034017,7,0,14,310000,14,11,15,0,
101,1363200,103,80,104,1363200,105,100,106,1363200,108,66,108,194,109,1363200,110,18,110,2177108,13,0,110,310000,112,11,139,0,
152,1363200,153,66,154,1363200,155,100,155,1363200,157,100,157,194,157,1363200,158,25,158,2332666,110,0,159,310000,159,11,170,72,
252,1363200,254,75,254,1363200,255,100,256,1363200,257,66,257,194,258,1363200,259,80,259,2505509,158,0,259,310000,260,0,269,76,
353,1363200,354,12,354,1363200,356,18,356,1363200,357,90,358,194,358,1363200,359,36,360,1299042,259,0,360,310000,361,0,366,39,
453,1363200,454,33,455,1363200,456,10,457,1363200,459,90,460,194,460,1363200,463,18,463,1270235,360,0,464,465000,465,0,473,43,
553,1363200,554,50,555,1363200,556,100,556,1363200,557,22,558,194,558,1363200,560,30,560,1564068,463,0,560,465000,561,0,566,50,
654,1363200,655,40,655,1363200,656,100,657,1363200,658,25,659,194,659,1363200,661,20,661,1466124,560,0,662,310000,663,0,669,45,
756,1363200,759,63,760,1363200,762,100,768,1363200,780,45,781,194,781,1363200,783,58,783,1932799,662,0,784,310000,785,0,798,68,
856,1363200,858,100,858,1363200,861,83,862,1363200,864,66,866,194,867,1363200,868,55,869,2151734,783,0,870,310000,871,25,878,74,
957,1363200,958,100,959,1363200,962,77,962,1363200,964,100,964,194,965,1363200,967,87,967,3078853,869,0,968,310000,969,25,974,92,
1057,1363200,1058,100,1059,1363200,1060,55,1060,1363200,1061,50,1062,194,1062,1363200,1064,20,1064,2278015,967,0,1064,310000,1065,25,1076,56,
1158,1363200,1159,100,1160,1363200,1161,66,1162,1363200,1164,50,1164,194,1165,1363200,1167,36,1167,2433573,1064,0,1167,200000,1168,25,1176,63,
1258,1363200,1259,100,1260,1363200,1261,75,1262,1363200,1263,33,1263,197,1264,1363200,1266,10,1266,1954355,1167,0,1267,200000,1268,25,1274,54,
1358,1363200,1360,100,1360,1363200,1362,60,1362,1363200,1364,60,1364,201,1364,1363200,1366,30,1366,2146974,1266,0,1366,200000,1367,25,1372,59,
1462,1363200,1463,100,1464,1363200,1466,55,1466,1363200,1468,27,1468,201,1472,1363200,1474,18,1474,1858902,1366,0,1475,200000,1476,25,1481,53,
1563,1363200,1564,100,1565,1363200,1566,80,1566,1363200,1568,60,1568,201,1569,1363200,1571,50,1571,2377431,1474,0,1571,200000,1572,25,1578,69,
1667,1363200,1668,100,1669,1363200,1671,75,1671,1363200,1672,62,1673,201,1673,1363200,1674,66,1675,2452329,1571,0,1675,310000,1675,25,1684,76,
1764,1363200,1766,100,1767,1363200,1768,66,1769,1363200,1770,44,1770,201,1771,1363200,1772,55,1772,2522915,1675,0,1772,310000,1773,25,1779,66,
1864,1363200,1867,100,1867,1363200,1869,72,1870,1363200,1871,45,1871,201,1872,1363200,1873,20,1873,2361595,1772,0,1874,310000,1875,52,1885,59,
1965,1363200,1967,100,1967,1363200,1969,75,1969,1363200,1971,75,1971,201,1971,1363200,1973,25,1974,3208478,1874,0,1974,310000,1975,52,1985,68,
2065,1363200,2067,100,2068,1363200,2069,90,2070,1363200,2072,72,2072,201,2073,1363200,2076,70,2076,3536880,1974,0,2080,310000,2081,52,2091,84,
2166,1363200,2167,100,2168,1363200,2172,81,2173,1363200,2174,55,2175,201,2175,1363200,2176,63,2177,3346753,2077,0,2177,310000,2178,52,2183,73,
2266,1363200,2267,100,2268,1363200,2269,44,2269,1363200,2270,27,2271,201,2271,1363200,2272,10,2272,2666904,2177,0,2273,310000,2273,52,2280,42,
