App,Package,Start Time,Duration,Filename
"System",,"Aug 15, 2018 @ 08:33:58 PM","12 min 44 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1363200,5,36,7,1363200,9,25,10,1363200,11,18,20,118,20,1363200,22,13,22,773508,23,0,23,310000,24,37,
100,1363200,101,77,101,1363200,103,25,103,1363200,105,20,105,118,105,1363200,106,0,106,1806873,107,0,107,310000,107,37,
200,1363200,201,77,201,1363200,203,44,203,1363200,204,40,205,118,205,1363200,206,11,206,2094944,163,0,207,310000,207,0,
301,1363200,304,75,304,1363200,307,66,308,1363200,313,77,313,118,314,1363200,315,30,316,1672291,206,0,316,310000,317,0,
402,1363200,404,55,405,1363200,410,90,410,1363200,412,44,412,118,413,1363200,414,54,414,1643484,316,0,415,310000,415,0,
503,1363200,504,66,505,1363200,506,55,506,1363200,508,41,508,118,509,1363200,510,10,510,1234422,414,0,511,310000,511,0,
603,1363200,604,90,605,1363200,606,66,607,1363200,609,36,609,118,610,1363200,611,22,612,1476402,510,0,612,465000,613,0,
704,1363200,705,77,706,1363200,707,63,707,1363200,709,25,709,118,709,1363200,711,0,711,1194092,612,0,712,310000,714,0,
804,1363200,805,80,806,1363200,807,22,808,1363200,810,18,811,118,811,1363200,813,36,813,1142239,711,0,814,310000,814,0,
907,1363200,909,62,909,1363200,910,50,911,1363200,912,27,913,118,913,1363200,917,9,918,1096148,813,0,918,310000,919,32,
1007,1363200,1009,60,1009,1363200,1010,42,1011,1363200,1012,11,1012,118,1013,1363200,1014,10,1019,1696348,918,0,1020,310000,1020,32,
1108,1363200,1109,57,1109,1363200,1111,50,1111,1363200,1112,12,1113,118,1113,1363200,1115,0,1115,1673302,1019,0,1116,310000,1116,32,
1208,1363200,1210,60,1210,1363200,1212,11,1212,1363200,1214,9,1215,118,1215,1363200,1217,9,1217,1500460,1115,0,1218,310000,1219,32,
1311,1363200,1312,60,1313,1363200,1314,30,1314,1363200,1315,10,1316,118,1316,1363200,1317,0,1317,1563835,1218,0,1317,310000,1318,32,
1411,1363200,1413,55,1413,1363200,1414,50,1415,1363200,1416,55,1417,118,1417,1363200,1418,0,1419,1909521,1317,0,1419,310000,1420,32,
1512,1363200,1513,66,1514,1363200,1515,18,1516,1363200,1517,0,1517,118,1518,1363200,1519,0,1519,1471652,1419,0,1520,310000,1520,32,
1612,1363200,1616,77,1617,1363200,1619,20,1620,1363200,1621,27,1622,118,1622,1363200,1625,0,1625,1702110,1519,0,1625,465000,1626,32,
1713,1363200,1714,80,1715,1363200,1717,11,1718,1363200,1721,30,1721,118,1722,1363200,1723,9,1723,2457708,1625,0,1724,465000,1724,32,
1813,1363200,1814,66,1815,1363200,1816,12,1817,1363200,1819,18,1819,118,1820,1363200,1821,0,1822,2261820,1723,0,1822,465000,1823,32,
1913,1363200,1915,66,1915,1363200,1917,33,1917,1363200,1919,22,1919,118,1919,1363200,1920,0,1920,2405855,1822,0,1921,465000,1921,0,
2013,1363200,2015,66,2016,1363200,2017,25,2018,1363200,2019,11,2019,118,2020,1363200,2024,20,2024,946351,1921,0,2025,465000,2025,0,
2114,1363200,2116,66,2116,1363200,2118,20,2119,1363200,2120,20,2121,118,2121,1363200,2123,11,2123,917544,2025,0,2123,465000,2124,0,
2214,1363200,2216,62,2216,1363200,2219,27,2221,1363200,2225,9,2225,118,2226,1363200,2229,20,2229,923305,2123,0,2231,465000,2232,0,
2315,1363200,2316,77,2317,1363200,2318,33,2318,1363200,2319,0,2320,118,2320,1363200,2321,0,2321,877214,2230,0,2322,310000,2323,0,
2416,1363200,2418,66,2418,1363200,2421,50,2423,1363200,2424,20,2424,118,2425,1363200,2427,0,2427,1027011,2321,0,2427,310000,2428,0,
2516,1363200,2518,71,2518,1363200,2520,45,2521,1363200,2522,28,2523,118,2523,1363200,2524,20,2525,1188331,2427,0,2525,310000,2526,21,
2617,1363200,2618,72,2618,1363200,2620,77,2620,1363200,2621,60,2622,118,2622,1363200,2624,33,2624,2126126,2525,0,2625,310000,2626,21,
2717,1363200,2718,100,2719,1363200,2726,27,2727,1363200,2728,41,2728,118,2729,1363200,2730,0,2730,1699780,2625,0,2730,310000,2731,21,
2817,1363200,2819,90,2819,1363200,2821,22,2821,1363200,2823,22,2823,118,2823,1363200,2826,0,2827,1503892,2730,0,2827,310000,2828,21,
2918,1363200,2919,22,2920,1363200,2921,0,2921,1363200,2922,20,2922,118,2923,1363200,2924,90,2924,1492369,2827,0,2925,310000,2925,21,
3018,1363200,3019,80,3020,1363200,3021,11,3021,1363200,3022,20,3023,118,3023,1363200,3027,0,3027,1371379,2924,0,3028,465000,3029,21,
3119,1363200,3120,72,3121,1363200,3122,37,3122,1363200,3125,44,3126,118,3126,1363200,3127,16,3129,2178719,3028,0,3129,465000,3130,21,
3219,1363200,3221,80,3221,1363200,3223,55,3223,1363200,3225,20,3225,118,3226,1363200,3227,30,3227,2270902,3129,0,3228,465000,3228,21,
3320,1363200,3321,72,3321,1363200,3323,70,3323,1363200,3324,70,3325,118,3325,1363200,3326,22,3327,2553212,3227,0,3327,465000,3328,21,
3421,1363200,3423,50,3423,1363200,3425,50,3425,1363200,3427,22,3427,118,3427,1363200,3429,36,3429,2115343,3327,0,3430,465000,3430,21,
3521,1363200,3523,80,3524,1363200,3527,80,3528,1363200,3530,70,3532,118,3532,1363200,3534,63,3534,2893136,3429,0,3535,465000,3535,12,
3625,1363200,3626,81,3627,1363200,3628,76,3629,1363200,3631,90,3635,118,3636,1363200,3638,44,3638,2469506,3534,0,3639,465000,3639,12,
3725,1363200,3726,83,3727,1363200,3728,42,3729,1363200,3730,77,3730,118,3731,1363200,3734,30,3734,2129582,3638,0,3735,310000,3736,12,
3825,1363200,3827,72,3827,1363200,3829,75,3829,1363200,3831,30,3832,118,3833,1363200,3835,22,3835,1669069,3734,0,3835,310000,3836,12,
3926,1363200,3927,80,3927,1363200,3928,36,3930,1363200,3934,9,3934,118,3934,1363200,3935,10,3935,1300337,3835,0,3936,310000,3936,12,
4029,1363200,4031,60,4031,1363200,4032,33,4033,1363200,4034,0,4034,118,4035,1363200,4036,0,4036,1058357,3935,0,4036,465000,4037,12,
4130,1363200,4131,37,4131,1363200,4133,11,4133,1363200,4134,0,4135,118,4135,1363200,4143,0,4143,1069479,4036,0,4144,310000,4145,12,
4230,1363200,4233,70,4233,1363200,4236,50,4236,1363200,4238,27,4238,118,4239,1363200,4240,44,4240,1622977,4143,0,4241,310000,4243,0,
