App,Package,Start Time,Duration,Filename
"System",,"Aug 15, 2018 @ 08:17:54 PM","12 min 57 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1363200,3,35,3,1363200,6,24,6,1363200,7,18,8,116,8,1363200,9,13,9,757859,9,0,11,310000,11,26,
51,1363200,52,83,52,1363200,53,50,54,1363200,55,0,55,116,55,1363200,56,0,57,1610291,57,0,57,310000,57,26,
151,1363200,152,69,153,1363200,154,40,154,1363200,156,20,156,116,156,1363200,158,0,158,1587246,85,0,158,310000,159,0,
252,1363200,257,80,262,1363200,263,41,264,1363200,265,33,266,116,266,1363200,267,9,267,1178443,158,0,268,310000,268,0,
352,1363200,353,60,354,1363200,356,44,356,1363200,358,20,358,116,359,1363200,360,10,361,1011362,267,0,362,310000,362,0,
452,1363200,453,30,454,1363200,455,20,456,1363200,457,0,458,116,458,1363200,460,0,460,527402,361,0,461,310000,461,0,
552,1363200,554,30,554,1363200,556,18,556,1363200,557,0,558,116,558,1363200,560,0,560,515879,460,0,560,310000,561,0,
653,1363200,654,0,655,1363200,656,27,656,1363200,657,0,658,116,658,1363200,660,0,660,394889,560,0,660,310000,662,0,
753,1363200,755,25,755,1363200,756,27,757,1363200,758,9,758,116,759,1363200,760,9,760,642630,660,0,761,310000,761,0,
853,1363200,854,11,855,1363200,856,10,856,1363200,857,0,857,116,858,1363200,859,0,859,360320,760,0,859,465000,859,0,
954,1363200,955,20,956,1363200,957,11,957,1363200,958,0,959,116,959,1363200,960,0,960,417935,859,0,961,465000,961,0,
1054,1363200,1056,25,1056,1363200,1057,18,1057,1363200,1058,10,1058,116,1059,1363200,1060,0,1060,544686,960,0,1060,465000,1060,0,
1155,1363200,1156,11,1157,1363200,1158,22,1158,1363200,1159,0,1159,116,1160,1363200,1161,0,1161,429458,1060,0,1162,465000,1162,0,
1255,1363200,1257,40,1257,1363200,1258,20,1258,1363200,1260,0,1260,116,1261,1363200,1262,9,1262,636869,1162,0,1262,465000,1263,0,
1356,1363200,1357,50,1358,1363200,1359,20,1359,1363200,1361,33,1361,116,1362,1363200,1363,9,1364,884610,1262,0,1365,465000,1365,30,
1456,1363200,1458,62,1458,1363200,1459,45,1460,1363200,1462,58,1462,116,1463,1363200,1464,25,1464,2707689,1364,0,1465,465000,1466,30,
1557,1363200,1559,57,1560,1363200,1562,60,1562,1363200,1563,50,1564,116,1564,1363200,1566,55,1566,2892055,1465,0,1566,465000,1567,30,
1657,1363200,1660,72,1661,1363200,1663,62,1663,1363200,1665,54,1665,116,1665,1363200,1667,11,1667,2759542,1566,0,1667,465000,1668,30,
1758,1363200,1760,60,1761,1363200,1762,46,1763,1363200,1764,50,1764,116,1765,1363200,1766,33,1766,2701927,1667,0,1766,310000,1767,30,
1858,1363200,1860,46,1860,1363200,1862,11,1862,1363200,1863,25,1864,116,1864,1363200,1871,0,1872,1409489,1766,0,1872,200000,1873,30,
1959,1363200,1961,57,1961,1363200,1962,27,1963,1363200,1964,30,1964,116,1965,1363200,1966,0,1966,1246430,1872,0,1967,200000,1967,30,
2060,1363200,2061,53,2062,1363200,2063,10,2064,1363200,2065,10,2066,116,2066,1363200,2067,0,2068,1010212,1966,0,2068,200000,2069,30,
2160,1363200,2162,58,2162,1363200,2164,27,2165,1363200,2166,30,2167,116,2168,1363200,2169,0,2170,1252192,2068,0,2170,310000,2171,30,
2261,1363200,2262,66,2263,1363200,2264,11,2265,1363200,2266,9,2266,116,2266,1363200,2268,0,2268,1432534,2170,0,2268,465000,2269,30,
2361,1363200,2363,58,2363,1363200,2365,30,2365,1363200,2372,63,2373,116,2373,1363200,2375,20,2375,2598222,2268,0,2376,465000,2377,45,
2462,1363200,2463,61,2464,1363200,2466,40,2466,1363200,2467,0,2467,116,2468,1363200,2469,20,2469,2996993,2375,0,2469,465000,2470,45,
2562,1363200,2563,57,2564,1363200,2565,0,2566,1363200,2567,9,2567,116,2568,1363200,2570,18,2570,2783820,2469,0,2571,465000,2572,45,
2662,1363200,2664,64,2664,1363200,2666,63,2666,1363200,2669,22,2670,116,2671,1363200,2672,0,2673,3158313,2570,0,2673,465000,2674,45,
2763,1363200,2765,72,2765,1363200,2766,40,2767,1363200,2768,10,2769,116,2769,1363200,2770,0,2771,3002755,2673,0,2771,465000,2779,45,
2863,1363200,2865,42,2865,1363200,2866,10,2867,1363200,2868,0,2868,116,2868,1363200,2869,0,2869,2599455,2771,0,2870,465000,2870,45,
2965,800000,2967,38,2968,800000,2970,0,2971,800000,2973,0,2974,116,2975,800000,2977,0,2977,2394101,2870,0,2978,310000,2979,45,
3065,800000,3067,42,3068,800000,3070,0,3071,800000,3073,0,3074,116,3075,800000,3077,0,3077,1390073,2977,0,3078,310000,3079,0,
3165,1363200,3166,46,3166,1363200,3167,11,3168,1363200,3170,0,3170,116,3170,1363200,3172,0,3172,567732,3078,0,3173,310000,3175,0,
3266,1363200,3267,57,3268,1363200,3276,16,3276,1363200,3278,27,3278,116,3279,1363200,3281,9,3281,867326,3172,0,3287,310000,3288,0,
3366,1363200,3368,90,3368,1363200,3370,87,3370,1363200,3377,80,3377,116,3378,1363200,3381,70,3381,2123318,3281,0,3382,310000,3383,0,
