App,Package,Start Time,Duration,Filename
"System",,"ago 26, 2018 @ 03:33:44 PM","20 min 19 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,1209600,2,29,2,1209600,4,8,4,1209600,6,2,6,0,7,1209600,10,4,10,203848,9,0,12,0,12,0,21,7,
101,1209600,102,63,102,1209600,104,63,104,1209600,106,30,106,0,107,1209600,109,30,109,881763,11,0,109,0,110,0,117,45,
201,1209600,203,63,203,1209600,205,50,206,1209600,207,10,208,0,208,1209600,210,11,210,635249,109,0,211,0,211,0,219,31,
302,1209600,304,22,304,1209600,306,33,306,1209600,308,11,309,0,309,1209600,311,10,311,360290,210,0,311,0,312,0,318,22,
402,1209600,404,36,405,1209600,406,0,407,1209600,409,9,409,0,410,1209600,411,20,412,308143,311,0,412,0,413,0,420,17,
503,1209600,504,60,505,1209600,506,44,506,1209600,508,44,509,0,509,1209600,510,25,511,820134,412,0,511,0,512,0,520,45,
603,1209600,605,80,606,1209600,608,70,609,1209600,610,81,611,0,611,1209600,613,83,613,1488568,511,0,615,0,616,0,625,78,
704,1209600,705,54,706,1209600,708,30,708,1209600,710,77,710,0,711,1209600,712,10,712,810653,614,0,713,0,713,0,727,41,
754,1209600,755,100,756,1209600,757,40,757,1209600,759,20,759,0,760,1209600,761,0,761,758506,712,0,762,0,762,0,770,42,
854,1209600,856,50,856,1209600,857,70,858,1209600,859,55,860,0,860,1209600,861,20,862,924429,761,0,862,0,863,0,870,46,
954,1209600,956,44,956,1209600,957,0,958,1209600,959,9,960,0,960,1209600,961,11,962,303402,862,0,962,0,963,0,970,17,
1055,1209600,1056,75,1056,1209600,1058,50,1058,1209600,1059,37,1060,0,1060,1209600,1062,27,1062,895985,962,0,1062,0,1063,0,1070,46,
1155,1209600,1157,40,1157,1209600,1158,11,1158,1209600,1160,20,1160,0,1161,1209600,1165,0,1166,336587,1062,0,1166,0,1168,0,1184,17,
1256,1209600,1258,66,1258,1209600,1260,50,1260,1209600,1263,33,1263,0,1264,1209600,1267,60,1267,990798,1166,0,1268,0,1268,0,1282,58,
1356,1209600,1358,81,1358,1209600,1360,100,1361,1209600,1364,100,1369,0,1370,1209600,1375,90,1376,1758786,1267,0,1376,0,1377,0,1396,93,
1461,1209600,1462,90,1463,1209600,1467,100,1468,1209600,1470,100,1471,0,1472,1209600,1478,100,1479,1848859,1376,0,1479,0,1480,0,1493,97,
1561,1209600,1563,88,1564,1209600,1570,100,1578,1209600,1580,81,1580,0,1581,1209600,1593,70,1594,1607085,1479,0,1595,0,1595,0,1621,85,
1664,1209600,1666,81,1667,1209600,1668,100,1669,1209600,1670,50,1671,0,1672,1209600,1673,66,1673,1407977,1594,0,1674,0,1675,0,1684,71,
1766,1209600,1768,80,1769,1209600,1770,77,1771,1209600,1778,80,1778,0,1779,1209600,1781,70,1781,1455383,1674,0,1782,0,1782,0,1794,78,
1869,1209600,1871,100,1871,1209600,1873,83,1874,1209600,1884,100,1885,0,1886,1209600,1888,90,1888,1768267,1781,0,1890,0,1890,0,1908,93,
1970,1209600,1973,100,1973,1209600,1976,100,1976,1209600,1978,88,1979,0,1979,1209600,1980,100,1980,1839377,1889,0,1981,0,1982,0,1991,96,
