App,Package,Start Time,Duration,Filename
"System",,"ago 26, 2018 @ 03:09:47 PM","20 min 13 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,1209600,2,30,3,1209600,5,20,6,1209600,7,9,8,0,8,1209600,10,6,10,308143,11,0,11,0,12,0,19,14,
105,1209600,106,63,107,1209600,108,40,109,1209600,110,22,111,0,111,1209600,113,27,113,720580,53,0,114,0,114,0,121,36,
205,1209600,208,40,208,1209600,210,60,210,1209600,212,30,212,0,213,1209600,214,11,214,668433,113,0,215,0,215,0,224,32,
307,1209600,309,25,309,1209600,310,40,311,1209600,312,10,313,0,313,1209600,315,30,315,497769,214,0,316,0,316,0,325,29,
408,1209600,409,40,410,1209600,411,22,412,1209600,413,18,414,0,414,1209600,415,0,415,379253,315,0,416,0,417,0,426,18,
508,1209600,509,40,510,1209600,511,11,512,1209600,513,10,514,0,514,1209600,516,0,516,289180,416,0,517,0,517,0,525,14,
608,1209600,610,60,610,1209600,611,20,612,1209600,613,0,614,0,614,1209600,615,0,616,379253,516,0,617,0,617,0,626,18,
709,1209600,711,30,712,1209600,713,10,714,1209600,715,0,716,0,716,1209600,718,36,719,360290,616,0,720,0,721,0,726,20,
810,1209600,812,36,812,1209600,813,10,814,1209600,815,0,816,0,816,1209600,817,0,817,218070,720,0,818,0,818,0,824,10,
910,1209600,912,22,912,1209600,913,20,914,1209600,915,18,917,0,917,1209600,918,10,918,331846,818,0,919,0,919,0,926,21,
1011,1209600,1013,50,1013,1209600,1014,40,1015,1209600,1016,0,1017,0,1017,1209600,1019,0,1019,426659,918,0,1020,0,1021,0,1030,20,
1112,1209600,1113,77,1114,1209600,1116,90,1116,1209600,1118,70,1118,0,1119,1209600,1122,60,1123,1407977,1019,0,1124,0,1125,0,1135,76,
1212,1209600,1214,60,1215,1209600,1217,100,1217,1209600,1221,36,1223,0,1225,1209600,1229,36,1229,1099834,1123,0,1231,0,1231,0,1243,52,
1313,1209600,1314,63,1314,1209600,1316,40,1316,1209600,1318,11,1321,0,1321,1209600,1325,11,1325,592583,1230,0,1326,0,1327,0,1341,34,
1414,1209600,1415,55,1416,1209600,1417,30,1417,1209600,1420,20,1421,0,1421,1209600,1424,20,1424,592583,1325,0,1425,0,1426,0,1432,32,
