App,Package,Start Time,Duration,Filename
"System",,"ago 27, 2018 @ 07:53:20 PM","7 min 25 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,0,2,0,
102,0,102,0,
202,0,202,0,
302,0,303,0,
403,0,403,0,
503,0,504,0,
604,0,607,0,
704,0,705,0,
804,0,807,0,
904,0,906,0,
1005,0,1006,0,
1108,0,1108,0,
1210,0,1211,0,
1311,0,1311,0,
1412,0,1413,0,
1512,0,1513,0,
1615,0,1616,0,
1713,0,1714,0,
1814,0,1815,0,
1914,0,1915,0,
2014,0,2015,0,
2115,0,2115,0,
2215,0,2216,0,
2316,0,2317,0,
2416,0,2416,0,
2517,0,2517,0,
2617,0,2618,0,
2717,0,2718,0,
2818,0,2818,0,
2918,0,2919,0,
3018,0,3019,0,
3119,0,3119,0,
3219,0,3220,0,
3319,0,3320,0,
3419,0,3420,0,
3520,0,3520,0,
3620,0,3621,0,
3720,0,3721,0,
3821,0,3822,0,
3921,0,3924,0,
4022,0,4023,0,
4123,0,4125,0,
4225,0,4227,0,
4326,0,4327,0,
4427,0,4428,0,
4528,0,4530,0,
4628,0,4630,0,
4729,0,4730,0,
4830,0,4833,0,
4933,0,4934,0,
5031,0,5032,0,
5132,0,5134,0,
5233,0,5234,0,
5334,0,5335,0,
5435,0,5437,0,
5536,0,5537,0,
5637,0,5638,0,
5739,0,5741,0,
5838,0,5839,0,
5940,0,5941,0,
6040,0,6041,0,
6141,0,6143,0,
6241,0,6241,0,
6342,0,6343,0,
6443,0,6444,0,
6544,0,6545,0,
6645,0,6646,0,
6746,0,6747,0,
6847,0,6849,0,
6947,0,6947,0,
7047,0,7048,0,
7148,0,7148,0,
7247,0,7248,0,
7348,0,7348,0,
7448,0,7449,0,
7548,0,7549,0,
7649,0,7651,0,
7749,0,7750,0,
7850,0,7850,0,
7950,0,7951,0,
8050,0,8051,0,
8152,0,8153,0,
8252,0,8253,0,
8352,0,8353,0,
8452,0,8453,0,
8553,0,8553,0,
8653,0,8654,0,
8753,0,8754,0,
8854,0,8854,0,
8954,0,8954,0,
9054,0,9055,0,
9154,0,9155,0,
9256,0,9256,0,
9355,0,9356,0,
9456,0,9456,0,
9556,0,9556,0,
9656,0,9657,0,
9756,0,9757,0,
9857,0,9857,0,
9957,0,9957,0,
10057,0,10058,0,
10158,0,10159,0,
10259,0,10259,0,
10359,0,10359,0,
10459,0,10460,0,
10560,0,10560,0,
10660,0,10660,0,
10760,0,10761,0,
10861,0,10861,0,
10961,0,10961,0,
11062,0,11062,0,
11162,0,11163,0,
11262,0,11263,0,
11363,0,11363,0,
11464,0,11464,0,
11564,0,11565,0,
11664,0,11665,0,
11765,0,11765,0,
11866,0,11866,0,
11966,0,11967,0,
12066,0,12067,0,
12167,0,12167,0,
12267,0,12268,0,
12368,0,12368,0,
12469,0,12470,0,
12569,0,12569,0,
