App,Package,Start Time,Duration,Filename
"System",,"ago 26, 2018 @ 03:54:44 PM","19 min 29 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,1209600,4,59,4,1209600,9,45,10,1209600,12,34,12,0,13,1209600,15,31,15,801172,15,0,16,0,17,0,26,0,
100,1209600,102,81,102,1209600,104,100,105,1209600,107,55,108,0,108,1209600,110,44,110,1327386,65,0,113,0,113,0,124,70,
200,1209600,202,88,202,1209600,204,80,204,1209600,206,50,207,0,207,1209600,209,63,209,1332126,111,0,210,0,210,0,217,69,
301,1209600,303,60,304,1209600,306,40,306,1209600,308,50,309,0,310,1209600,311,33,311,867541,209,0,312,0,312,0,318,44,
401,1209600,406,37,407,1209600,408,45,409,1209600,410,27,411,0,412,1209600,413,0,413,516732,312,0,414,0,415,0,423,26,
504,1209600,505,50,506,1209600,507,30,508,1209600,509,44,510,0,510,1209600,512,10,512,635249,413,0,513,0,514,0,522,36,
605,1209600,607,50,608,1209600,609,41,610,1209600,611,20,612,0,612,1209600,613,0,614,526213,512,0,615,0,615,0,623,30,
706,1209600,707,45,708,1209600,709,41,709,1209600,711,30,712,0,712,1209600,713,9,713,592583,614,0,714,0,714,0,720,26,
806,1209600,808,45,809,1209600,811,11,811,1209600,812,20,813,0,813,1209600,815,0,815,360290,713,0,815,0,816,0,824,19,
907,1209600,909,50,910,1209600,912,20,912,1209600,914,11,914,0,915,1209600,916,11,916,436141,815,0,917,0,917,0,925,23,
1007,1209600,1010,60,1011,1209600,1013,50,1014,1209600,1016,41,1017,0,1017,1209600,1019,20,1019,810653,916,0,1020,0,1020,0,1030,44,
1114,1209600,1118,80,1119,1209600,1121,100,1122,1209600,1123,90,1124,0,1125,1209600,1127,100,1127,1754045,1019,0,1128,0,1128,0,1137,92,
1214,1209600,1216,100,1217,1209600,1225,90,1226,1209600,1229,90,1229,0,1230,1209600,1232,100,1232,1801452,1127,0,1233,0,1233,0,1250,97,
1315,1209600,1316,80,1317,1209600,1318,90,1319,1209600,1321,100,1322,0,1324,1209600,1327,70,1327,1611825,1232,0,1328,0,1329,0,1337,85,
1419,1209600,1421,90,1422,1209600,1425,90,1426,1209600,1428,100,1429,0,1429,1209600,1431,100,1431,1801452,1328,0,1432,0,1432,0,1445,93,
1516,1209600,1517,77,1518,1209600,1525,77,1525,1209600,1527,54,1528,0,1529,1209600,1530,75,1531,1341608,1431,0,1532,0,1532,0,1546,69,
1616,1209600,1618,90,1621,1209600,1624,70,1624,1209600,1627,55,1627,0,1628,1209600,1630,30,1630,1161462,1531,0,1630,0,1634,0,1646,60,
1717,1209600,1720,80,1721,1209600,1723,90,1723,1209600,1732,100,1733,0,1734,1209600,1738,90,1738,1706639,1630,0,1740,0,1740,0,1772,95,
1819,1209600,1820,90,1822,1209600,1824,88,1824,1209600,1826,77,1827,0,1828,1209600,1833,90,1833,1635529,1738,0,1835,0,1835,0,1846,84,
